subject,session,outer_fold,source_order,target_delta_sign,ordering_correct,absolute_beta,distance_from_gamma
1,0,2,1,1,True,0.025679777241787112,0.03625558891634198
1,1,2,1,1,True,0.040345043749463044,0.050591716816669019
2,0,3,1,1,True,0.007652593296781654,0.011935743286991596
2,1,3,1,1,True,0.022697048937913741,0.028207116095684159
3,0,4,1,1,True,0.27631012863651339,0.28905254067441455
3,1,4,1,1,True,0.34439955414597256,0.35974392162515867
4,0,0,1,1,True,0.096753699677277788,0.095453596849711997
4,1,0,1,1,True,0.16640360835599297,0.16536662277399541
5,0,5,1,1,True,0.11391541232677831,0.12309244650018003
5,1,5,1,1,True,0.11536204688588932,0.12672535447453398
6,0,5,1,1,True,0.14800402562201129,0.14626880720581459
6,1,5,1,1,True,0.086332044063502242,0.081893035931674324
7,0,4,1,1,True,0.20149771067185673,0.19834971220455946
7,1,4,1,1,True,0.034424447610701348,0.024853078600400563
8,0,2,1,1,True,0.062993233796770798,0.05723727462967329
8,1,2,1,1,True,0.057275978138901257,0.051195990740306813
9,0,2,1,1,True,0.03898667670623783,0.04823371899478815
9,1,2,1,1,True,0.026882540459909073,0.019462320237134401
10,0,0,1,1,True,0.038551866067766186,0.033725529370262519
10,1,0,1,1,True,0.13038075626712065,0.12593425994971053
11,0,0,1,-1,False,0.22112582851266308,0.22155321055809621
11,1,0,1,-1,False,0.23019471580814035,0.23043943924165325
12,0,3,1,1,True,0.10421105073131047,0.10232674695423574
12,1,3,1,1,True,0.072491484922993774,0.069699007541107527
13,0,3,1,1,True,0.11427912051805322,0.10989538900972984
13,1,3,1,1,True,0.14732265566011177,0.14380669533866519
14,0,2,1,1,True,0.1249878112303674,0.12163108453868704
14,1,2,1,1,True,0.080097095354504141,0.075109526615494943
15,0,4,1,-1,False,0.27640175071634165,0.27823443378578694
15,1,4,1,1,True,0.17204540551533803,0.16986343633469958
16,0,1,1,1,True,0.094646871419125464,0.088794992846673193
16,1,1,1,-1,False,0.18706490293346617,0.185571662376147
17,0,2,1,1,True,0.027801827145877374,0.022885566642931371
17,1,2,1,1,True,0.023915886804823133,0.017799335036094655
18,0,0,1,1,True,0.31161555345009112,0.32753163120769596
18,1,0,1,1,True,0.11575358787976127,0.12426694768413854
19,0,2,1,1,True,0.12164640986854328,0.13092764374561086
19,1,2,1,1,True,0.0020137989154308074,0.0086651916686038555
20,0,3,1,1,True,0.094447340863199808,0.091039865868323119
20,1,3,1,1,True,0.056018782233268137,0.051406322726301135
21,0,3,1,1,True,0.2880179343050378,0.30482393343473135
21,1,3,1,1,True,0.52352603766667838,0.5485060310293961
22,0,4,1,1,True,0.0010897941398123698,0.0077795070564957991
22,1,4,1,1,True,0.092256384301320826,0.087933721545139787
23,0,4,1,1,True,0.16271777050564279,0.17357111939741723
23,1,4,1,1,True,0.10851350480150371,0.11866656292448044
24,0,5,1,1,True,0.14652415801312926,0.14448906638670767
24,1,5,1,1,True,0.16050591685466697,0.1586881260850852
25,0,3,1,1,True,0.12218656071675371,0.12075244372829827
25,1,3,1,1,True,0.1760277345736809,0.17584223596799331
26,0,4,1,1,True,0.18661799411514929,0.18627537206106723
26,1,4,1,1,True,0.15732076215578444,0.15365146880863756
27,0,5,1,1,True,0.17072447371489502,0.16957398002374691
27,1,5,1,-1,False,0.23188642214365335,0.23113996801836201
28,0,5,1,1,True,0.076195863981518772,0.083900634538965679
28,1,5,1,1,True,0.081335630823288721,0.091694382982915934
29,0,1,1,1,True,0.19772262430202645,0.20949102224037142
29,1,1,1,1,True,0.51710371647619913,0.5257263406619348
30,0,1,1,1,True,0.027875100608125536,0.021785838178632305
30,1,1,1,1,True,0.14054926344429589,0.13964772668648714
31,0,0,1,1,True,0.10608985759573356,0.1029361566926687
31,1,0,1,1,True,0.1538465755040764,0.15248968934861609
