subject,session,outer_fold,source_order,target_delta_sign,ordering_correct,absolute_beta,distance_from_gamma
32,0,3,1,1,True,0.4822147873444641,0.50228350510030917
32,1,3,1,1,True,0.36492058696580992,0.37842181510778378
33,0,4,1,1,True,0.22897111845508528,0.24173858814152474
33,1,4,1,1,True,0.19513451285074074,0.21189268189345081
34,0,5,1,1,True,0.19352326783507964,0.19290004791552604
34,1,5,1,-1,False,0.25959465237670043,0.26185458566507835
35,0,4,1,1,True,0.14863702520386854,0.14773719228744012
35,1,4,1,-1,False,0.23897571393484152,0.23936716464692112
36,0,1,1,1,True,0.79637503125713205,0.82226426959498411
36,1,1,1,1,True,1.0734976994404086,1.1117067570800001
37,0,0,1,1,True,0.33545385956521379,0.35356266550294896
37,1,0,1,1,True,0.30624714814764498,0.3273597365419218
38,0,1,1,1,True,0.082142529470488626,0.079963201830511366
38,1,1,1,1,True,0.12443550239860758,0.12316800600616928
39,0,3,1,1,True,0.068900935528256241,0.078392852053998263
39,1,3,1,1,True,0.0023944990281955479,0.01045230024748256
40,0,2,1,1,True,0.17963070561090771,0.17876139449873854
40,1,2,1,1,True,0.1633956999215064,0.16186439228418015
41,0,3,1,1,True,0.18201583271956706,0.18195790319097974
41,1,3,1,1,True,0.12604581896882927,0.1242850798629829
42,0,2,1,1,True,0.13143120699436334,0.12834692098547779
42,1,2,1,1,True,0.11636713209420121,0.11279788843671726
43,0,0,1,1,True,0.022166461747862812,0.027972237643283354
43,1,0,1,1,True,0.035851663586973781,0.030242035359243913
44,0,5,1,1,True,0.32469585250726996,0.34125014678314058
44,1,5,1,1,True,0.44722178580100291,0.46848878767001118
45,0,0,1,1,True,0.084210200851183234,0.097341586280484282
45,1,0,1,1,True,0.23228557821099666,0.24526420992717451
46,0,0,1,1,True,0.01399300935458074,0.009425006034397776
46,1,0,1,1,True,0.10998427688808282,0.10552082107890397
47,0,5,1,1,True,0.15900455729158577,0.15749740848154886
47,1,5,1,1,True,0.038482117956467214,0.029869801073314078
48,0,5,1,1,True,0.14032510244061636,0.13783763224213061
48,1,5,1,-1,False,0.22042053163821546,0.21867350169955499
49,0,1,1,1,True,0.058071792879868252,0.053887986921125369
49,1,1,1,1,True,0.050200034459977977,0.047020360643327014
50,0,2,1,1,True,0.20877932976146757,0.20803811487334192
50,1,2,1,1,True,0.20841387643361567,0.20802727397901097
51,0,1,1,1,True,0.10346449235821978,0.10013949621315295
51,1,1,1,1,True,0.11577796869890652,0.11433108494829999
52,0,1,1,1,True,0.013067602840322885,0.0083107785616841623
52,1,1,1,1,True,0.060457339409916773,0.056863052631175082
53,0,4,1,1,True,0.15780032471376687,0.15567753450552627
53,1,4,1,1,True,0.13277891432766784,0.12920337543002669
54,0,1,1,1,True,0.13714484176927144,0.13639905935632193
54,1,1,1,1,True,0.11571386982793977,0.11403859297709301
