method,budget,session,mae,normalized_mae,pearson,spearman,signed_r2,beta_sign_accuracy,calibration_slope,calibration_intercept,projected_prototype_reconstruction_error,mae_all_subsamples
PROPOSED_UL_PLUS_M,2,pooled,0.068076026552970487,0.42176081642337127,0.96619536481707624,0.81003925784795439,0.84892147658902806,0.90740740740740744,0.8681877793629641,0.047701347044576653,0.068076026552970487,0.12365757155499961
PROPOSED_UL_PLUS_M,2,0,0.069803073223389675,0.45748670563310562,0.9594346221176755,0.83781160749767047,0.80638196024118947,0.88888888888888884,0.87198458060616901,0.052994732713958867,0.069803073223389675,0.13577959319172209
PROPOSED_UL_PLUS_M,2,1,0.066348979882551284,0.38974085555136856,0.97132071118661822,0.78116404498961778,0.87846145823568933,0.92592592592592593,0.86660097847060569,0.042578728444760364,0.066348979882551284,0.11153554991827719
PROPOSED_UL_PLUS_M,4,pooled,0.067800349292396395,0.42005287498823746,0.96219781366691026,0.80493055440917738,0.85124504590539718,0.89814814814814814,0.83945889083838865,0.036773974717094343,0.067800349292396395,0.11497651996145683
PROPOSED_UL_PLUS_M,4,0,0.070216388435415639,0.46019555792292782,0.95083758681575281,0.81666978229252751,0.81027222212804872,0.88888888888888884,0.8275732438952601,0.03780335851262083,0.070216388435415639,0.12480636087509754
PROPOSED_UL_PLUS_M,4,1,0.065384310149377137,0.38407428452348941,0.97017200973438034,0.79140481024213538,0.87969699495445219,0.90740740740740744,0.84791807602782743,0.035511746183681157,0.065384310149377137,0.10514667904781612
PROPOSED_UL_PLUS_M,8,pooled,0.070995168708658407,0.43984618128938363,0.95300332111545027,0.80891458059837285,0.84044516732016294,0.91666666666666663,0.82256817780873326,0.028269213575632852,0.070995168708658407,0.10896109449589862
PROPOSED_UL_PLUS_M,8,0,0.074011497249551639,0.48506855775979557,0.93698472987196713,0.83071344957681015,0.79215664244787143,0.88888888888888884,0.80169765615071442,0.027669120535191185,0.074011497249551639,0.117730013095268
PROPOSED_UL_PLUS_M,8,1,0.067978840167765162,0.3993148255372358,0.96433966477957478,0.78934137246737446,0.87397770707906153,0.94444444444444442,0.83751298669467156,0.028577931193719559,0.067978840167765162,0.10019217589652922
PROPOSED_UL_PLUS_M,16,pooled,0.078037691186030697,0.48347769417483821,0.93357753106343244,0.77164773275206999,0.80090422661408744,0.89814814814814814,0.79629082397045203,0.019622666457493793,0.078037691186030697,0.10476923366320143
PROPOSED_UL_PLUS_M,16,0,0.080192098500492942,0.5255759849338979,0.91118832609824452,0.76454029992749983,0.74600810295524389,0.87037037037037035,0.77400471172919505,0.016729792330258543,0.080192098500492942,0.11284050469901283
PROPOSED_UL_PLUS_M,16,1,0.075883283871568466,0.44574635556574943,0.94933740808372835,0.77818352375940747,0.83902466442722679,0.92592592592592593,0.81207955380563124,0.022378179715339192,0.075883283871568466,0.096697962627390041
PROPOSED_UL_PLUS_M,32,pooled,0.083373490761099622,0.51653531076915382,0.91859905462159608,0.76531904043239107,0.76124712818903117,0.87037037037037035,0.77244047268797356,0.015457651104509177,0.083373490761099622,0.10227149293049487
PROPOSED_UL_PLUS_M,32,0,0.085565805964888469,0.56079506070517182,0.89314267664421021,0.75751846628535857,0.70325720710167372,0.83333333333333337,0.75084930028137487,0.010821210114832636,0.085565805964888469,0.10923775082830114
PROPOSED_UL_PLUS_M,32,1,0.081181175557310803,0.47686672609555636,0.93661244834837065,0.77466803718018507,0.80151504179684752,0.90740740740740744,0.787876181228224,0.020086495263121912,0.081181175557310803,0.095305235032688618
DIRECT_M_LABEL_FAIR_REFERENCE,2,pooled,0.012826380701540383,0.079465049156906109,0.99758668994044641,0.99097811693198801,0.9938198152951101,0.98148148148148151,0.96564249885434073,-0.0023001448447926417,0.012826380701540383,0.18207206140325807
DIRECT_M_LABEL_FAIR_REFERENCE,2,0,0.011505592790991412,0.075407220617084797,0.99752049496800277,0.9915380217267008,0.99344542530933377,0.98148148148148151,0.96299214485517859,-0.0024340526544311702,0.011505592790991412,0.19058848350129437
DIRECT_M_LABEL_FAIR_REFERENCE,2,1,0.014147168612089357,0.083101949845580003,0.99763731053292426,0.98970840480274425,0.99407964478611521,0.98148148148148151,0.96749658938310401,-0.0021721514100452983,0.014147168612089357,0.17355563930522175
