outer_fold,session,omitted_subject,frozen_order,refit_order,unchanged
0,0,1,1,1,True
0,0,2,1,1,True
0,0,3,1,1,True
0,0,5,1,1,True
0,0,6,1,1,True
0,0,7,1,1,True
0,0,8,1,1,True
0,0,9,1,1,True
0,0,12,1,1,True
0,0,13,1,1,True
0,0,14,1,1,True
0,0,15,1,1,True
0,0,16,1,1,True
0,0,17,1,1,True
0,0,19,1,1,True
0,0,20,1,1,True
0,0,21,1,1,True
0,0,22,1,1,True
0,0,23,1,1,True
0,0,24,1,1,True
0,0,25,1,1,True
0,0,26,1,1,True
0,0,27,1,1,True
0,0,28,1,1,True
0,0,29,1,1,True
0,0,30,1,1,True
0,0,32,1,1,True
0,0,33,1,1,True
0,0,34,1,1,True
0,0,35,1,1,True
0,0,36,1,1,True
0,0,38,1,1,True
0,0,39,1,1,True
0,0,40,1,1,True
0,0,41,1,1,True
0,0,42,1,1,True
0,0,44,1,1,True
0,0,47,1,1,True
0,0,48,1,1,True
0,0,49,1,1,True
0,0,50,1,1,True
0,0,51,1,1,True
0,0,52,1,1,True
0,0,53,1,1,True
0,0,54,1,1,True
0,1,1,1,1,True
0,1,2,1,1,True
0,1,3,1,1,True
0,1,5,1,1,True
0,1,6,1,1,True
0,1,7,1,1,True
0,1,8,1,1,True
0,1,9,1,1,True
0,1,12,1,1,True
0,1,13,1,1,True
0,1,14,1,1,True
0,1,15,1,1,True
0,1,16,1,1,True
0,1,17,1,1,True
0,1,19,1,1,True
0,1,20,1,1,True
0,1,21,1,1,True
0,1,22,1,1,True
0,1,23,1,1,True
0,1,24,1,1,True
0,1,25,1,1,True
0,1,26,1,1,True
0,1,27,1,1,True
0,1,28,1,1,True
0,1,29,1,1,True
0,1,30,1,1,True
0,1,32,1,1,True
0,1,33,1,1,True
0,1,34,1,1,True
0,1,35,1,1,True
0,1,36,1,1,True
0,1,38,1,1,True
0,1,39,1,1,True
0,1,40,1,1,True
0,1,41,1,1,True
0,1,42,1,1,True
0,1,44,1,1,True
0,1,47,1,1,True
0,1,48,1,1,True
0,1,49,1,1,True
0,1,50,1,1,True
0,1,51,1,1,True
0,1,52,1,1,True
0,1,53,1,1,True
0,1,54,1,1,True
1,0,1,1,1,True
1,0,2,1,1,True
1,0,3,1,1,True
1,0,4,1,1,True
1,0,5,1,1,True
1,0,6,1,1,True
1,0,7,1,1,True
1,0,8,1,1,True
1,0,9,1,1,True
1,0,10,1,1,True
1,0,11,1,1,True
1,0,12,1,1,True
1,0,13,1,1,True
1,0,14,1,1,True
1,0,15,1,1,True
1,0,17,1,1,True
1,0,18,1,1,True
1,0,19,1,1,True
1,0,20,1,1,True
1,0,21,1,1,True
1,0,22,1,1,True
1,0,23,1,1,True
1,0,24,1,1,True
1,0,25,1,1,True
1,0,26,1,1,True
1,0,27,1,1,True
1,0,28,1,1,True
1,0,31,1,1,True
1,0,32,1,1,True
1,0,33,1,1,True
1,0,34,1,1,True
1,0,35,1,1,True
1,0,37,1,1,True
1,0,39,1,1,True
1,0,40,1,1,True
1,0,41,1,1,True
1,0,42,1,1,True
1,0,43,1,1,True
1,0,44,1,1,True
1,0,45,1,1,True
1,0,46,1,1,True
1,0,47,1,1,True
1,0,48,1,1,True
1,0,50,1,1,True
1,0,53,1,1,True
1,1,1,1,1,True
1,1,2,1,1,True
1,1,3,1,1,True
1,1,4,1,1,True
1,1,5,1,1,True
1,1,6,1,1,True
1,1,7,1,1,True
1,1,8,1,1,True
1,1,9,1,1,True
1,1,10,1,1,True
1,1,11,1,1,True
1,1,12,1,1,True
1,1,13,1,1,True
1,1,14,1,1,True
1,1,15,1,1,True
1,1,17,1,1,True
1,1,18,1,1,True
1,1,19,1,1,True
1,1,20,1,1,True
1,1,21,1,1,True
1,1,22,1,1,True
1,1,23,1,1,True
1,1,24,1,1,True
1,1,25,1,1,True
1,1,26,1,1,True
1,1,27,1,1,True
1,1,28,1,1,True
1,1,31,1,1,True
1,1,32,1,1,True
1,1,33,1,1,True
1,1,34,1,1,True
1,1,35,1,1,True
1,1,37,1,1,True
1,1,39,1,1,True
1,1,40,1,1,True
1,1,41,1,1,True
1,1,42,1,1,True
1,1,43,1,1,True
1,1,44,1,1,True
1,1,45,1,1,True
1,1,46,1,1,True
1,1,47,1,1,True
1,1,48,1,1,True
1,1,50,1,1,True
1,1,53,1,1,True
2,0,2,1,1,True
2,0,3,1,1,True
2,0,4,1,1,True
2,0,5,1,1,True
2,0,6,1,1,True
2,0,7,1,1,True
2,0,10,1,1,True
2,0,11,1,1,True
2,0,12,1,1,True
2,0,13,1,1,True
2,0,15,1,1,True
2,0,16,1,1,True
2,0,18,1,1,True
2,0,20,1,1,True
2,0,21,1,1,True
2,0,22,1,1,True
2,0,23,1,1,True
2,0,24,1,1,True
2,0,25,1,1,True
2,0,26,1,1,True
2,0,27,1,1,True
2,0,28,1,1,True
2,0,29,1,1,True
2,0,30,1,1,True
2,0,31,1,1,True
2,0,32,1,1,True
2,0,33,1,1,True
2,0,34,1,1,True
2,0,35,1,1,True
2,0,36,1,1,True
2,0,37,1,1,True
2,0,38,1,1,True
2,0,39,1,1,True
2,0,41,1,1,True
2,0,43,1,1,True
2,0,44,1,1,True
2,0,45,1,1,True
2,0,46,1,1,True
2,0,47,1,1,True
2,0,48,1,1,True
2,0,49,1,1,True
2,0,51,1,1,True
2,0,52,1,1,True
2,0,53,1,1,True
2,0,54,1,1,True
2,1,2,1,1,True
2,1,3,1,1,True
2,1,4,1,1,True
2,1,5,1,1,True
2,1,6,1,1,True
2,1,7,1,1,True
2,1,10,1,1,True
2,1,11,1,1,True
2,1,12,1,1,True
2,1,13,1,1,True
2,1,15,1,1,True
2,1,16,1,1,True
2,1,18,1,1,True
2,1,20,1,1,True
2,1,21,1,1,True
2,1,22,1,1,True
2,1,23,1,1,True
2,1,24,1,1,True
2,1,25,1,1,True
2,1,26,1,1,True
2,1,27,1,1,True
2,1,28,1,1,True
2,1,29,1,1,True
2,1,30,1,1,True
2,1,31,1,1,True
2,1,32,1,1,True
2,1,33,1,1,True
2,1,34,1,1,True
2,1,35,1,1,True
2,1,36,1,1,True
2,1,37,1,1,True
2,1,38,1,1,True
2,1,39,1,1,True
2,1,41,1,1,True
2,1,43,1,1,True
2,1,44,1,1,True
2,1,45,1,1,True
2,1,46,1,1,True
2,1,47,1,1,True
2,1,48,1,1,True
2,1,49,1,1,True
2,1,51,1,1,True
2,1,52,1,1,True
2,1,53,1,1,True
2,1,54,1,1,True
3,0,1,1,1,True
3,0,3,1,1,True
3,0,4,1,1,True
3,0,5,1,1,True
3,0,6,1,1,True
3,0,7,1,1,True
3,0,8,1,1,True
3,0,9,1,1,True
3,0,10,1,1,True
3,0,11,1,1,True
3,0,14,1,1,True
3,0,15,1,1,True
3,0,16,1,1,True
3,0,17,1,1,True
3,0,18,1,1,True
3,0,19,1,1,True
3,0,22,1,1,True
3,0,23,1,1,True
3,0,24,1,1,True
3,0,26,1,1,True
3,0,27,1,1,True
3,0,28,1,1,True
3,0,29,1,1,True
3,0,30,1,1,True
3,0,31,1,1,True
3,0,33,1,1,True
3,0,34,1,1,True
3,0,35,1,1,True
3,0,36,1,1,True
3,0,37,1,1,True
3,0,38,1,1,True
3,0,40,1,1,True
3,0,42,1,1,True
3,0,43,1,1,True
3,0,44,1,1,True
3,0,45,1,1,True
3,0,46,1,1,True
3,0,47,1,1,True
3,0,48,1,1,True
3,0,49,1,1,True
3,0,50,1,1,True
3,0,51,1,1,True
3,0,52,1,1,True
3,0,53,1,1,True
3,0,54,1,1,True
3,1,1,1,1,True
3,1,3,1,1,True
3,1,4,1,1,True
3,1,5,1,1,True
3,1,6,1,1,True
3,1,7,1,1,True
3,1,8,1,1,True
3,1,9,1,1,True
3,1,10,1,1,True
3,1,11,1,1,True
3,1,14,1,1,True
3,1,15,1,1,True
3,1,16,1,1,True
3,1,17,1,1,True
3,1,18,1,1,True
3,1,19,1,1,True
3,1,22,1,1,True
3,1,23,1,1,True
3,1,24,1,1,True
3,1,26,1,1,True
3,1,27,1,1,True
3,1,28,1,1,True
3,1,29,1,1,True
3,1,30,1,1,True
3,1,31,1,1,True
3,1,33,1,1,True
3,1,34,1,1,True
3,1,35,1,1,True
3,1,36,1,1,True
3,1,37,1,1,True
3,1,38,1,1,True
3,1,40,1,1,True
3,1,42,1,1,True
3,1,43,1,1,True
3,1,44,1,1,True
3,1,45,1,1,True
3,1,46,1,1,True
3,1,47,1,1,True
3,1,48,1,1,True
3,1,49,1,1,True
3,1,50,1,1,True
3,1,51,1,1,True
3,1,52,1,1,True
3,1,53,1,1,True
3,1,54,1,1,True
4,0,1,1,1,True
4,0,2,1,1,True
4,0,4,1,1,True
4,0,5,1,1,True
4,0,6,1,1,True
4,0,8,1,1,True
4,0,9,1,1,True
4,0,10,1,1,True
4,0,11,1,1,True
4,0,12,1,1,True
4,0,13,1,1,True
4,0,14,1,1,True
4,0,16,1,1,True
4,0,17,1,1,True
4,0,18,1,1,True
4,0,19,1,1,True
4,0,20,1,1,True
4,0,21,1,1,True
4,0,24,1,1,True
4,0,25,1,1,True
4,0,27,1,1,True
4,0,28,1,1,True
4,0,29,1,1,True
4,0,30,1,1,True
4,0,31,1,1,True
4,0,32,1,1,True
4,0,34,1,1,True
4,0,36,1,1,True
4,0,37,1,1,True
4,0,38,1,1,True
4,0,39,1,1,True
4,0,40,1,1,True
4,0,41,1,1,True
4,0,42,1,1,True
4,0,43,1,1,True
4,0,44,1,1,True
4,0,45,1,1,True
4,0,46,1,1,True
4,0,47,1,1,True
4,0,48,1,1,True
4,0,49,1,1,True
4,0,50,1,1,True
4,0,51,1,1,True
4,0,52,1,1,True
4,0,54,1,1,True
4,1,1,1,1,True
4,1,2,1,1,True
4,1,4,1,1,True
4,1,5,1,1,True
