budget,proposed_mae,direct_mae,mean_improvement_direct_minus_proposed,improvement_session0,improvement_session1,improvement_ci_low,improvement_ci_high,paired_sign_flip_p,beta_sign_accuracy,beta_sign_accuracy_ci_low,beta_sign_accuracy_ci_high,semantic_sign_accuracy,semantic_sign_accuracy_ci_low,semantic_sign_accuracy_ci_high,proposed_pearson,proposed_spearman,proposed_signed_r2,direct_pearson,direct_spearman,direct_signed_r2,leave_one_subject_improvement_positive,eligible,passes
2,0.12365757155499964,0.18207206140325807,0.058414489848258429,0.054808890309572304,0.062020089386944574,0.038640049135176997,0.077214028050934261,0.00050000000000000001,0.86518518518518517,0.80333217592592598,0.92018634259259247,0.75004629629629638,0.70851851851851866,0.79139004629629628,0.96619536481707624,0.81003925784795439,0.84892147658902806,0.99758668994044641,0.99097811693198801,0.9938198152951101,True,True,True
4,0.11497651996145682,0.13138133102802138,0.016404811066564565,0.013664697429396662,0.019144924703732472,-0.0050283033416488624,0.036150848852254024,0.051499999999999997,0.87203703703703705,0.80717476851851866,0.92782638888888902,0.79412037037037064,0.75365624999999992,0.83467824074074082,0.96219781366691026,0.80493055440917738,0.85124504590539718,0.99783670863430851,0.99359798793906651,0.99443832405125665,True,True,False
8,0.10896109449589861,0.091142606078052413,-0.017818488417846206,-0.022882194826222498,-0.01275478200946991,-0.039928156806306209,0.0028468332498279621,0.9425,0.87314814814814812,0.80685069444444435,0.93277893518518507,0.84314814814814809,0.80490740740740752,0.88083449074074061,0.95300332111545027,0.80891458059837285,0.84044516732016294,0.99908544345030159,0.99680852077319526,0.99683611550130546,False,True,False
16,0.10476923366320144,0.061954723382767335,-0.042814510280434113,-0.048219530496747029,-0.037409490064121212,-0.065654248386041461,-0.022592879275164155,1,0.86833333333333329,0.79763773148148165,0.93180555555555555,0.89231481481481467,0.85814814814814822,0.92439814814814825,0.93357753106343244,0.77164773275206999,0.80090422661408744,0.99955534438325389,0.99859955986167082,0.9984039185162229,False,False,False
32,0.10227149293049491,0.039367673964535305,-0.062903818965959576,-0.067671995846797436,-0.05813564208512173,-0.085891396577137832,-0.04283867199536643,1,0.86462962962962975,0.79143402777777794,0.93018750000000006,0.93115740740740738,0.90148148148148133,0.95764004629629618,0.91859905462159608,0.76531904043239107,0.76124712818903117,0.99979239252000285,0.99954271342421896,0.9986922572051139,False,False,False
