budget,subject,session,proposed_mae,direct_mae,improvement,proposed_beta_sign_accuracy,semantic_sign_accuracy
2,1,0,0.25892395435268123,0.25647518242961298,-0.0024487719230682492,0.79500000000000004,0.79500000000000004
2,1,1,0.10424166666499209,0.19742145857567003,0.093179791910677948,0.89000000000000001,0.89000000000000001
2,2,0,0.21237739707444889,0.10105338043005291,-0.11132401664439598,0,0.95999999999999996
2,2,1,0.22161172851434416,0.1559388993548545,-0.06567282915948966,0,0.89000000000000001
2,3,0,0.078556062579458741,0.20947152647875789,0.13091546389929914,0.95499999999999996,0.95499999999999996
2,3,1,0.088072161934556303,0.2310838607874928,0.14301169885293649,0.97999999999999998,0.97999999999999998
2,4,0,0.11020606216823189,0.1607781867313664,0.050572124563134507,1,0.76000000000000001
2,4,1,0.044691609222871499,0.077773211552929794,0.033081602330058295,1,0.60999999999999999
2,5,0,0.090845919954002319,0.14849888668340713,0.057652966729404814,0.96499999999999997,0.96499999999999997
2,5,1,0.060745832756982247,0.17738909279684958,0.11664326003986733,0.93000000000000005,0.93000000000000005
2,6,0,0.068556829798109925,0.17028835902959749,0.10173152923148757,1,0.54000000000000004
2,6,1,0.1292765815257276,0.16943293162989539,0.040156350104167793,1,0.69999999999999996
2,7,0,0.41420579409031538,0.27592382631092138,-0.138281967779394,0.48499999999999999,0.51500000000000001
2,7,1,0.51816157219639036,0.35140080711891464,-0.16676076507747573,0.32500000000000001,0.67500000000000004
2,8,0,0.25868521450248688,0.24698429132387911,-0.011700923178607769,0.32000000000000001,0.68000000000000005
2,8,1,0.28497977805042146,0.23743763622392777,-0.047542141826493689,0.28499999999999998,0.71499999999999997
2,9,0,0.082655598370290059,0.17391220865051804,0.091256610280227982,0,0.91000000000000003
2,9,1,0.1936061017932704,0.15796473800031186,-0.035641363792958541,1,0.84499999999999997
2,10,0,0.16840789577774345,0.2408899608478948,0.072482065070151341,1,0.69999999999999996
2,10,1,0.080714461311743826,0.1401182418627758,0.059403780551031973,1,0.62
2,11,0,0.014166066667153421,0.12867551322874221,0.11450944656158879,1,0.52000000000000002
2,11,1,0.019099498229275896,0.11838139201522074,0.099281893785944847,1,0.57499999999999996
2,12,0,0.10051375304635669,0.13063197621372546,0.030118223167368771,1,0.78500000000000003
2,12,1,0.12642319465343665,0.16522509745879529,0.03880190280535864,1,0.70499999999999996
2,13,0,0.090445683259613927,0.14811690964801952,0.057671226388405591,1,0.69499999999999995
2,13,1,0.05159202391631857,0.17066766680292131,0.11907564288660274,1,0.53000000000000003
2,14,0,0.094748763864659011,0.12511631436718335,0.030367550502524335,1,0.69999999999999996
2,14,1,0.14039154689867531,0.18893033045075902,0.048538783552083714,1,0.72999999999999998
2,15,0,0.060506677080904743,0.1354705141957411,0.074963837114836368,1,0.60999999999999999
2,15,1,0.044430986805988691,0.16179956285963137,0.11736857605364268,1,0.59999999999999998
2,16,0,0.37025045937752876,0.27419419943665302,-0.096056259940875743,0.36499999999999999,0.63500000000000001
2,16,1,0.0010282315821628918,0.1523869099269245,0.1513586783447616,1,0.45000000000000001
2,17,0,0.19193474794914905,0.11336950666457177,-0.078565241284577286,1,0.90500000000000003
2,17,1,0.11871708300065935,0.17363882429818303,0.054921741297523682,1,0.83999999999999997
2,18,0,0.11473425043485236,0.22995108673813136,0.115216836303279,0.97499999999999998,0.97499999999999998
2,18,1,0.094983424784929327,0.16976917303244407,0.074785748247514744,0.95999999999999996,0.95999999999999996
2,19,0,0.11062168379541525,0.21157345156899382,0.10095176777357857,0.91000000000000003,0.91000000000000003
2,19,1,0.098497504554592719,0.1870811766710542,0.088583672116461482,0.83999999999999997,0.83999999999999997
