outer_fold,session,gamma,mean_correction,median_correction,affine_slope,affine_intercept
0,0,0.20108376344994378,-0.0058759983955658833,-0.0040561318315860684,0.97420760374195325,-0.00053801020857557663
0,1,0.20442178694784136,-0.0066734306310230907,-0.00400400357768739,0.97271780315875678,-0.00091428935279154152
1,0,0.19238049387807277,-0.0059940136768345947,-0.0039229739186036061,0.97064874049771122,-0.00017147202695175977
1,1,0.1795095402774412,-0.0065271310738620764,-0.0045108005478868979,0.97001351157508853,-0.00094854458177721034
2,0,0.21317774727337999,-0.0065588278216464008,-0.0044555191640718028,0.97184728281142818,-0.00037264616701088285
2,1,0.21348465721017024,-0.0070039850430091916,-0.0040623761891976917,0.972472054671911,-0.00093438575359903932
3,0,0.19862711559800461,-0.0060976881796625465,-0.0044904373452135105,0.97255528883821385,-0.00047907507233117423
3,1,0.19238733141058001,-0.0065273481658503513,-0.0043706422317669746,0.97279945065967277,-0.0011167596095162308
4,0,0.20932145622410378,-0.0065736174113331389,-0.0044689993660088634,0.97163967802788942,-0.00045076361083961665
4,1,0.20979251612109848,-0.0066838762002282585,-0.0042448963846726806,0.97210172994353872,-0.0006445593463995674
5,0,0.21280708699322537,-0.0066944903390801329,-0.0046599304186512591,0.97211258395236855,-0.00057315852890279476
5,1,0.20878390330542179,-0.0068247222838080579,-0.0046570256032180679,0.97169794166373746,-0.00072255438458020647
