subject,session,permutation_index,permutation,cost,cost_rank,is_identity
3,2,7,1|0|3|2,3.8589947018055337,24,False
3,2,8,1|2|0|3,0.8394974423745183,5,False
3,2,9,1|2|3|0,1.4512923125044008,11,False
3,2,10,1|3|0|2,3.7940123078001577,23,False
3,2,11,1|3|2|0,1.100182091975866,8,False
3,2,12,2|0|1|3,0.8372835814800144,4,False
3,2,13,2|0|3|1,2.6411648280324105,18,False
3,2,14,2|1|0|3,0.9639022087082605,7,False
3,2,15,2|1|3|0,1.5756970788381433,12,False
3,2,16,2|3|0|1,2.576182434027035,17,False
3,2,17,2|3|1|0,1.3840960576045211,10,False
3,2,18,3|0|1|2,3.517959789729006,19,False
3,2,19,3|0|2|1,2.0162159503272283,13,False
3,2,20,3|1|0|2,3.6445784169572524,21,False
3,2,21,3|1|2|0,0.9507482011329609,6,False
3,2,22,3|2|0|1,2.302343776850387,15,False
3,2,23,3|2|1|0,1.1102574004278734,9,False
3,3,0,0|1|2|3,1.4571552799417136,10,True
3,3,1,0|1|3|2,3.571779530547085,20,False
3,3,2,0|2|1|3,2.341995348948656,17,False
3,3,3,0|2|3|1,0.769358423914216,3,False
3,3,4,0|3|1|2,3.949168627490803,23,False
3,3,5,0|3|2|1,0.2619074518509914,1,False
3,3,6,1|0|2|3,1.3919468305774467,9,False
3,3,7,1|0|3|2,3.506571081182819,19,False
3,3,8,1|2|0|3,2.024147185848161,14,False
3,3,9,1|2|3|0,1.5042978102403979,11,False
3,3,10,1|3|0|2,3.631320464390308,21,False
3,3,11,1|3|2|0,0.9968468381771731,6,False
3,3,12,2|0|1|3,2.5051716138560134,18,False
3,3,13,2|0|3|1,0.9325346888215736,5,False
3,3,14,2|1|0|3,2.252531900119785,16,False
3,3,15,2|1|3|0,1.7326825245120219,12,False
3,3,16,2|3|0|1,1.057284072029063,7,False
3,3,17,2|3|1|0,2.11007162145574,15,False
3,3,18,3|0|1|2,3.9813674996230057,24,False
3,3,19,3|0|2|1,0.294106323983194,2,False
3,3,20,3|1|0|2,3.728727785886777,22,False
3,3,21,3|1|2|0,1.0942541596736424,8,False
3,3,22,3|2|0|1,0.9263066792539081,4,False
3,3,23,3|2|1|0,1.9790942286805848,13,False
4,2,0,0|1|2|3,0.22837981136852886,1,True
4,2,1,0|1|3|2,3.142773699570344,20,False
4,2,2,0|2|1|3,0.2305989559394327,2,False
4,2,3,0|2|3|1,3.0982993827988476,19,False
4,2,4,0|3|1|2,3.006483914013904,18,False
4,2,5,0|3|2|1,2.9597904526715038,16,False
4,2,6,1|0|2|3,0.4196672446026134,3,False
4,2,7,1|0|3|2,3.3340611328044285,24,False
4,2,8,1|2|0|3,0.5035516099214429,5,False
4,2,9,1|2|3|0,1.6529179192074543,11,False
4,2,10,1|3|0|2,3.279436567995914,22,False
4,2,11,1|3|2|0,1.5144089890801105,9,False
4,2,12,2|0|1|3,0.42708437266092886,4,False
4,2,13,2|0|3|1,3.294784799520344,23,False
4,2,14,2|1|0|3,0.5087495934088545,6,False
4,2,15,2|1|3|0,1.6581159026948662,12,False
4,2,16,2|3|0|1,3.2401602347118295,21,False
4,2,17,2|3|1|0,1.521826117138426,10,False
4,2,18,3|0|1|2,2.8785347981227893,14,False
4,2,19,3|0|2|1,2.8318413367803896,13,False
4,2,20,3|1|0|2,2.960200018870715,17,False
4,2,21,3|1|2|0,1.195172439954912,7,False
4,2,22,3|2|0|1,2.915725702099219,15,False
4,2,23,3|2|1|0,1.1973915845258156,8,False
4,3,0,0|1|2|3,3.0614325547641332,19,True
4,3,1,0|1|3|2,2.2564283205069624,14,False
4,3,2,0|2|1|3,3.625775384870928,23,False
4,3,3,0|2|3|1,0.3803609808938201,1,False
4,3,4,0|3|1|2,3.00692771291852,17,False
4,3,5,0|3|2|1,0.5665175431985825,3,False
4,3,6,1|0|2|3,3.0441704138294425,18,False
4,3,7,1|0|3|2,2.2391661795722717,13,False
4,3,8,1|2|0|3,3.4830675167691045,21,False
4,3,9,1|2|3|0,0.7801230654423236,5,False
4,3,10,1|3|0|2,2.864219844816696,15,False
4,3,11,1|3|2|0,0.966279627747086,7,False
4,3,12,2|0|1|3,3.6861704562524977,24,False
4,3,13,2|0|3|1,0.4407560522753896,2,False
4,3,14,2|1|0|3,3.560724729085365,22,False
4,3,15,2|1|3|0,0.8577802777585839,6,False
4,3,16,2|3|0|1,1.0658097175198138,8,False
4,3,17,2|3|1|0,1.6082796701701412,11,False
4,3,18,3|0|1|2,3.0929391276143656,20,False
4,3,19,3|0|2|1,0.6525289578944286,4,False
4,3,20,3|1|0|2,2.967493400447233,16,False
4,3,21,3|1|2|0,1.0695531833776228,9,False
4,3,22,3|2|0|1,1.0914260608340904,10,False
4,3,23,3|2|1|0,1.6338960134844176,12,False
5,2,0,0|1|2|3,0.9280590555353176,6,True
5,2,1,0|1|3|2,1.8364662945148824,13,False
5,2,2,0|2|1|3,0.8604336889933998,5,False
5,2,3,0|2|3|1,2.4694274435409795,18,False
5,2,4,0|3|1|2,1.6811552943784918,11,False
5,2,5,0|3|2|1,2.3817418099465075,17,False
5,2,6,1|0|2|3,0.7236330025093337,4,False
5,2,7,1|0|3|2,1.6320402414888981,10,False
5,2,8,1|2|0|3,0.4791808384630142,2,False
5,2,9,1|2|3|0,3.920068100691183,24,False
5,2,10,1|3|0|2,1.2999024438481064,9,False
5,2,11,1|3|2|0,3.832382467096711,22,False
5,2,12,2|0|1|3,0.5778272528936589,3,False
5,2,13,2|0|3|1,2.186821007441239,16,False
5,2,14,2|1|0|3,0.4010004553892572,1,False
5,2,15,2|1|3|0,3.8418877176174266,23,False
5,2,16,2|3|0|1,1.8546832098004469,14,False
5,2,17,2|3|1|0,3.686576717481036,21,False
5,2,18,3|0|1|2,1.2971771870400957,8,False
5,2,19,3|0|2|1,1.9977637026081112,15,False
5,2,20,3|1|0|2,1.120350389535694,7,False
5,2,21,3|1|2|0,3.6528304127842985,20,False
5,2,22,3|2|0|1,1.7533115385617917,12,False
5,2,23,3|2|1|0,3.585205046242381,19,False
5,3,0,0|1|2|3,0.1797815710775257,6,True
5,3,1,0|1|3|2,2.869959795971841,20,False
5,3,2,0|2|1|3,0.03308980003491427,1,False
5,3,3,0|2|3|1,3.2894027058313418,23,False
5,3,4,0|3|1|2,2.0262130280489927,7,False
5,3,5,0|3|2|1,2.592347708951105,16,False
5,3,6,1|0|2|3,0.17576526460014127,5,False
5,3,7,1|0|3|2,2.8659434894944567,19,False
5,3,8,1|2|0|3,0.060078281585050214,3,False
5,3,9,1|2|3|0,3.1967329021781516,21,False
5,3,10,1|3|0|2,2.0532015095991287,8,False
5,3,11,1|3|2|0,2.499677905297915,14,False
5,3,12,2|0|1|3,0.04807569120824391,2,False
5,3,13,2|0|3|1,3.304388597004672,24,False
5,3,14,2|1|0|3,0.0790804792357643,4,False
5,3,15,2|1|3|0,3.2157350998288656,22,False
5,3,16,2|3|0|1,2.4916466171093443,13,False
5,3,17,2|3|1|0,2.3719883319060173,11,False
