session,geometry,object,subject,permutation_index,permutation,is_identity,score,true_rank,normalized_rank,top1,margin
0train,AIRM,D_exact,1,0,0-1-2-3,True,0.9646996154656344,3.0,0.9130434782608695,False,-0.0070619255208367315
0train,AIRM,D_exact,1,1,0-1-3-2,False,0.9430358723288358,,,,
0train,AIRM,D_exact,1,2,0-2-1-3,False,0.9213189227291005,,,,
0train,AIRM,D_exact,1,3,0-2-3-1,False,0.9113934283122951,,,,
0train,AIRM,D_exact,1,4,0-3-1-2,False,0.8976345499169851,,,,
0train,AIRM,D_exact,1,5,0-3-2-1,False,0.9093727986369782,,,,
0train,AIRM,D_exact,1,6,1-0-2-3,False,0.9717615409864712,,,,
0train,AIRM,D_exact,1,7,1-0-3-2,False,0.9498151779610658,,,,
0train,AIRM,D_exact,1,8,1-2-0-3,False,0.9270720410557136,,,,
0train,AIRM,D_exact,1,9,1-2-3-0,False,0.9078644346913287,,,,
0train,AIRM,D_exact,1,10,1-3-0-2,False,0.9005589563142069,,,,
0train,AIRM,D_exact,1,11,1-3-2-0,False,0.9032977129752273,,,,
0train,AIRM,D_exact,1,12,2-0-1-3,False,0.9134627918289249,,,,
0train,AIRM,D_exact,1,13,2-0-3-1,False,0.9134163568096225,,,,
0train,AIRM,D_exact,1,14,2-1-0-3,False,0.9121539846347013,,,,
0train,AIRM,D_exact,1,15,2-1-3-0,False,0.9031080575564261,,,,
0train,AIRM,D_exact,1,16,2-3-0-1,False,0.9576462602905433,,,,
0train,AIRM,D_exact,1,17,2-3-1-0,False,0.9486467682315706,,,,
0train,AIRM,D_exact,1,18,3-0-1-2,False,0.9001673403150232,,,,
0train,AIRM,D_exact,1,19,3-0-2-1,False,0.9220672683211262,,,,
0train,AIRM,D_exact,1,20,3-1-0-2,False,0.896312441080015,,,,
0train,AIRM,D_exact,1,21,3-1-2-0,False,0.9089302571385385,,,,
0train,AIRM,D_exact,1,22,3-2-0-1,False,0.9683178014773638,,,,
0train,AIRM,D_exact,1,23,3-2-1-0,False,0.9590356895297845,,,,
0train,AIRM,D_exact,2,0,0-1-2-3,True,0.9383903693495439,16.0,0.34782608695652173,False,-0.04181743497688528
0train,AIRM,D_exact,2,1,0-1-3-2,False,0.9802078043264292,,,,
0train,AIRM,D_exact,2,2,0-2-1-3,False,0.9368926925565217,,,,
0train,AIRM,D_exact,2,3,0-2-3-1,False,0.9278717932673175,,,,
0train,AIRM,D_exact,2,4,0-3-1-2,False,0.9771528697861313,,,,
0train,AIRM,D_exact,2,5,0-3-2-1,False,0.9263145355200417,,,,
0train,AIRM,D_exact,2,6,1-0-2-3,False,0.9380872998901839,,,,
0train,AIRM,D_exact,2,7,1-0-3-2,False,0.9792120281386498,,,,
0train,AIRM,D_exact,2,8,1-2-0-3,False,0.944435993197778,,,,
0train,AIRM,D_exact,2,9,1-2-3-0,False,0.9321079148970326,,,,
0train,AIRM,D_exact,2,10,1-3-0-2,False,0.9708484697043678,,,,
0train,AIRM,D_exact,2,11,1-3-2-0,False,0.9173956631551566,,,,
0train,AIRM,D_exact,2,12,2-0-1-3,False,0.9524852056632662,,,,
0train,AIRM,D_exact,2,13,2-0-3-1,False,0.9442457245616198,,,,
0train,AIRM,D_exact,2,14,2-1-0-3,False,0.9603315757638825,,,,
0train,AIRM,D_exact,2,15,2-1-3-0,False,0.9494776223791146,,,,
0train,AIRM,D_exact,2,16,2-3-0-1,False,0.9570396311532613,,,,
0train,AIRM,D_exact,2,17,2-3-1-0,False,0.9544251588701397,,,,
0train,AIRM,D_exact,2,18,3-0-1-2,False,0.9800090810825139,,,,
0train,AIRM,D_exact,2,19,3-0-2-1,False,0.9306448717324018,,,,
0train,AIRM,D_exact,2,20,3-1-0-2,False,0.97470045718853,,,,
0train,AIRM,D_exact,2,21,3-1-2-0,False,0.9220290688268766,,,,
0train,AIRM,D_exact,2,22,3-2-0-1,False,0.944996036071319,,,,
0train,AIRM,D_exact,2,23,3-2-1-0,False,0.9416888570597779,,,,
0train,AIRM,D_exact,3,0,0-1-2-3,True,0.9914799054941912,2.0,0.9565217391304348,False,-0.0007500159458959654
0train,AIRM,D_exact,3,1,0-1-3-2,False,0.9687446722057051,,,,
0train,AIRM,D_exact,3,2,0-2-1-3,False,0.9693678498457245,,,,
0train,AIRM,D_exact,3,3,0-2-3-1,False,0.962048293267638,,,,
0train,AIRM,D_exact,3,4,0-3-1-2,False,0.9382663285984522,,,,
0train,AIRM,D_exact,3,5,0-3-2-1,False,0.9536820053088517,,,,
0train,AIRM,D_exact,3,6,1-0-2-3,False,0.9900916889293583,,,,
0train,AIRM,D_exact,3,7,1-0-3-2,False,0.96774758462736,,,,
0train,AIRM,D_exact,3,8,1-2-0-3,False,0.9650571606582168,,,,
0train,AIRM,D_exact,3,9,1-2-3-0,False,0.9593063056956559,,,,
0train,AIRM,D_exact,3,10,1-3-0-2,False,0.9411816969119104,,,,
0train,AIRM,D_exact,3,11,1-3-2-0,False,0.9577749462513481,,,,
0train,AIRM,D_exact,3,12,2-0-1-3,False,0.9586268503031377,,,,
0train,AIRM,D_exact,3,13,2-0-3-1,False,0.9546394364846689,,,,
0train,AIRM,D_exact,3,14,2-1-0-3,False,0.9557043776804628,,,,
0train,AIRM,D_exact,3,15,2-1-3-0,False,0.9528945364910318,,,,
0train,AIRM,D_exact,3,16,2-3-0-1,False,0.9785162760396149,,,,
0train,AIRM,D_exact,3,17,2-3-1-0,False,0.979693848668653,,,,
0train,AIRM,D_exact,3,18,3-0-1-2,False,0.9400614018272996,,,,
0train,AIRM,D_exact,3,19,3-0-2-1,False,0.958418092310829,,,,
0train,AIRM,D_exact,3,20,3-1-0-2,False,0.9439738577191028,,,,
0train,AIRM,D_exact,3,21,3-1-2-0,False,0.9638992498181582,,,,
0train,AIRM,D_exact,3,22,3-2-0-1,False,0.9906612198245612,,,,
0train,AIRM,D_exact,3,23,3-2-1-0,False,0.9922299214400871,,,,
0train,AIRM,D_exact,4,0,0-1-2-3,True,0.9854587542791757,3.0,0.9130434782608695,False,-0.008758953114449186
0train,AIRM,D_exact,4,1,0-1-3-2,False,0.9820874475421155,,,,
0train,AIRM,D_exact,4,2,0-2-1-3,False,0.9653140709053812,,,,
0train,AIRM,D_exact,4,3,0-2-3-1,False,0.9604067800541778,,,,
0train,AIRM,D_exact,4,4,0-3-1-2,False,0.957344420286595,,,,
0train,AIRM,D_exact,4,5,0-3-2-1,False,0.9558084361724517,,,,
0train,AIRM,D_exact,4,6,1-0-2-3,False,0.9839038343932787,,,,
0train,AIRM,D_exact,4,7,1-0-3-2,False,0.9810455126850253,,,,
0train,AIRM,D_exact,4,8,1-2-0-3,False,0.9583234482658688,,,,
0train,AIRM,D_exact,4,9,1-2-3-0,False,0.9673871511099976,,,,
0train,AIRM,D_exact,4,10,1-3-0-2,False,0.9592545008178526,,,,
0train,AIRM,D_exact,4,11,1-3-2-0,False,0.9711765253702347,,,,
0train,AIRM,D_exact,4,12,2-0-1-3,False,0.9621346623694605,,,,
0train,AIRM,D_exact,4,13,2-0-3-1,False,0.9593451552161126,,,,
0train,AIRM,D_exact,4,14,2-1-0-3,False,0.9566989596158452,,,,
0train,AIRM,D_exact,4,15,2-1-3-0,False,0.9673674611290228,,,,
0train,AIRM,D_exact,4,16,2-3-0-1,False,0.978946538400283,,,,
0train,AIRM,D_exact,4,17,2-3-1-0,False,0.9924045470668085,,,,
0train,AIRM,D_exact,4,18,3-0-1-2,False,0.9559781720774908,,,,
