session,geometry,subject,split,mean_C,median_C,max_C,mean_relative_curvature,max_relative_curvature
0train,AIRM,1,A,0.001047506590452274,0.0010020509700717772,0.001863081825443702,0.0007754080910007368,0.0027794223250317803
0train,AIRM,1,B,0.0008840921606276438,0.0008671326515169442,0.0013780820178914688,0.0006297683870574747,0.0018440490574109653
0train,AIRM,1,F,0.000671857457443877,0.0005866517111150493,0.0011929145307525424,0.0005569983970019568,0.0019708833018196145
0train,AIRM,2,A,0.0001932065727405785,0.0001813119445549516,0.0003302280925798762,0.00028427163495642474,0.00047534618292832947
0train,AIRM,2,B,0.0001424522869788216,0.00014719990641716418,0.00019587898793460568,0.0003004428069367389,0.0005620256628250704
0train,AIRM,2,F,9.335406710895648e-05,8.434901642953574e-05,0.00013407174746171702,0.0002302011251712801,0.0005643916035226373
0train,AIRM,3,A,0.0018134529451662162,0.00179505664844537,0.0024599507763038986,0.0005740827253985164,0.0010140946146773061
0train,AIRM,3,B,0.0008771782422429079,0.0008812663992147085,0.001073058093967516,0.0006037129569075537,0.0010845142191750936
0train,AIRM,3,F,0.00087168106243903,0.0008466316140064434,0.0011861053049844195,0.0004252231158039022,0.00087925104527474
0train,AIRM,4,A,0.00014566215939232352,0.00015153200000375677,0.00019157529294056008,0.00036685233105297846,0.00048495791797074987
0train,AIRM,4,B,0.00011851992836037217,0.0001236817606634355,0.00015268165572318582,0.00029040896918118363,0.0006974550800513971
0train,AIRM,4,F,8.290116353867893e-05,8.430761441638457e-05,0.00012298455371650974,0.00026265580297800574,0.000484325948204912
0train,AIRM,5,A,5.221253363283292e-05,5.2141066188671203e-05,6.0782779144147314e-05,0.00019946353107874032,0.00026058210158048906
0train,AIRM,5,B,7.052202517757178e-05,7.215307232988355e-05,9.521890649855091e-05,0.00021382986735921767,0.0003351868299853856
0train,AIRM,5,F,2.6863302894466107e-05,2.9406083856903242e-05,3.454495671928459e-05,0.0001319698984414481,0.00020629064401979304
0train,AIRM,6,A,0.0002598933036339161,0.00026243927553779023,0.00034712856667828973,0.00043423203224365116,0.0007686869033625917
0train,AIRM,6,B,0.000255195126915575,0.0002699715370138578,0.0003157756195136807,0.00037421359394787854,0.0005766111970647285
0train,AIRM,6,F,0.00014606214772409457,0.00015783545041608837,0.00018384015889749694,0.00031225460559293006,0.0005561698433766368
0train,AIRM,7,A,0.0008388224704322286,0.0007756191280530178,0.0016284949665932302,0.0005984474126764781,0.001253525251592225
0train,AIRM,7,B,0.00035499880760215635,0.0003167518762029753,0.0006190854795968814,0.0004773244237926638,0.0012174209144271539
0train,AIRM,7,F,0.00040997796630829847,0.00037726034845242395,0.0008704412388984561,0.0004264796142930379,0.0009451275716302397
0train,AIRM,8,A,0.0018128631771298458,0.0016523171538279646,0.002869370338067334,0.0008564585994357132,0.0016726787448805886
0train,AIRM,8,B,0.0012201240440481431,0.0010265536390414165,0.001886201080570249,0.0008759313004250195,0.001983320617368303
0train,AIRM,8,F,0.0011850978446720044,0.0010008757708762084,0.001979329845512634,0.0007404230317823562,0.0015563114968654207
0train,AIRM,9,A,0.0009508040284998409,0.0008994269001647015,0.001534471855388908,0.000517060625612467,0.0010923164781022163
0train,AIRM,9,B,0.0010340070497409186,0.0009675824764374674,0.001926159531084437,0.00047966766893652144,0.0006909327311864392
0train,AIRM,9,F,0.0006379789714691294,0.0005516575025155124,0.0010236731117512221,0.0003393234977618617,0.0005267089267468226
0train,LE,1,A,2.1279274638648835e-16,0.0,1.7763568394002505e-15,-4.889095554870396e-17,3.491557447716122e-16
0train,LE,1,B,-1.6653345369377348e-16,0.0,5.551115123125783e-16,-1.1050012263004037e-16,9.23982636498044e-16
0train,LE,1,F,-1.2027416100105862e-16,0.0,6.106226635438361e-16,1.3420307133625359e-17,1.3004738597744888e-15
0train,LE,2,A,1.850371707708594e-17,0.0,2.220446049250313e-16,-3.652110441924375e-17,2.894288726740237e-16
0train,LE,2,B,1.295260195396016e-16,5.551115123125783e-17,4.440892098500626e-16,1.7048168971026956e-16,6.099394644366702e-16
0train,LE,2,F,2.544261098099317e-17,1.3877787807814457e-17,2.220446049250313e-16,-7.525345508873928e-17,2.9253748158968e-16
0train,LE,3,A,4.810966440042345e-16,0.0,2.6645352591003757e-15,1.5597383531633132e-16,8.073908978855629e-16
0train,LE,3,B,-1.850371707708594e-17,0.0,4.440892098500626e-16,-1.471732311796688e-17,4.519061713002643e-16
0train,LE,3,F,0.0,0.0,0.0,0.0,0.0
0train,LE,4,A,-4.625929269271486e-17,0.0,5.551115123125783e-17,-1.1104294249912694e-16,2.3556548032617813e-16
0train,LE,4,B,8.789265611615822e-17,9.71445146547012e-17,2.220446049250313e-16,2.204047722375726e-16,5.636653953746336e-16
0train,LE,4,F,9.25185853854297e-18,0.0,1.1102230246251565e-16,6.347468242820204e-18,4.771112191607835e-16
0train,LE,5,A,1.850371707708594e-17,0.0,8.326672684688674e-17,9.979129096152073e-17,4.3653323566466474e-16
0train,LE,5,B,2.7755575615628914e-17,0.0,1.1102230246251565e-16,1.4695848340512135e-16,5.554861605961987e-16
0train,LE,5,F,-4.625929269271486e-17,-4.163336342344337e-17,0.0,-3.623098681803984e-16,0.0
0train,LE,6,A,0.0,0.0,1.1102230246251565e-16,-5.8838983729789366e-18,1.7543948734037364e-16
0train,LE,6,B,9.25185853854297e-18,0.0,2.220446049250313e-16,-7.990719582378443e-19,4.752920892415066e-16
0train,LE,6,F,-9.25185853854297e-18,0.0,0.0,-4.3255910631141445e-17,0.0
0train,LE,7,A,2.7755575615628914e-17,0.0,6.106226635438361e-16,2.3385200280995304e-16,1.3610069471729063e-15
0train,LE,7,B,-1.4802973661668753e-16,0.0,0.0,-1.0305904493040311e-16,0.0
0train,LE,7,F,1.6190752442450199e-16,2.0816681711721685e-16,8.881784197001252e-16,4.647994618570483e-16,1.4336748348462832e-15
0train,LE,8,A,-3.1456319031046104e-16,-5.551115123125783e-17,0.0,-1.3414937395729855e-16,0.0
0train,LE,8,B,-3.700743415417188e-17,0.0,0.0,-7.334392976992307e-17,0.0
0train,LE,8,F,2.6830389761774615e-16,3.608224830031759e-16,4.440892098500626e-16,1.7337596606484018e-16,5.751842258109685e-16
0train,LE,9,A,9.43689570931383e-16,9.992007221626409e-16,1.7763568394002505e-15,3.315315743986219e-16,7.34950731358679e-16
0train,LE,9,B,1.8503717077085943e-16,1.1102230246251565e-16,8.881784197001252e-16,1.6564406738717447e-16,5.832701399216286e-16
0train,LE,9,F,-8.881784197001252e-16,-4.440892098500626e-16,-1.1102230246251565e-16,-4.086668935967916e-16,-1.3528025694557547e-16
1test,AIRM,1,A,0.001408784742101099,0.0013259053519594222,0.0025692787760842606,0.0009245050416178849,0.003033749336407025
1test,AIRM,1,B,0.00167073767968412,0.001525925813713247,0.002843200768341325,0.0013715060229443274,0.004533662975469073
1test,AIRM,1,F,0.0010031392451751813,0.0010052975014662735,0.0015498069515262891,0.0010172067848383123,0.004060825328569652
1test,AIRM,2,A,0.00014441228877483855,0.00014235684559804618,0.0002263904435193531,0.0002023005431502255,0.0002570476000292417
1test,AIRM,2,B,0.00010931290998463887,0.00010037673871907127,0.0001936643405912042,0.00022082979322816755,0.00027553768601444936
1test,AIRM,2,F,8.087293101671778e-05,7.088743892674776e-05,0.00014789758598876546,0.00015855457087036353,0.0001873624094335678
1test,AIRM,3,A,0.0015869574000771935,0.0015931296316948895,0.0020093699161998213,0.0006880642455411593,0.001466449493791794
1test,AIRM,3,B,0.0014628846697471998,0.0014336119588854723,0.0019152317163582122,0.0007792827859395821,0.001589380249388468
1test,AIRM,3,F,0.0011031726323025293,0.0010567599420865381,0.0013589215573430735,0.000576773075467114,0.0013227274855164485
1test,AIRM,4,A,0.00023281776068335516,0.00023233893628726854,0.00033323969362897277,0.0004134937955317048,0.0011657961646821954
1test,AIRM,4,B,0.00041331848489284395,0.0003906151143744374,0.000609704344451234,0.0006664670927806121,0.0018605383461674197
1test,AIRM,4,F,0.0002001184168680901,0.00020004748156465801,0.0003083359650950246,0.00043778662012831205,0.0013058680029536971
