subject,feature,seed,nmi,ari,hungarian_accuracy,purity,cluster_entropy,cluster_size_imbalance,seed_assignment,mapping_accuracy,mapping_balanced_accuracy
1,F0,9.5,0.334301548186735,0.2826041161243923,0.5052083333333334,0.5104166666666666,0.962772215502439,0.2152777777777778,9.5,0.4930555555555556,0.4930555555555556
1,F1,9.5,0.3963755222658673,0.29928396700292437,0.5008680555555556,0.515625,0.967229769105902,0.19618055555555555,9.5,0.5008680555555556,0.5008680555555556
1,F2-S,9.5,0.17716649458415357,0.13684645769009832,0.4375,0.4461805555555556,0.9964388572093205,0.0625,9.5,0.33767361111111116,0.33767361111111116
1,F2-V,9.5,0.08823264282126261,0.07319874114588176,0.390625,0.40017361111111116,0.9963346856540907,0.06770833333333333,9.5,0.3793402777777778,0.3793402777777778
1,F3-G,9.5,0.03363550358713755,0.019828488197338113,0.3263888888888889,0.3298611111111111,0.7751884082295794,0.4635416666666667,9.5,0.203125,0.203125
2,F0,9.5,0.0038967514068857317,-0.0025272719037119406,0.2743055555555556,0.2743055555555556,0.8754243592395536,0.4079861111111111,9.5,0.24479166666666666,0.24479166666666666
2,F1,9.5,0.009115297536578547,0.003697973931617547,0.3055555555555556,0.3055555555555556,0.9089719413314497,0.28125,9.5,0.2517361111111111,0.2517361111111111
2,F2-S,9.5,0.00964673288649215,0.002719101874691374,0.29079861111111116,0.3020833333333333,0.9832528353632962,0.1519097222222222,9.5,0.2612847222222222,0.2612847222222222
2,F2-V,9.5,0.005533897045539532,6.320429738775133e-05,0.28385416666666663,0.2934027777777778,0.9956158462853282,0.06597222222222222,9.5,0.2795138888888889,0.2795138888888889
2,F3-G,9.5,0.00672866225410123,0.0003608056463682206,0.2934027777777778,0.2934027777777778,0.8298166756733574,0.3715277777777778,9.5,0.2482638888888889,0.2482638888888889
3,F0,9.5,0.23720679755820184,0.23454690481891835,0.5460069444444444,0.5460069444444444,0.9651759779552311,0.1909722222222222,9.5,0.5460069444444444,0.5460069444444444
3,F1,9.5,0.2536129941846801,0.2374905507943358,0.5798611111111112,0.5798611111111112,0.9961731813477307,0.06597222222222222,9.5,0.5798611111111112,0.5798611111111112
3,F2-S,9.5,0.11920412254025303,0.10642105986658743,0.46267361111111116,0.46267361111111116,0.9899571163260084,0.09461805555555555,9.5,0.46267361111111116,0.4626736111111111
3,F2-V,9.5,0.030684762701631417,0.024226245936141238,0.33420138888888884,0.3428819444444444,0.9979426383496256,0.04774305555555555,9.5,0.2934027777777778,0.2934027777777778
3,F3-G,9.5,0.015140068677193076,0.00621728866275259,0.2986111111111111,0.3003472222222222,0.7890028913221906,0.4045138888888889,9.5,0.2361111111111111,0.2361111111111111
4,F0,9.5,0.05088353509217037,0.0471613915322252,0.3611111111111111,0.3854166666666667,0.9637617369021002,0.1892361111111111,9.5,0.3020833333333333,0.30208333333333337
4,F1,9.5,0.08768432192198519,0.06722813396684965,0.3871527777777778,0.3923611111111111,0.9927555809992445,0.09114583333333334,9.5,0.3315972222222222,0.33159722222222227
4,F2-S,9.5,0.03773725351400319,0.027253249684254514,0.3324652777777778,0.3368055555555556,0.9915709435320841,0.10069444444444445,9.5,0.3194444444444444,0.3194444444444444
4,F2-V,9.5,0.02731420800252738,0.021388266210243836,0.3229166666666667,0.3315972222222222,0.9930878918013,0.08333333333333334,9.5,0.3038194444444444,0.3038194444444445
4,F3-G,9.5,0.017981929040512917,0.002864355940067736,0.2881944444444444,0.2899305555555556,0.7245219721971959,0.4982638888888889,9.5,0.25,0.24999999999999997
5,F0,9.5,0.005279033810578423,-0.0002439940868889162,0.2760416666666667,0.2795138888888889,0.9485051639661788,0.24739583333333334,9.5,0.2586805555555556,0.2586805555555556
5,F1,9.5,0.0043092220440559895,-0.0009741739477688593,0.2708333333333333,0.2743055555555556,0.9593544922557763,0.2074652777777778,9.5,0.24305555555555555,0.24305555555555558
5,F2-S,9.5,0.004799829936017942,-0.0014676729321487748,0.2777777777777778,0.2829861111111111,0.9417434154991835,0.2230902777777778,9.5,0.27517361111111116,0.2751736111111111
5,F2-V,9.5,0.010913799646047788,0.00501800794784025,0.2934027777777778,0.29947916666666663,0.9931420240942108,0.08940972222222222,9.5,0.2725694444444444,0.2725694444444444
5,F3-G,9.5,0.005900407723777684,-0.0010881419914864994,0.2673611111111111,0.2743055555555556,0.6088968208882845,0.5642361111111112,9.5,0.2604166666666667,0.2604166666666667
6,F0,9.5,0.020204841082916817,0.01637945743433838,0.3315972222222222,0.3350694444444444,0.9806638703527835,0.1519097222222222,9.5,0.24305555555555555,0.24305555555555552
6,F1,9.5,0.026972209860436337,0.021467865842014093,0.3420138888888889,0.3489583333333333,0.9901401189830645,0.1015625,9.5,0.265625,0.265625
6,F2-S,9.5,0.021219974549006947,0.015223208633282297,0.3107638888888889,0.3246527777777778,0.9775738475805174,0.14930555555555555,9.5,0.2708333333333333,0.2708333333333333
6,F2-V,9.5,0.011421000835142709,0.005456726202560212,0.2951388888888889,0.3020833333333333,0.9909093430122027,0.09722222222222221,9.5,0.265625,0.265625
6,F3-G,9.5,0.01096656280534122,0.0036140245814636263,0.296875,0.296875,0.8275720253737526,0.3871527777777778,9.5,0.2309027777777778,0.2309027777777778
7,F0,9.5,0.20984127155115725,0.16454553751464385,0.4739583333333333,0.4739583333333333,0.9960980234466927,0.07118055555555555,9.5,0.4739583333333333,0.4739583333333333
7,F1,9.5,0.15451375109702897,0.13411191486627022,0.4774305555555556,0.4774305555555556,0.995380760629498,0.07552083333333334,9.5,0.4774305555555556,0.4774305555555556
7,F2-S,9.5,0.04003246170065845,0.02497395891422244,0.34114583333333337,0.3472222222222222,0.9722215413847698,0.1857638888888889,9.5,0.28732638888888884,0.2873263888888889
7,F2-V,9.5,0.010555086971281503,0.004709934667023392,0.3107638888888889,0.3107638888888889,0.9986771770056511,0.03993055555555555,9.5,0.3090277777777778,0.3090277777777778
7,F3-G,9.5,0.012936343474337687,0.0038891563277288215,0.2986111111111111,0.3003472222222222,0.8400086315057919,0.3611111111111111,9.5,0.2465277777777778,0.24652777777777776
8,F0,9.5,0.11325518734801791,0.08646662848808527,0.3611111111111111,0.4288194444444444,0.9942427880198701,0.07465277777777778,9.5,0.3246527777777778,0.3246527777777778
8,F1,9.5,0.2897479391133107,0.26326899450142893,0.5512152777777778,0.5885416666666666,0.9889751478215175,0.12152777777777778,9.5,0.5451388888888888,0.5451388888888888
8,F2-S,9.5,0.053058377844783344,0.04473226554664094,0.390625,0.390625,0.9974666527805469,0.052951388888888895,9.5,0.390625,0.390625
8,F2-V,9.5,0.01719062257414892,0.011023713594366154,0.3315972222222222,0.3315972222222222,0.9990580678473605,0.03298611111111111,9.5,0.3315972222222222,0.3315972222222222
8,F3-G,9.5,0.016401424333696644,-0.0006361411660146111,0.2847222222222222,0.2864583333333333,0.7333372559898113,0.4565972222222222,9.5,0.2465277777777778,0.24652777777777776
9,F0,9.5,0.2378429048634316,0.23026194918770818,0.5729166666666666,0.5729166666666666,0.980085724244961,0.1579861111111111,9.5,0.4045138888888889,0.40451388888888884
9,F1,9.5,0.3285828515299716,0.3062382067141013,0.5815972222222222,0.6232638888888888,0.9875428692254113,0.11371527777777778,9.5,0.5338541666666667,0.5338541666666667
9,F2-S,9.5,0.09977736982771945,0.08855419756982616,0.4079861111111111,0.4427083333333333,0.9924817177645262,0.09461805555555555,9.5,0.3706597222222222,0.3706597222222222
9,F2-V,9.5,0.11995203016169209,0.09123912192592028,0.3645833333333333,0.4331597222222222,0.9985611409729906,0.042534722222222224,9.5,0.3472222222222222,0.3472222222222222
9,F3-G,9.5,0.044179711021990274,0.026979193165417848,0.34375,0.359375,0.8296162404801564,0.46875,9.5,0.2152777777777778,0.2152777777777778
