subject,feature,seed,nmi,ari,hungarian_accuracy,purity,cluster_entropy,cluster_size_imbalance
1,F0,0,0.33725309520785873,0.28516315176974283,0.5052083333333334,0.5104166666666666,0.9619462328106823,0.2170138888888889
1,F0,1,0.334301548186735,0.2826041161243923,0.5069444444444444,0.5104166666666666,0.9630154518786797,0.2152777777777778
1,F0,2,0.33414354067948815,0.2824174419076073,0.5034722222222222,0.5086805555555556,0.962772215502439,0.2152777777777778
1,F0,3,0.334301548186735,0.2826041161243923,0.5069444444444444,0.5104166666666666,0.9630154518786794,0.2152777777777778
1,F0,4,0.3372530952078588,0.28516315176974283,0.5052083333333334,0.5104166666666666,0.9619462328106824,0.2170138888888889
1,F0,5,0.33749025621845,0.2855275953591602,0.5069444444444444,0.5104166666666666,0.96138019053461,0.21875
1,F0,6,0.33749025621845,0.2855275953591602,0.5069444444444444,0.5104166666666666,0.9613801905346098,0.21875
1,F0,7,0.33414354067948815,0.2824174419076073,0.5034722222222222,0.5086805555555556,0.9627722155024392,0.2152777777777778
1,F0,8,0.334301548186735,0.2826041161243923,0.5069444444444444,0.5104166666666666,0.9630154518786797,0.2152777777777778
1,F0,9,0.33414354067948804,0.2824174419076073,0.5034722222222222,0.5086805555555556,0.962772215502439,0.2152777777777778
1,F0,10,0.33414354067948804,0.2824174419076073,0.5034722222222222,0.5086805555555556,0.9627722155024392,0.2152777777777778
1,F0,11,0.33414354067948804,0.2824174419076073,0.5034722222222222,0.5086805555555556,0.962772215502439,0.2152777777777778
1,F0,12,0.33406550389260886,0.28223783397270935,0.5052083333333334,0.5104166666666666,0.963581494154752,0.21354166666666666
1,F0,13,0.33437970483753676,0.28278334965768204,0.5052083333333334,0.5086805555555556,0.9622061732263667,0.2170138888888889
1,F0,14,0.3343015481867351,0.2826041161243923,0.5069444444444444,0.5104166666666666,0.9630154518786797,0.2152777777777778
1,F0,15,0.3341435406794881,0.2824174419076073,0.5034722222222222,0.5086805555555556,0.962772215502439,0.2152777777777778
1,F0,16,0.334301548186735,0.2826041161243923,0.5069444444444444,0.5104166666666666,0.9630154518786794,0.2152777777777778
1,F0,17,0.33414354067948804,0.2824174419076073,0.5034722222222222,0.5086805555555556,0.9627722155024392,0.2152777777777778
1,F0,18,0.33437970483753676,0.28278334965768204,0.5052083333333334,0.5086805555555556,0.9622061732263666,0.2170138888888889
1,F0,19,0.33749025621845,0.2855275953591602,0.5069444444444444,0.5104166666666666,0.9613801905346098,0.21875
1,F1,0,0.3939267734156131,0.296752308870336,0.5017361111111112,0.515625,0.9685049700344251,0.19270833333333334
1,F1,1,0.3931962751932926,0.29579491403143715,0.5017361111111112,0.5121527777777778,0.9685038246721026,0.19270833333333334
1,F1,2,0.39631837603185033,0.3006581664904071,0.5017361111111112,0.5190972222222222,0.9659126695577858,0.1996527777777778
1,F1,3,0.39412536810083215,0.29502933588482727,0.4982638888888889,0.5086805555555556,0.9696369095958473,0.1909722222222222
1,F1,4,0.3979117180330432,0.3013618597378836,0.5,0.515625,0.9649556305349591,0.203125
1,F1,5,0.3979605301335915,0.3010959489433631,0.5,0.515625,0.9659126695577859,0.1996527777777778
1,F1,6,0.3979117180330433,0.3013618597378836,0.5,0.515625,0.9649556305349591,0.203125
1,F1,7,0.3950030876605888,0.2964419110745721,0.5,0.5104166666666666,0.9688515156037979,0.19270833333333334
1,F1,8,0.39698062140211243,0.2995435124673539,0.4982638888888889,0.5121527777777778,0.9663932715985878,0.19791666666666666
1,F1,9,0.3941523561272187,0.29730031388923994,0.5034722222222222,0.5138888888888888,0.9676902865851651,0.19444444444444445
1,F1,10,0.3946964774954779,0.298166275848772,0.5017361111111112,0.515625,0.9672297691059021,0.19618055555555555
1,F1,11,0.3964394541559168,0.29988202463727776,0.5034722222222222,0.5173611111111112,0.9691287745457607,0.1875
1,F1,12,0.3931962751932926,0.29579491403143715,0.5017361111111112,0.5121527777777778,0.9685038246721026,0.19270833333333334
1,F1,13,0.39903750491198253,0.3027514149609194,0.5017361111111112,0.5190972222222222,0.9654177769653771,0.2013888888888889
1,F1,14,0.39598038751677056,0.29902442153849484,0.5017361111111112,0.515625,0.9691516491205169,0.1857638888888889
1,F1,15,0.3964326684998843,0.2986985966960547,0.5,0.5121527777777778,0.967229769105902,0.19618055555555555
1,F1,16,0.3979605301335915,0.3010959489433631,0.5,0.515625,0.9659126695577859,0.1996527777777778
1,F1,17,0.3909138110556002,0.2921572036341462,0.5052083333333334,0.5121527777777778,0.9715880662856896,0.1857638888888889
1,F1,18,0.3979605301335915,0.3010959489433631,0.5,0.515625,0.9659126695577858,0.1996527777777778
1,F1,19,0.3979605301335915,0.3010959489433631,0.5,0.515625,0.9659126695577858,0.1996527777777778
1,F2-S,0,0.17747854488481463,0.13773451048687083,0.4409722222222222,0.4479166666666667,0.9972444207227951,0.05381944444444445
1,F2-S,1,0.1785732576302569,0.1385986498774715,0.4461805555555556,0.4461805555555556,0.9974664868770534,0.050347222222222224
1,F2-S,2,0.1824915171771135,0.14135876338730868,0.4513888888888889,0.453125,0.9964159795965128,0.06076388888888889
1,F2-S,3,0.17810074840620818,0.13307907974623023,0.4375,0.4461805555555556,0.9951071415820488,0.0798611111111111
1,F2-S,4,0.1694323612467072,0.13420045226745617,0.4340277777777778,0.4427083333333333,0.9958556673425014,0.07118055555555555
1,F2-S,5,0.1777264578618361,0.13739477651395723,0.4444444444444444,0.4444444444444444,0.9976535051088593,0.050347222222222224
1,F2-S,6,0.1779272970926675,0.13806666927865596,0.4375,0.4479166666666667,0.9977378469754068,0.050347222222222224
1,F2-S,7,0.17122603540332967,0.1362981388662394,0.4357638888888889,0.4461805555555556,0.9958352648510116,0.07291666666666667
1,F2-S,8,0.18200982021741646,0.14214430238485107,0.4479166666666667,0.4479166666666667,0.9958045343645955,0.0642361111111111
1,F2-S,9,0.16982649847128095,0.13471988510110372,0.4340277777777778,0.4444444444444444,0.995478475110315,0.07465277777777778
1,F2-S,10,0.17911149700474852,0.13966445915248443,0.4461805555555556,0.4496527777777778,0.9972312908845209,0.05381944444444445
1,F2-S,11,0.16943236124670719,0.13420045226745617,0.4340277777777778,0.4427083333333333,0.9958556673425015,0.07118055555555555
1,F2-S,12,0.16593181965619858,0.13219155305687358,0.4305555555555556,0.4409722222222222,0.9964617348221281,0.06770833333333333
1,F2-S,13,0.18224719724737562,0.14289865992263046,0.4513888888888889,0.4513888888888889,0.9957642125707917,0.06597222222222222
1,F2-S,14,0.17685444428349248,0.13387616073617511,0.4375,0.4409722222222222,0.996787836785177,0.06076388888888889
1,F2-S,15,0.17433453231404075,0.14076837180620339,0.4427083333333333,0.4513888888888889,0.9951671969951348,0.0798611111111111
