relation,fraction_len_count,fraction_len_mean,fraction_len_median,fraction_len_min,fraction_len_max,fraction_ang_count,fraction_ang_mean,fraction_ang_median,fraction_ang_min,fraction_ang_max,fraction_ori_count,fraction_ori_mean,fraction_ori_median,fraction_ori_min,fraction_ori_max
same_subject_same_class,36,0.08491822575225227,0.036893901523819356,0.00620095020015727,0.42910698883618026,36,0.4597094525403321,0.46350725310112545,0.251151310814215,0.6234681723650785,36,0.45537232170741565,0.4532357193380489,0.2652466679542562,0.5975178205866531
same_subject_different_class,108,0.10933285432704551,0.06988825131348386,0.0020097911677365086,0.547579283259568,108,0.45251592739797836,0.448459208943248,0.1783837010489898,0.7664210453668645,108,0.43815121827497616,0.4456396132257307,0.14865688630055376,0.7103461129195264
different_subject_same_class,288,0.1281353276852368,0.0814093431413186,0.0006316971894210256,0.6692185201664681,288,0.41298775372159086,0.4002304919251516,0.14855355497988357,0.7481845095889093,288,0.45887691859317237,0.47165959313617967,0.12259905907078507,0.6866113414652814
different_subject_different_class,864,0.12253734473809734,0.07827582188963222,0.0016648937659237712,0.6511443772227933,864,0.4364727149927088,0.42094828724264205,0.17538936472304315,0.8051879968788652,864,0.44098994026919386,0.45924129555745374,0.1222003914631912,0.7213110419467785
