comparison,row_cell,column_cell,c_len,c_ang,c_ori,c_full,c_sensor,fraction_len,fraction_ang,fraction_ori,frozen_full_reproduction_absolute_error,reproduced_distance
S1 Left0 -> S1 Left1,0,0,0.00744456028678701,0.21234053268760822,0.2857450958870783,0.21978509297439522,0.5055301888614735,0.014726242766140688,0.42003531612193046,0.5652384411119289,2.7755575615628914e-17,0.4688124283489029
S1 Left0 -> S2 Left1,0,4,0.020320267966382886,0.832420152353732,0.4743950630308559,0.8527404203201149,1.3271354833509708,0.015311374174907086,0.6272307257220643,0.3574579001030286,0.0,0.9234394513556993
S1 Left0 -> S1 Feet1,0,2,0.0676879527660775,0.7530319655136942,0.6907015363071023,0.8207199182797718,1.511421454586874,0.04478430060699321,0.49822765399312463,0.45698804539988214,0.0,0.9059359349754108
S1 Left0 -> S2 Feet1,0,6,0.20749912847190372,1.3165396455221914,0.7204054157909856,1.524038773994095,2.2444441897850806,0.09245011723449137,0.5865771363413844,0.3209727464241242,0.0,1.2345196531421017
