component,subject,class,a_sc,b_sc,c_sc,d_sc,S_sc,C_sc,J_sc
len,1,left_hand,0.00744456028678701,0.08166018291717601,0.3447785548150819,0.11226938616113619,0.3373339945282949,0.074215622630389,0.3067247912843347
len,1,right_hand,0.007633849957329585,0.0802128576141913,0.03708262333903756,0.21654843028441184,0.029448773381707972,0.0725790076568617,-0.10688679928851258
len,1,feet,0.04735258613456645,0.036106749966202806,0.09725243675960679,0.15810029700167777,0.04989985062504034,-0.011245836168363645,-0.07209369641043462
len,1,tongue,0.056739206744711536,0.1528449522814864,0.14525737210412112,0.2644241116621098,0.0885181653594096,0.09610574553677487,-0.023060994021213782
len,2,left_hand,0.215698192719428,0.08085212979080314,0.4417874340825497,0.2317687932684128,0.22608924136312172,-0.13484606292862486,0.07517257788551204
len,2,right_hand,0.2075611068770914,0.14628760386292908,0.3987549416486275,0.3294367691680841,0.19119383477153612,-0.06127350301416232,0.008044669466381105
len,2,feet,0.22505684672345927,0.549946236081256,0.7174670400629595,0.7642251936332154,0.4924101933395002,0.32488938935779677,0.27813123578754073
len,2,tongue,0.17744623881307453,0.25167708921858734,0.29407493777318305,0.5345948076461979,0.11662869896010852,0.0742308504055128,-0.16628901946750207
len,3,left_hand,0.0038930982406350087,0.14936127650710626,0.31844990695527475,0.07671103286542365,0.31455680871463976,0.14546817826647127,0.3872070523563224
len,3,right_hand,0.011745157801809495,0.11784861645192653,0.10213794825037484,0.19782008298248713,0.09039279044856534,0.10610345865011703,0.010421323918004766
len,3,feet,0.08589789292270877,0.09672861915128673,0.1031359158787935,0.16113427415181628,0.01723802295608473,0.010830726228577961,-0.047167632044444824
len,3,tongue,0.023241372620441698,0.18573634567913277,0.23490113190793563,0.4315840622555698,0.21165975928749392,0.16249497305869107,-0.03418795728894308
len,4,left_hand,0.10117688012444874,0.18576924800837583,0.2911681735701097,0.06044589437730361,0.18999129344566096,0.08459236788392709,0.3153146470767331
len,4,right_hand,0.0379759242377567,0.23186661605821776,0.07803247621707396,0.16067419654706433,0.04005655197931726,0.19389069182046106,0.1112489714904707
len,4,feet,0.14682086451455445,0.1462238615653165,0.08125702058485898,0.14156173069639294,-0.06556384392969547,-0.0005970029492379514,-0.06090171306077191
len,4,tongue,0.006219930582425968,0.3592041184469264,0.21694835740067098,0.4127256273217874,0.210728426818245,0.3529841878645004,0.15720691794338393
len,5,left_hand,0.014370737345915851,0.008815324629725679,0.41088820075253335,0.18751987465639441,0.3965174634066175,-0.005555412716190172,0.21781291337994874
len,5,right_hand,0.017209897984836665,0.039543285618566716,0.08831081745169617,0.3605965882380819,0.07110091946685951,0.02233338763373005,-0.24995238315265567
