mode,subject,source_session,target_session,representation,seed,permutation,score
zero,1,both,both,F2-S,5.0,"3,2,1,0",9.855439310133944
zero,1,both,both,F2-S,6.0,"1,3,0,2",5.26555337707586
zero,1,both,both,F2-S,6.0,"0,3,1,2",5.723247918338561
zero,1,both,both,F2-S,6.0,"1,0,3,2",6.099439130481301
zero,1,both,both,F2-S,6.0,"0,1,3,2",6.867029328697724
zero,1,both,both,F2-S,6.0,"2,3,0,1",7.039599816712923
zero,1,both,both,F2-S,6.0,"3,0,1,2",7.2649032161377765
zero,1,both,both,F2-S,6.0,"2,0,3,1",7.322437886116013
zero,1,both,both,F2-S,6.0,"3,1,0,2",7.47821108822467
zero,1,both,both,F2-S,6.0,"2,3,1,0",7.585328002071726
zero,1,both,both,F2-S,6.0,"2,1,3,0",7.981217190633885
zero,1,both,both,F2-S,6.0,"0,3,2,1",8.165928431075749
zero,1,both,both,F2-S,6.0,"1,3,2,0",8.53123492448681
zero,1,both,both,F2-S,6.0,"2,1,0,3",8.798350042418768
zero,1,both,both,F2-S,6.0,"2,0,1,3",8.84169961340533
zero,1,both,both,F2-S,6.0,"0,2,3,1",8.957480140067892
zero,1,both,both,F2-S,6.0,"3,0,2,1",9.081128320021325
zero,1,both,both,F2-S,6.0,"1,2,3,0",9.225186878216238
zero,1,both,both,F2-S,6.0,"1,0,2,3",9.31325479773712
zero,1,both,both,F2-S,6.0,"1,2,0,3",9.35120280234476
zero,1,both,both,F2-S,6.0,"3,1,2,0",9.413992733834355
zero,1,both,both,F2-S,6.0,"0,2,1,3",9.589528526577118
zero,1,both,both,F2-S,6.0,"3,2,0,1",9.633072794874254
zero,1,both,both,F2-S,6.0,"0,1,2,3",9.685133389828298
zero,1,both,both,F2-S,6.0,"3,2,1,0",9.814233103484655
zero,1,both,both,F2-S,7.0,"2,3,1,0",5.416564734716572
zero,1,both,both,F2-S,7.0,"1,3,2,0",5.8105488263638465
zero,1,both,both,F2-S,7.0,"2,1,3,0",6.038561427589683
zero,1,both,both,F2-S,7.0,"1,2,3,0",6.693793816583446
zero,1,both,both,F2-S,7.0,"0,3,1,2",6.9269549850916246
zero,1,both,both,F2-S,7.0,"3,1,2,0",7.150499284187948
zero,1,both,both,F2-S,7.0,"0,1,3,2",7.266519487765873
zero,1,both,both,F2-S,7.0,"3,2,1,0",7.382840691248932
