subject,unrelated_subject,source_session,target_session,representation,summed_heldout_error
1,2,0train,0train,STATIC,0.2855366047677639
1,2,0train,0train,F1,2.148323167067374
1,2,0train,0train,F2-S,3.925642744960162
1,2,0train,1test,STATIC,0.24852075975150825
1,2,0train,1test,F1,2.376964265547666
1,2,0train,1test,F2-S,4.881941439211942
1,2,1test,0train,STATIC,0.29671814748709946
1,2,1test,0train,F1,2.2638339429358565
1,2,1test,0train,F2-S,3.6755493497176035
1,2,1test,1test,STATIC,0.2601443586500574
1,2,1test,1test,F1,2.528784400424487
1,2,1test,1test,F2-S,4.75381259689524
2,3,0train,0train,STATIC,0.1769093374017644
2,3,0train,0train,F1,4.241540926511644
2,3,0train,0train,F2-S,6.448139352377193
2,3,0train,1test,STATIC,3.9933055132676416
2,3,0train,1test,F1,2.624982239811858
2,3,0train,1test,F2-S,5.260134880328425
2,3,1test,0train,STATIC,0.1826369836841989
2,3,1test,0train,F1,4.307816066544618
2,3,1test,0train,F2-S,6.346097490622834
2,3,1test,1test,STATIC,3.7878468579787805
2,3,1test,1test,F1,2.562384002529166
2,3,1test,1test,F2-S,5.0743320412478266
3,4,0train,0train,STATIC,1.7810007730305983
3,4,0train,0train,F1,2.3016668737757744
3,4,0train,0train,F2-S,5.426616560124832
3,4,0train,1test,STATIC,0.9587810617843119
3,4,0train,1test,F1,2.367396254934488
3,4,0train,1test,F2-S,6.045584112870476
3,4,1test,0train,STATIC,1.0455970134273707
3,4,1test,0train,F1,2.092066687679317
3,4,1test,0train,F2-S,5.8259101226264205
3,4,1test,1test,STATIC,0.5142117980922793
3,4,1test,1test,F1,1.9707971973984253
3,4,1test,1test,F2-S,6.781629329699415
4,5,0train,0train,STATIC,0.7136794287272678
4,5,0train,0train,F1,4.834266376316305
4,5,0train,0train,F2-S,2.8236748838959382
4,5,0train,1test,STATIC,0.6295808590727081
4,5,0train,1test,F1,4.718062392865685
4,5,0train,1test,F2-S,3.6192634533437675
4,5,1test,0train,STATIC,0.8018041998663143
4,5,1test,0train,F1,5.214316464690166
4,5,1test,0train,F2-S,2.95478856674961
4,5,1test,1test,STATIC,0.713999028772853
4,5,1test,1test,F1,5.03348081350841
4,5,1test,1test,F2-S,3.8259541653025892
5,6,0train,0train,STATIC,1.1286453099447495
5,6,0train,0train,F1,13.243006316671169
5,6,0train,0train,F2-S,2.416075249667887
5,6,0train,1test,STATIC,0.5183591194476931
5,6,0train,1test,F1,11.102657415226266
5,6,0train,1test,F2-S,2.622028271462692
5,6,1test,0train,STATIC,1.2578616571942005
5,6,1test,0train,F1,13.491357860144625
5,6,1test,0train,F2-S,2.562278191171303
5,6,1test,1test,STATIC,0.6375179698255335
5,6,1test,1test,F1,11.2456187007984
5,6,1test,1test,F2-S,2.909049821187353
6,7,0train,0train,STATIC,0.2793782724880163
6,7,0train,0train,F1,5.094406723336863
6,7,0train,0train,F2-S,4.26856969237922
6,7,0train,1test,STATIC,0.16931019159600422
6,7,0train,1test,F1,4.096915070272661
6,7,0train,1test,F2-S,4.565010473247093
6,7,1test,0train,STATIC,0.14376340413856814
6,7,1test,0train,F1,4.068339953517808
6,7,1test,0train,F2-S,4.4278671475490246
6,7,1test,1test,STATIC,0.11148014196179279
6,7,1test,1test,F1,3.3328076551583203
6,7,1test,1test,F2-S,4.379210484632271
7,8,0train,0train,STATIC,0.4915685880161902
7,8,0train,0train,F1,3.025442954180236
7,8,0train,0train,F2-S,7.733010974725001
7,8,0train,1test,STATIC,0.18020949402442116
7,8,0train,1test,F1,2.3012630008020465
7,8,0train,1test,F2-S,8.343884362771695
7,8,1test,0train,STATIC,0.6637685203726303
7,8,1test,0train,F1,3.5113195462276154
7,8,1test,0train,F2-S,7.4385854682036445
7,8,1test,1test,STATIC,0.3014918031229
7,8,1test,1test,F1,2.4655829430949194
7,8,1test,1test,F2-S,7.933203287522432
8,9,0train,0train,STATIC,19.223778242832914
8,9,0train,0train,F1,11.414470125503378
8,9,0train,0train,F2-S,4.46552954420903
8,9,0train,1test,STATIC,13.721669368452702
8,9,0train,1test,F1,8.60609926697072
8,9,0train,1test,F2-S,3.923987707793278
8,9,1test,0train,STATIC,13.506007188286361
8,9,1test,0train,F1,8.367735120549693
8,9,1test,0train,F2-S,4.850438563681772
8,9,1test,1test,STATIC,9.507346266752092
8,9,1test,1test,F1,6.164726090965689
8,9,1test,1test,F2-S,4.310699419948154
9,1,0train,0train,STATIC,6.886621101328483
9,1,0train,0train,F1,13.907067719476167
9,1,0train,0train,F2-S,8.817332843218765
9,1,0train,1test,STATIC,7.638979328560267
9,1,0train,1test,F1,15.10996091285029
9,1,0train,1test,F2-S,15.16839046706882
9,1,1test,0train,STATIC,4.846063533191653
9,1,1test,0train,F1,10.916323714629685
9,1,1test,0train,F2-S,9.11353130076168
9,1,1test,1test,STATIC,5.533423999922821
9,1,1test,1test,F1,11.99058090681869
9,1,1test,1test,F2-S,15.573698650423466
