subject,source_session,target_session,representation,semantic_accuracy,exact_permutation,true_permutation_rank,selected,truth
8,1test,1test,STATIC,0.25,False,6,"0,2,3,1","2,3,0,1"
8,1test,1test,F1,0.5,False,2,"0,3,2,1","2,3,0,1"
8,1test,1test,F2-S,0.25,False,4,"0,2,3,1","2,3,0,1"
9,0train,0train,STATIC,0.5,False,2,"3,0,2,1","2,3,1,0"
9,0train,0train,F1,1.0,True,1,"3,2,0,1","2,3,1,0"
9,0train,0train,F2-S,0.5,False,2,"3,0,2,1","2,3,1,0"
9,0train,1test,STATIC,1.0,True,1,"2,1,3,0","3,1,0,2"
9,0train,1test,F1,1.0,True,1,"2,1,3,0","3,1,0,2"
9,0train,1test,F2-S,0.25,False,3,"3,2,1,0","3,1,0,2"
9,1test,0train,STATIC,0.5,False,2,"3,0,2,1","2,3,1,0"
9,1test,0train,F1,1.0,True,1,"3,2,0,1","2,3,1,0"
9,1test,0train,F2-S,0.5,False,2,"3,0,2,1","2,3,1,0"
9,1test,1test,STATIC,1.0,True,1,"2,1,3,0","3,1,0,2"
9,1test,1test,F1,1.0,True,1,"2,1,3,0","3,1,0,2"
9,1test,1test,F2-S,0.5,False,4,"2,3,1,0","3,1,0,2"
