subject,unrelated_subject,source_session,target_session,representation,heldout,error,best_cost,determinants
1,2,0train,0train,STATIC,0,0.06091574867792676,1.383700070917826e-20,"-1,1,-1,1"
1,2,0train,0train,STATIC,1,0.06868886410563647,1.6211062771375976e-20,"-1,1,-1,1"
1,2,0train,0train,STATIC,2,0.07384479858995831,1.5075426078488826e-20,"-1,1,-1,1"
1,2,0train,0train,STATIC,3,0.08208719339424234,6.518249855006584e-21,"-1,1,-1,1"
1,2,0train,0train,F1,0,0.40197819853544736,108.81080986296034,"-1,1,-1,1"
1,2,0train,0train,F1,1,0.6105414952290981,114.60848386905461,"-1,1,-1,1"
1,2,0train,0train,F1,2,0.7173974060918313,111.90088143000932,"-1,1,-1,1"
1,2,0train,0train,F1,3,0.41840606721099755,87.29336570958014,"-1,1,-1,1"
1,2,0train,0train,F2-S,0,1.2793446114767004,18.76277375653821,"-1,1,-1,1"
1,2,0train,0train,F2-S,1,0.7806853639295795,19.085084764504707,"-1,1,-1,1"
1,2,0train,0train,F2-S,2,0.9959692138553786,22.03956864425127,"-1,1,-1,1"
1,2,0train,0train,F2-S,3,0.869643555698503,26.321271015382464,"-1,1,-1,1"
1,2,0train,1test,STATIC,0,0.052982703591145576,4.621147686353132e-19,"-1,1,-1,1"
1,2,0train,1test,STATIC,1,0.05734642720562897,3.282750120822856e-19,"-1,1,-1,1"
1,2,0train,1test,STATIC,2,0.06705609156349153,4.45831574416989e-19,"-1,1,-1,1"
1,2,0train,1test,STATIC,3,0.07113553739124218,5.122696165715957e-19,"-1,1,-1,1"
1,2,0train,1test,F1,0,0.4639010855554215,42.537673918896346,"-1,1,-1,1"
1,2,0train,1test,F1,1,0.6752878174181106,39.96063084380269,"-1,1,-1,1"
1,2,0train,1test,F1,2,0.7893312786390237,43.15136442318,"-1,1,-1,1"
1,2,0train,1test,F1,3,0.44844408393511037,33.31260478147273,"-1,1,-1,1"
1,2,0train,1test,F2-S,0,1.6873927186893862,17.844562987205798,"-1,1,-1,1"
1,2,0train,1test,F2-S,1,0.9898781199098123,16.373852617340816,"-1,1,-1,1"
1,2,0train,1test,F2-S,2,1.297924676962169,16.79598556907398,"-1,1,-1,1"
1,2,0train,1test,F2-S,3,0.9067459236505738,23.17569712894417,"-1,1,-1,1"
1,2,1test,0train,STATIC,0,0.06956851934079838,1.6654484465547573e-20,"-1,1,-1,1"
1,2,1test,0train,STATIC,1,0.05783975603489494,2.1112283216902095e-20,"-1,1,-1,1"
1,2,1test,0train,STATIC,2,0.08000448410442099,1.923150813811535e-20,"-1,1,-1,1"
1,2,1test,0train,STATIC,3,0.08930538800698512,9.284725605877604e-21,"-1,1,-1,1"
1,2,1test,0train,F1,0,0.4430089549522986,121.76288253628492,"-1,1,-1,1"
1,2,1test,0train,F1,1,0.6099274399482033,134.14794637949922,"-1,1,-1,1"
1,2,1test,0train,F1,2,0.7637844062201377,126.98307709492246,"-1,1,-1,1"
1,2,1test,0train,F1,3,0.44711314181521683,99.88728189391297,"-1,1,-1,1"
1,2,1test,0train,F2-S,0,1.0993145905434902,21.43491052350869,"-1,1,-1,1"
1,2,1test,0train,F2-S,1,0.726104625344226,17.721963524516987,"-1,1,-1,1"
1,2,1test,0train,F2-S,2,0.9809643450299822,24.222767163710323,"-1,1,-1,1"
1,2,1test,0train,F2-S,3,0.8691657887999051,27.92076351250992,"-1,1,-1,1"
1,2,1test,1test,STATIC,0,0.06265235104101809,4.676265621951004e-19,"-1,1,-1,1"
1,2,1test,1test,STATIC,1,0.04576374930027866,3.0896096088880164e-19,"-1,1,-1,1"
1,2,1test,1test,STATIC,2,0.07300562659262255,4.46425286582505e-19,"-1,1,-1,1"
1,2,1test,1test,STATIC,3,0.07872263171613812,5.127635939252196e-19,"-1,1,-1,1"
1,2,1test,1test,F1,0,0.47778865385390284,45.91834531308758,"-1,1,-1,1"
1,2,1test,1test,F1,1,0.7202321958000958,44.58591887146687,"-1,1,-1,1"
1,2,1test,1test,F1,2,0.8504042603635914,47.63531274577389,"-1,1,-1,1"
1,2,1test,1test,F1,3,0.48035929040689684,35.10703315840678,"-1,1,-1,1"
1,2,1test,1test,F2-S,0,1.565813565263916,19.691950805505225,"-1,1,-1,1"
1,2,1test,1test,F2-S,1,0.9412872557150503,14.796561979142435,"-1,1,-1,1"
1,2,1test,1test,F2-S,2,1.2781094658899819,18.918480671691206,"-1,1,-1,1"
1,2,1test,1test,F2-S,3,0.9686023100262916,24.283367408849656,"-1,1,-1,1"
2,3,0train,0train,STATIC,0,0.04363228723672913,2.8257706128145803e-19,"-1,1,-1,1"
2,3,0train,0train,STATIC,1,0.0428020822243335,3.8892147194260904e-19,"-1,1,-1,1"
2,3,0train,0train,STATIC,2,0.04133279288892607,3.6224280946746026e-19,"-1,1,-1,1"
2,3,0train,0train,STATIC,3,0.049142175051775684,2.5323076958053073e-19,"-1,1,-1,1"
2,3,0train,0train,F1,0,1.011953980533124,24.352980696757676,"-1,1,-1,1"
2,3,0train,0train,F1,1,0.9945856123257679,26.56290967211754,"-1,1,-1,1"
2,3,0train,0train,F1,2,1.0940010245652987,26.98914360940012,"-1,1,-1,1"
2,3,0train,0train,F1,3,1.1410003090874536,21.96346047575601,"-1,1,-1,1"
2,3,0train,0train,F2-S,0,2.349258883961909,12.550454022275927,"-1,1,-1,1"
2,3,0train,0train,F2-S,1,1.80791606734987,12.904446893243701,"-1,1,-1,1"
2,3,0train,0train,F2-S,2,1.566227944177378,9.221736299970704,"-1,1,-1,1"
2,3,0train,0train,F2-S,3,0.724736456888036,11.571268482111648,"-1,1,-1,1"
2,3,0train,1test,STATIC,0,0.8528503647413205,1.7052286285961626e-19,"-1,1,-1,1"
2,3,0train,1test,STATIC,1,1.6442047209732464,2.1106546961115e-19,"-1,1,-1,1"
2,3,0train,1test,STATIC,2,0.9911186879838536,1.9104562310314113e-19,"-1,1,-1,1"
2,3,0train,1test,STATIC,3,0.5051317395692211,1.2161669175664167e-19,"-1,1,-1,1"
2,3,0train,1test,F1,0,0.5754736896982774,25.730176487378664,"-1,1,-1,1"
2,3,0train,1test,F1,1,0.7816768289567054,28.138791634720913,"-1,1,-1,1"
2,3,0train,1test,F1,2,0.6971870303801369,27.63673780492615,"-1,1,-1,1"
2,3,0train,1test,F1,3,0.5706446907767384,23.433024324761927,"-1,1,-1,1"
2,3,0train,1test,F2-S,0,1.5957276438042007,11.73670158688476,"-1,1,-1,1"
2,3,0train,1test,F2-S,1,1.5671036650175176,11.499244757950455,"-1,1,-1,1"
2,3,0train,1test,F2-S,2,1.5763214610393934,10.67275846407,"-1,1,-1,1"
2,3,0train,1test,F2-S,3,0.520982110467313,13.845371174792982,"-1,1,-1,1"
2,3,1test,0train,STATIC,0,0.045365286923811775,2.6696046426872954e-19,"-1,1,-1,1"
2,3,1test,0train,STATIC,1,0.04597207294530189,3.518100260691807e-19,"-1,1,-1,1"
2,3,1test,0train,STATIC,2,0.03829782279586153,3.3396685482602106e-19,"-1,1,-1,1"
2,3,1test,0train,STATIC,3,0.053001801019223714,2.3352736877334087e-19,"-1,1,-1,1"
2,3,1test,0train,F1,0,1.0393949023773115,22.3222462845964,"-1,1,-1,1"
2,3,1test,0train,F1,1,1.014546496657478,22.65397499758795,"-1,1,-1,1"
2,3,1test,0train,F1,2,1.104076364900316,22.992613458444968,"-1,1,-1,1"
2,3,1test,0train,F1,3,1.1497983026095127,19.732701822005243,"-1,1,-1,1"
2,3,1test,0train,F2-S,0,2.0138972311520336,12.456990986157178,"-1,1,-1,1"
2,3,1test,0train,F2-S,1,2.0675586312693945,12.555651300242209,"-1,1,-1,1"
2,3,1test,0train,F2-S,2,1.5719731173935088,9.721282148057151,"-1,1,-1,1"
2,3,1test,0train,F2-S,3,0.692668510807897,11.303925601029457,"-1,1,-1,1"
2,3,1test,1test,STATIC,0,0.6909128535042834,1.5814678962942477e-19,"-1,1,-1,1"
2,3,1test,1test,STATIC,1,1.7660112683563205,1.846554813508269e-19,"-1,1,-1,1"
2,3,1test,1test,STATIC,2,0.8972427503846797,1.712270166424319e-19,"-1,1,-1,1"
2,3,1test,1test,STATIC,3,0.43367998573349675,1.0849996696359863e-19,"-1,1,-1,1"
2,3,1test,1test,F1,0,0.5232407948107994,23.38422455416714,"-1,1,-1,1"
2,3,1test,1test,F1,1,0.8224058119880346,22.88936202520523,"-1,1,-1,1"
2,3,1test,1test,F1,2,0.6600255226038078,23.108480016782018,"-1,1,-1,1"
2,3,1test,1test,F1,3,0.5567118731265243,20.731554860705792,"-1,1,-1,1"
2,3,1test,1test,F2-S,0,1.3664161353293967,11.285227413009785,"-1,1,-1,1"
2,3,1test,1test,F2-S,1,1.7758947444608926,11.15684196086815,"-1,1,-1,1"
2,3,1test,1test,F2-S,2,1.485777449741783,9.780183268016195,"-1,1,-1,1"
2,3,1test,1test,F2-S,3,0.4462437117157544,12.787346385402428,"-1,1,-1,1"
