mode,subject,source_session,target_session,representation,seed,permutation,heldout,error,best_cost,determinants,iterations
zero,1,both,both,F1,18.0,"1,3,0,2",3,0.3424543692401039,44.56354355372507,"-1,1,-1,1","11,18,16,9"
zero,1,both,both,F1,18.0,"1,3,2,0",0,0.6164176973499829,28.03828169524625,"-1,1,-1,1","12,17,9,19"
zero,1,both,both,F1,18.0,"1,3,2,0",1,0.4271483013246035,40.14345424193215,"-1,1,-1,1","17,23,12,18"
zero,1,both,both,F1,18.0,"1,3,2,0",2,0.23275155305130094,47.28474756072667,"-1,1,-1,1","17,35,11,13"
zero,1,both,both,F1,18.0,"1,3,2,0",3,0.19932487510539776,46.15250944106681,"-1,1,-1,1","7,12,18,11"
zero,1,both,both,F1,18.0,"2,0,1,3",0,0.2677416254870956,60.80251512311621,"-1,1,-1,1","11,10,11,16"
zero,1,both,both,F1,18.0,"2,0,1,3",1,0.2502997655158246,65.14603191688789,"-1,1,-1,1","16,13,12,8"
zero,1,both,both,F1,18.0,"2,0,1,3",2,0.552803790539996,52.24262103360952,"-1,1,-1,1","15,18,14,10"
zero,1,both,both,F1,18.0,"2,0,1,3",3,0.6909813726537133,35.200566556023034,"-1,1,-1,1","20,18,13,13"
zero,1,both,both,F1,18.0,"2,0,3,1",0,0.27567878047469496,59.19318188909754,"-1,1,-1,1","18,11,14,15"
zero,1,both,both,F1,18.0,"2,0,3,1",1,0.2300777492036281,63.708484939544746,"-1,1,-1,1","10,8,19,18"
zero,1,both,both,F1,18.0,"2,0,3,1",2,0.5195247990230069,51.354947958356114,"-1,1,-1,1","12,23,16,25"
zero,1,both,both,F1,18.0,"2,0,3,1",3,0.7058780708112873,34.905451846009655,"-1,1,-1,1","14,17,14,13"
zero,1,both,both,F1,18.0,"2,1,0,3",0,0.2720693183691889,55.85509871571753,"-1,1,-1,1","21,15,18,9"
zero,1,both,both,F1,18.0,"2,1,0,3",1,0.5278829806992554,51.34056181554166,"-1,1,-1,1","10,16,9,25"
zero,1,both,both,F1,18.0,"2,1,0,3",2,0.2120678539233449,61.574153437425124,"-1,1,-1,1","16,14,14,16"
zero,1,both,both,F1,18.0,"2,1,0,3",3,0.681626926750374,30.323481955434445,"-1,1,-1,1","14,9,15,20"
zero,1,both,both,F1,18.0,"2,1,3,0",0,0.2616593634886887,39.876031505886004,"-1,1,-1,1","26,17,18,13"
zero,1,both,both,F1,18.0,"2,1,3,0",1,0.49658248407619243,35.85866721738211,"-1,1,-1,1","13,23,13,22"
zero,1,both,both,F1,18.0,"2,1,3,0",2,0.4981994348701672,32.216693430164675,"-1,1,-1,1","14,20,14,14"
zero,1,both,both,F1,18.0,"2,1,3,0",3,0.17548260963588128,43.43974094584259,"-1,1,-1,1","17,15,19,15"
zero,1,both,both,F1,18.0,"2,3,0,1",0,0.27853717188899046,54.32787521874056,"-1,1,-1,1","11,15,13,14"
zero,1,both,both,F1,18.0,"2,3,0,1",1,0.44552421820320215,50.291610579925276,"-1,1,-1,1","14,19,14,33"
zero,1,both,both,F1,18.0,"2,3,0,1",2,0.19069912196084088,59.369630758183845,"-1,1,-1,1","15,7,11,9"
