protocol_version,config_sha256,seed,row_type,source_table,question,protocol,decoder,geometry,native_metric,metric,subject,comparator,n,value,mean,std_ddof1,median,minimum,maximum,delta,sign_category,improved_subjects,worsened_subjects,tied_subjects,threshold,pass_flag,verdict,operands_json,formula,notes
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_logistic_calibration.csv,,T2,logistic,AIRM,euclidean_log_svec,accuracy,,,9.0,,0.5320216049382717,0.1509496225148641,0.4965277777777778,0.3576388888888889,0.7326388888888888,,,,,,,,,,,PASS primary rows only (9/9); no available-case verdict is computed after any primary failure
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_logistic_calibration.csv,,T2,logistic,AIRM,euclidean_log_svec,macro_f1,,,9.0,,0.5300377169320487,0.14992096747271969,0.4918850790627583,0.3577975638612843,0.7296242666145362,,,,,,,,,,,PASS primary rows only (9/9); no available-case verdict is computed after any primary failure
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_logistic_calibration.csv,,T2,logistic,EA,euclidean_log_svec,balanced_accuracy,,,9.0,,0.5216049382716049,0.1546189734906616,0.4930555555555556,0.3368055555555555,0.7222222222222223,,,,,,,,,,,PASS primary rows only (9/9); no available-case verdict is computed after any primary failure
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_logistic_calibration.csv,,T2,logistic,EA,euclidean_log_svec,accuracy,,,9.0,,0.5216049382716049,0.15461897349066153,0.4930555555555556,0.3368055555555556,0.7222222222222222,,,,,,,,,,,PASS primary rows only (9/9); no available-case verdict is computed after any primary failure
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_logistic_calibration.csv,,T2,logistic,EA,euclidean_log_svec,macro_f1,,,9.0,,0.5164444110960127,0.15678912890608185,0.4841414288274587,0.3194312429749323,0.7248682967516622,,,,,,,,,,,PASS primary rows only (9/9); no available-case verdict is computed after any primary failure
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_logistic_calibration.csv,,T2,logistic,LE,euclidean_log_svec,balanced_accuracy,,,9.0,,0.529320987654321,0.15857748665235136,0.5069444444444444,0.3402777777777778,0.7361111111111112,,,,,,,,,,,PASS primary rows only (9/9); no available-case verdict is computed after any primary failure
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_logistic_calibration.csv,,T2,logistic,LE,euclidean_log_svec,accuracy,,,9.0,,0.529320987654321,0.15857748665235136,0.5069444444444444,0.3402777777777778,0.7361111111111112,,,,,,,,,,,PASS primary rows only (9/9); no available-case verdict is computed after any primary failure
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_logistic_calibration.csv,,T2,logistic,LE,euclidean_log_svec,macro_f1,,,9.0,,0.5275428691829274,0.15807224917108603,0.5019443355247655,0.3412924481994377,0.7384544002111407,,,,,,,,,,,PASS primary rows only (9/9); no available-case verdict is computed after any primary failure
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_logistic_calibration.csv,,T2,logistic,RAW,euclidean_log_svec,balanced_accuracy,,,8.0,,0.3493923611111111,0.09586527353344827,0.3246527777777778,0.2465277777777778,0.4861111111111111,,,,,,,,,,,PASS primary rows only (8/9); no available-case verdict is computed after any primary failure
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_logistic_calibration.csv,,T2,logistic,RAW,euclidean_log_svec,accuracy,,,8.0,,0.3493923611111111,0.09586527353344827,0.3246527777777778,0.2465277777777778,0.4861111111111111,,,,,,,,,,,PASS primary rows only (8/9); no available-case verdict is computed after any primary failure
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_logistic_calibration.csv,,T2,logistic,RAW,euclidean_log_svec,macro_f1,,,8.0,,0.27661522317545506,0.12520114919160183,0.2691551424709409,0.0991620111731843,0.4445308931950152,,,,,,,,,,,PASS primary rows only (8/9); no available-case verdict is computed after any primary failure
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_mdm_transductive.csv,,T1,MDM,AIRM,riemann,balanced_accuracy,,,9.0,,0.48649691358024694,0.14526846252563236,0.5625,0.25,0.6493055555555556,,,,,,,,,,,PASS secondary rows only; failures/missing rows are separate inventory records
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_mdm_transductive.csv,,T1,MDM,AIRM,riemann,accuracy,,,9.0,,0.48649691358024694,0.14526846252563233,0.5625,0.25,0.6493055555555556,,,,,,,,,,,PASS secondary rows only; failures/missing rows are separate inventory records
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_mdm_transductive.csv,,T1,MDM,AIRM,riemann,macro_f1,,,9.0,,0.47612683105960296,0.13708324196366578,0.5396394259824264,0.2502781983079182,0.6328029677077978,,,,,,,,,,,PASS secondary rows only; failures/missing rows are separate inventory records
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_mdm_transductive.csv,,T1,MDM,EA,riemann,balanced_accuracy,,,9.0,,0.47800925925925924,0.1568468538766005,0.5590277777777777,0.2256944444444444,0.6354166666666666,,,,,,,,,,,PASS secondary rows only; failures/missing rows are separate inventory records
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_mdm_transductive.csv,,T1,MDM,EA,riemann,accuracy,,,9.0,,0.47800925925925924,0.15684685387660047,0.5590277777777778,0.2256944444444444,0.6354166666666666,,,,,,,,,,,PASS secondary rows only; failures/missing rows are separate inventory records
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_mdm_transductive.csv,,T1,MDM,EA,riemann,macro_f1,,,9.0,,0.46463459729333006,0.1533151384087744,0.5361449017869236,0.2241825509720246,0.6295796149265727,,,,,,,,,,,PASS secondary rows only; failures/missing rows are separate inventory records
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_mdm_transductive.csv,,T1,MDM,LE,logeuclid,balanced_accuracy,,,9.0,,0.4602623456790124,0.13227652735706116,0.5277777777777778,0.2465277777777778,0.6111111111111112,,,,,,,,,,,PASS secondary rows only; failures/missing rows are separate inventory records
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_mdm_transductive.csv,,T1,MDM,LE,logeuclid,accuracy,,,9.0,,0.4602623456790124,0.13227652735706116,0.5277777777777778,0.2465277777777778,0.6111111111111112,,,,,,,,,,,PASS secondary rows only; failures/missing rows are separate inventory records
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_mdm_transductive.csv,,T1,MDM,LE,logeuclid,macro_f1,,,9.0,,0.44615822251944753,0.12202154783242113,0.4968807319572169,0.2459210742309333,0.5927726104053237,,,,,,,,,,,PASS secondary rows only; failures/missing rows are separate inventory records
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_mdm_transductive.csv,,T1,MDM,RAW,logeuclid,balanced_accuracy,,,9.0,,0.30709876543209874,0.08715400741840726,0.2534722222222222,0.25,0.486111111111111,,,,,,,,,,,PASS secondary rows only; failures/missing rows are separate inventory records
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_mdm_transductive.csv,,T1,MDM,RAW,logeuclid,accuracy,,,9.0,,0.30709876543209874,0.08715400741840727,0.2534722222222222,0.25,0.4861111111111111,,,,,,,,,,,PASS secondary rows only; failures/missing rows are separate inventory records
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_mdm_transductive.csv,,T1,MDM,RAW,logeuclid,macro_f1,,,9.0,,0.18565833624328476,0.12403887742311202,0.1071278666005265,0.1,0.4195545811775436,,,,,,,,,,,PASS secondary rows only; failures/missing rows are separate inventory records
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_mdm_transductive.csv,,T1,MDM,RAW,riemann,balanced_accuracy,,,9.0,,0.31481481481481477,0.0977632515645909,0.2534722222222222,0.25,0.5208333333333334,,,,,,,,,,,PASS secondary rows only; failures/missing rows are separate inventory records
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_mdm_transductive.csv,,T1,MDM,RAW,riemann,accuracy,,,9.0,,0.31481481481481477,0.0977632515645909,0.2534722222222222,0.25,0.5208333333333334,,,,,,,,,,,PASS secondary rows only; failures/missing rows are separate inventory records
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_mdm_transductive.csv,,T1,MDM,RAW,riemann,macro_f1,,,9.0,,0.1945401841512565,0.1364194046337326,0.1134852801519468,0.1,0.4660993545089569,,,,,,,,,,,PASS secondary rows only; failures/missing rows are separate inventory records
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_mdm_calibration.csv,,T2,MDM,AIRM,riemann,balanced_accuracy,,,9.0,,0.480324074074074,0.13806177327827113,0.5381944444444444,0.2604166666666666,0.6388888888888888,,,,,,,,,,,PASS secondary rows only; failures/missing rows are separate inventory records
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_mdm_calibration.csv,,T2,MDM,AIRM,riemann,accuracy,,,9.0,,0.4803240740740741,0.13806177327827113,0.5381944444444444,0.2604166666666667,0.6388888888888888,,,,,,,,,,,PASS secondary rows only; failures/missing rows are separate inventory records
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_mdm_calibration.csv,,T2,MDM,AIRM,riemann,macro_f1,,,9.0,,0.4680977962996079,0.12948669575168958,0.5135798752505262,0.2597226884772281,0.6134850050598624,,,,,,,,,,,PASS secondary rows only; failures/missing rows are separate inventory records
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_mdm_calibration.csv,,T2,MDM,EA,riemann,balanced_accuracy,,,9.0,,0.47530864197530864,0.14908782214613336,0.5659722222222222,0.2534722222222222,0.6215277777777777,,,,,,,,,,,PASS secondary rows only; failures/missing rows are separate inventory records
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_mdm_calibration.csv,,T2,MDM,EA,riemann,accuracy,,,9.0,,0.47530864197530864,0.14908782214613336,0.5659722222222222,0.2534722222222222,0.6215277777777778,,,,,,,,,,,PASS secondary rows only; failures/missing rows are separate inventory records
