protocol_version,protocol_sha256,config_sha256,seed,session,generated_at_utc,status,analysis,representation,subject,scalar,airm_value,le_value,paired_delta,delta_category,airm_status,le_status,agreement_category,interpretation
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,observed_class_loso_subject_ba,BAG_CANON_D10,4,balanced_accuracy,0.24999999999999997,0.22222222222222224,-0.027777777777777735,worsened,PASS,PASS,AGREE,LE is a paired secondary robustness repeat; delta is LE minus AIRM.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,observed_class_loso_subject_ba,BAG_CANON_D10,5,balanced_accuracy,0.26388888888888884,0.2569444444444445,-0.006944444444444364,worsened,PASS,PASS,AGREE,LE is a paired secondary robustness repeat; delta is LE minus AIRM.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,observed_class_loso_subject_ba,BAG_CANON_D10,6,balanced_accuracy,0.2743055555555556,0.2465277777777778,-0.02777777777777779,worsened,PASS,PASS,DISAGREE,LE is a paired secondary robustness repeat; delta is LE minus AIRM.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,observed_class_loso_subject_ba,BAG_CANON_D10,7,balanced_accuracy,0.27777777777777773,0.2743055555555555,-0.00347222222222221,worsened,PASS,PASS,AGREE,LE is a paired secondary robustness repeat; delta is LE minus AIRM.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,observed_class_loso_subject_ba,BAG_CANON_D10,8,balanced_accuracy,0.2986111111111111,0.2881944444444444,-0.010416666666666685,worsened,PASS,PASS,AGREE,LE is a paired secondary robustness repeat; delta is LE minus AIRM.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,observed_class_loso_subject_ba,BAG_CANON_D10,9,balanced_accuracy,0.24305555555555555,0.23958333333333334,-0.00347222222222221,worsened,PASS,PASS,AGREE,LE is a paired secondary robustness repeat; delta is LE minus AIRM.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,observed_class_loso_group,BAG_CANON_D10,GROUP,mean_subject_ba,0.26543209876543206,0.2596450617283951,-0.0057870370370369795,worsened,PASS,PASS,AGREE,Nine-subject aggregate; no geometry selection or voting.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,observed_class_loso_group,BAG_CANON_D10,GROUP,median_subject_ba,0.26388888888888884,0.2569444444444445,-0.006944444444444364,worsened,PASS,PASS,AGREE,Nine-subject aggregate; no geometry selection or voting.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,observed_class_loso_subject_ba,SCALARS_11,1,balanced_accuracy,0.25,0.26041666666666663,0.01041666666666663,improved,PASS,PASS,DISAGREE,LE is a paired secondary robustness repeat; delta is LE minus AIRM.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,observed_class_loso_subject_ba,SCALARS_11,2,balanced_accuracy,0.26041666666666663,0.2673611111111111,0.006944444444444475,improved,PASS,PASS,AGREE,LE is a paired secondary robustness repeat; delta is LE minus AIRM.
