protocol_version,protocol_sha256,config_sha256,seed,session,generated_at_utc,status,geometry,representation,target_subject,source_subjects,train_n,test_n,train_uid_sha256,test_uid_sha256,scaler_fit_uid_sha256,balanced_accuracy,accuracy,macro_f1,recall_left_hand,recall_right_hand,recall_feet,recall_tongue,confusion_matrix_json,prediction_sha256,classifier_config_sha256,convergence_warning,warning_messages
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,AIRM,PATH_D10,1,"[2,3,4,5,6,7,8,9]",2304,288,70e764352a7314a332385309d73b620d4428406d4234c9dd45f2ff7503f2d98c,c293204e2862c16fc5706155d58a15f5b940222162b451966a2e59da52086469,70e764352a7314a332385309d73b620d4428406d4234c9dd45f2ff7503f2d98c,0.2604166666666667,0.2604166666666667,0.2542823364378311,0.4444444444444444,0.1527777777777778,0.20833333333333334,0.2361111111111111,"[[32,17,13,10],[40,11,13,8],[39,8,15,10],[31,19,5,17]]",2b71efb88fd5a77c6ff05c6fa8a519f892423a7c692369adb51394d0b645bd71,31873610d7b6e22853b56849e1b0c570499790b94aedc81aeeaab198900e0a4f,False,[]
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,AIRM,PATH_D10,2,"[1,3,4,5,6,7,8,9]",2304,288,debe6a399e369b816e518e4a7b997330a929775b2f57c8b8a3758fed9805082a,c413c084a1e52fede11309916f5f24245c28580e60d0e2c967402ceec6c6b0b3,debe6a399e369b816e518e4a7b997330a929775b2f57c8b8a3758fed9805082a,0.2638888888888889,0.2638888888888889,0.25573908469625417,0.3472222222222222,0.18055555555555555,0.1388888888888889,0.3888888888888889,"[[25,12,18,17],[20,13,12,27],[22,5,10,35],[23,3,18,28]]",0a3ca6af4228b239938a8011ab0a4d49004bc4cc7f1f76f415c4d5e68f04d241,31873610d7b6e22853b56849e1b0c570499790b94aedc81aeeaab198900e0a4f,False,[]
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,AIRM,PATH_D10,3,"[1,2,4,5,6,7,8,9]",2304,288,a39f180636b2b43add3b08ee8c110e9ba9feae6f871668f44d900c47a9583b87,188ed5f1537cc3b8bc713e78ce8b0775d4692f35f56c8b0b4fad5ac6a6138fc0,a39f180636b2b43add3b08ee8c110e9ba9feae6f871668f44d900c47a9583b87,0.26388888888888884,0.2638888888888889,0.25527336891330427,0.3888888888888889,0.3333333333333333,0.125,0.20833333333333334,"[[28,26,11,7],[25,24,15,8],[29,21,9,13],[21,21,15,15]]",78edd57cab14b20e11e9b196b1245521cddb44a64eff50f7bbb19d899f1237ab,31873610d7b6e22853b56849e1b0c570499790b94aedc81aeeaab198900e0a4f,False,[]
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,AIRM,PATH_D10,4,"[1,2,3,5,6,7,8,9]",2304,288,af19f4e3a231ab79aaffe5e69434bbc5a32645e114e9ea2013656eda4681b44c,f1b9aead87aa6c80d34630976198f58cc608174560d755a9a206a4de5356e9a1,af19f4e3a231ab79aaffe5e69434bbc5a32645e114e9ea2013656eda4681b44c,0.28125,0.28125,0.269286489550031,0.3611111111111111,0.4166666666666667,0.125,0.2222222222222222,"[[26,35,4,7],[27,30,4,11],[25,24,9,14],[29,24,3,16]]",e195e1ab250048475856361eef132c1d80a542a1bb24bbb2d2fb58967ba3998a,31873610d7b6e22853b56849e1b0c570499790b94aedc81aeeaab198900e0a4f,False,[]
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,AIRM,PATH_D10,5,"[1,2,3,4,6,7,8,9]",2304,288,ff4ab0fc02a3da37a0516ad04e6188781334684b7e7aacc2ee65bbfcb1d920ba,afbd4147e32708cb86ffd1c83a1ad7854e7dc2e716792465de81bfbd14d91be7,ff4ab0fc02a3da37a0516ad04e6188781334684b7e7aacc2ee65bbfcb1d920ba,0.2534722222222222,0.2534722222222222,0.1881732608476795,0.625,0.3472222222222222,0.013888888888888888,0.027777777777777776,"[[45,20,3,4],[40,25,5,2],[52,15,1,4],[43,22,5,2]]",ce1b3da9ecb8a70713aab0f761b627d857da9b86a73d722923833a0a68657f48,31873610d7b6e22853b56849e1b0c570499790b94aedc81aeeaab198900e0a4f,False,[]
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,AIRM,PATH_D10,6,"[1,2,3,4,5,7,8,9]",2304,288,35dc1c3caa6e98fa6818cdf559f0610e6d88680259b36c7a2e9cbfc24b00585c,a69d787df7853f4d0e8e246db9ae65b66ba0f87b4a80967f2046c41db1eba9c1,35dc1c3caa6e98fa6818cdf559f0610e6d88680259b36c7a2e9cbfc24b00585c,0.2465277777777778,0.2465277777777778,0.22958197607020525,0.2361111111111111,0.09722222222222222,0.16666666666666666,0.4861111111111111,"[[17,11,12,32],[11,7,14,40],[11,10,12,39],[9,6,22,35]]",24ae6937086188d51a78cdb3adebeaf5b802caf80fad0f5b054ed39526e70616,31873610d7b6e22853b56849e1b0c570499790b94aedc81aeeaab198900e0a4f,False,[]
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,AIRM,PATH_D10,7,"[1,2,3,4,5,6,8,9]",2304,288,b6bafdec5d496d16a21fd56b79ee9a90b5bd8f28bbe70a189ad4bf00deaad6fa,b9eb77f58916994c1a1a44fcd9125eb7414f5a6d1b9edb982144161aa57dfa8c,b6bafdec5d496d16a21fd56b79ee9a90b5bd8f28bbe70a189ad4bf00deaad6fa,0.2569444444444444,0.2569444444444444,0.2529864415105091,0.3472222222222222,0.2638888888888889,0.1388888888888889,0.2777777777777778,"[[25,20,14,13],[26,19,13,14],[19,23,10,20],[13,25,14,20]]",907d6b9e1420aa2b6c286482ccee8624e27653d09b2f765c871b2ceb6e7461c4,31873610d7b6e22853b56849e1b0c570499790b94aedc81aeeaab198900e0a4f,False,[]
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,AIRM,PATH_D10,8,"[1,2,3,4,5,6,7,9]",2304,288,c9e9a411642b7fb7c10f36e5bdf74d55d1e1827e3301b5cd83daab814c8adccd,81f16427546d972b7ff39504605e713e285c8495ca8b1288f33a18a6eac05084,c9e9a411642b7fb7c10f36e5bdf74d55d1e1827e3301b5cd83daab814c8adccd,0.27083333333333337,0.2708333333333333,0.25514065254324514,0.5,0.20833333333333334,0.09722222222222222,0.2777777777777778,"[[36,9,12,15],[36,15,12,9],[30,23,7,12],[25,14,13,20]]",72241da32736b258d6aa07e0cc80f07bad297bbf92fcc2f4349532f0454915e9,31873610d7b6e22853b56849e1b0c570499790b94aedc81aeeaab198900e0a4f,False,[]
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,AIRM,PATH_D10,9,"[1,2,3,4,5,6,7,8]",2304,288,a7e0fa6bc4b22c4b5bb287c046d96622dcc7b940b2a9912792175874939fc929,2d5c975d19ed93afbcb6d51991ec55b700809f3d0aaa6957c5f3e1a8228f7653,a7e0fa6bc4b22c4b5bb287c046d96622dcc7b940b2a9912792175874939fc929,0.2569444444444444,0.2569444444444444,0.1143538496479673,0.0,0.0,0.027777777777777776,1.0,"[[0,1,0,71],[0,0,0,72],[0,0,2,70],[0,0,0,72]]",4ef0ee9d6c697e3ee874bb7b2e714b3703a379578b60e562f3b8b3b5dc6a4627,31873610d7b6e22853b56849e1b0c570499790b94aedc81aeeaab198900e0a4f,False,[]
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,AIRM,BAG_CANON_D10,1,"[2,3,4,5,6,7,8,9]",2304,288,70e764352a7314a332385309d73b620d4428406d4234c9dd45f2ff7503f2d98c,c293204e2862c16fc5706155d58a15f5b940222162b451966a2e59da52086469,70e764352a7314a332385309d73b620d4428406d4234c9dd45f2ff7503f2d98c,0.3055555555555556,0.3055555555555556,0.2993319877983358,0.3472222222222222,0.3055555555555556,0.4027777777777778,0.16666666666666666,"[[25,16,25,6],[27,22,16,7],[19,15,29,9],[27,14,19,12]]",b5a8b5aac8fb7cf28b54fba3b4912fb2d90f82512b03af79f2337d33777d0a2c,31873610d7b6e22853b56849e1b0c570499790b94aedc81aeeaab198900e0a4f,False,[]
