protocol_version,protocol_sha256,config_sha256,seed,session,generated_at_utc,status,geometry,scalar,n_subjects,n_classes,n_per_cell,grand_mean,ss_subject,ss_class,ss_interaction,ss_residual,ss_total,eta2_subject,eta2_class,eta2_interaction,eta2_residual,ss_reconstruction_relative_error,degenerate,uses_p_value
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,AIRM,total_path_length,9,4,72,16.17707166559925,6373.504100011539,79.62581246592285,109.67759809086012,3698.6511852780673,10261.45869584639,0.6211109247646626,0.007759697215187701,0.01068830478606859,0.36044107323408114,0.0,False,False
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,AIRM,endpoint_distance,9,4,72,4.3942225166191955,714.9310444626802,12.687845575550808,22.477098450465125,1055.290021867657,1805.3860103563532,0.39599899432120045,0.007027774394378097,0.012450023607986482,0.5845232076764351,1.259418618173253e-16,False,False
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,AIRM,efficiency,9,4,72,0.27177134612254206,0.15123120937784038,0.006553214844235308,0.07004597693967045,3.744147909774811,3.9719783109365565,0.038074530508244754,0.0016498616888696253,0.01763503510248379,0.942640572700402,1.1180554753466173e-16,False,False
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,AIRM,excess,9,4,72,11.782849148980056,2875.9413679137733,30.99981136331936,95.86351306110467,3702.035072905066,6704.839765243261,0.4289351376929483,0.004623497719366399,0.014297659066819861,0.5521437055208658,2.7129498500101157e-16,False,False
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,AIRM,mean_turn,9,4,72,2.088409512339749,0.7258296815162635,0.057966052301107886,0.5079178048064271,16.459835639261286,17.75154917788509,0.040888244414211655,0.003265408090315976,0.028612590355730307,0.9272337571397418,2.0013541596845406e-16,False,False
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,AIRM,max_turn,9,4,72,2.2119084919473826,0.3804722524855241,0.008181035925560005,0.2469412524137465,24.39859975203874,25.034194292863567,0.015198102564618359,0.000326794456807909,0.009864158180003477,0.9746109447985705,1.4191444059429003e-16,False,False
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,AIRM,mean_geodesic_deviation,9,4,72,3.628871156362671,367.23696937824894,3.1317670854792117,16.16677206330583,276.462197327603,662.9977058546372,0.5539038312430692,0.004723646941496136,0.024384355964650065,0.4169881658507844,3.4294790681083283e-16,False,False
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,AIRM,max_geodesic_deviation,9,4,72,3.986916056292823,462.1425136041416,4.956852448209398,41.58243348082778,640.5698134468921,1149.2516129800708,0.40212474656074776,0.004313113327164288,0.03618218413720761,0.5573799559748803,0.0,False,False
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,AIRM,frechet_variance,9,4,72,7.1556994874041715,7232.182344720536,50.77902724911003,182.85661042595225,3620.112158122408,11085.930140518005,0.6523748799649753,0.0045804931661546,0.016494476161060135,0.32655015070781,1.640809007895175e-16,False,False
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,AIRM,frechet_radius_mean,9,4,72,2.633047794172117,213.94144587278092,2.0556277780950216,4.7494763967072995,103.49419958461125,324.2407496321945,0.6598228202823593,0.006339819348514467,0.014647993511287254,0.319189366857839,0.0,False,False
