metric,subject,J_s,S_s,C_s,protocol_freeze_sha,protocol_sha256,scientific_source_sha,config_sha256,implementation_source_sha256
raw,1,0.024870214089973947,0.2430861267218247,0.03383425900994784,12a4d3ebd29a3a95e7fbc1bbc3a6d70b770532dc,fc00ef6a261f6c7e4114a1a0e24771aebc6bf6b21444065ebe5f10d756f3d16c,355fe0b55b1ef692f7b4ddd16d19b7ccc30e72e1,7634580719b47d34707a5480101e62440554f8327a8fcc8a646a6ec25b2271b8,8759ac924f777ddb4bc54442aafb2cec8d8511a7c5d98190ef8edb1b994fc6c1
raw,2,-0.002631812645042253,-0.04049746969899978,0.0007119367901881057,12a4d3ebd29a3a95e7fbc1bbc3a6d70b770532dc,fc00ef6a261f6c7e4114a1a0e24771aebc6bf6b21444065ebe5f10d756f3d16c,355fe0b55b1ef692f7b4ddd16d19b7ccc30e72e1,7634580719b47d34707a5480101e62440554f8327a8fcc8a646a6ec25b2271b8,8759ac924f777ddb4bc54442aafb2cec8d8511a7c5d98190ef8edb1b994fc6c1
raw,3,0.004413483499764559,0.1441688531493326,0.010003427006050405,12a4d3ebd29a3a95e7fbc1bbc3a6d70b770532dc,fc00ef6a261f6c7e4114a1a0e24771aebc6bf6b21444065ebe5f10d756f3d16c,355fe0b55b1ef692f7b4ddd16d19b7ccc30e72e1,7634580719b47d34707a5480101e62440554f8327a8fcc8a646a6ec25b2271b8,8759ac924f777ddb4bc54442aafb2cec8d8511a7c5d98190ef8edb1b994fc6c1
raw,4,-0.00130769164645117,0.25892347333508847,-0.00019175252855441194,12a4d3ebd29a3a95e7fbc1bbc3a6d70b770532dc,fc00ef6a261f6c7e4114a1a0e24771aebc6bf6b21444065ebe5f10d756f3d16c,355fe0b55b1ef692f7b4ddd16d19b7ccc30e72e1,7634580719b47d34707a5480101e62440554f8327a8fcc8a646a6ec25b2271b8,8759ac924f777ddb4bc54442aafb2cec8d8511a7c5d98190ef8edb1b994fc6c1
raw,5,-0.000666867102337293,0.36941346962286503,0.0018766214927802144,12a4d3ebd29a3a95e7fbc1bbc3a6d70b770532dc,fc00ef6a261f6c7e4114a1a0e24771aebc6bf6b21444065ebe5f10d756f3d16c,355fe0b55b1ef692f7b4ddd16d19b7ccc30e72e1,7634580719b47d34707a5480101e62440554f8327a8fcc8a646a6ec25b2271b8,8759ac924f777ddb4bc54442aafb2cec8d8511a7c5d98190ef8edb1b994fc6c1
raw,6,0.005565843468298304,0.32724800673855725,0.005481525374376545,12a4d3ebd29a3a95e7fbc1bbc3a6d70b770532dc,fc00ef6a261f6c7e4114a1a0e24771aebc6bf6b21444065ebe5f10d756f3d16c,355fe0b55b1ef692f7b4ddd16d19b7ccc30e72e1,7634580719b47d34707a5480101e62440554f8327a8fcc8a646a6ec25b2271b8,8759ac924f777ddb4bc54442aafb2cec8d8511a7c5d98190ef8edb1b994fc6c1
raw,7,-0.0024295856038122066,0.2334611016686124,0.000850332961399608,12a4d3ebd29a3a95e7fbc1bbc3a6d70b770532dc,fc00ef6a261f6c7e4114a1a0e24771aebc6bf6b21444065ebe5f10d756f3d16c,355fe0b55b1ef692f7b4ddd16d19b7ccc30e72e1,7634580719b47d34707a5480101e62440554f8327a8fcc8a646a6ec25b2271b8,8759ac924f777ddb4bc54442aafb2cec8d8511a7c5d98190ef8edb1b994fc6c1
raw,8,0.012390252315325284,0.1703663160617961,0.018387836405681035,12a4d3ebd29a3a95e7fbc1bbc3a6d70b770532dc,fc00ef6a261f6c7e4114a1a0e24771aebc6bf6b21444065ebe5f10d756f3d16c,355fe0b55b1ef692f7b4ddd16d19b7ccc30e72e1,7634580719b47d34707a5480101e62440554f8327a8fcc8a646a6ec25b2271b8,8759ac924f777ddb4bc54442aafb2cec8d8511a7c5d98190ef8edb1b994fc6c1
raw,9,0.02293587939684294,0.6446107127188496,0.02100694867586897,12a4d3ebd29a3a95e7fbc1bbc3a6d70b770532dc,fc00ef6a261f6c7e4114a1a0e24771aebc6bf6b21444065ebe5f10d756f3d16c,355fe0b55b1ef692f7b4ddd16d19b7ccc30e72e1,7634580719b47d34707a5480101e62440554f8327a8fcc8a646a6ec25b2271b8,8759ac924f777ddb4bc54442aafb2cec8d8511a7c5d98190ef8edb1b994fc6c1
size,1,0.028199581774692617,0.26146229925036696,0.03946066561172269,12a4d3ebd29a3a95e7fbc1bbc3a6d70b770532dc,fc00ef6a261f6c7e4114a1a0e24771aebc6bf6b21444065ebe5f10d756f3d16c,355fe0b55b1ef692f7b4ddd16d19b7ccc30e72e1,7634580719b47d34707a5480101e62440554f8327a8fcc8a646a6ec25b2271b8,8759ac924f777ddb4bc54442aafb2cec8d8511a7c5d98190ef8edb1b994fc6c1
size,2,-0.0026968012016142517,-0.06111148918394474,0.0012224650769855905,12a4d3ebd29a3a95e7fbc1bbc3a6d70b770532dc,fc00ef6a261f6c7e4114a1a0e24771aebc6bf6b21444065ebe5f10d756f3d16c,355fe0b55b1ef692f7b4ddd16d19b7ccc30e72e1,7634580719b47d34707a5480101e62440554f8327a8fcc8a646a6ec25b2271b8,8759ac924f777ddb4bc54442aafb2cec8d8511a7c5d98190ef8edb1b994fc6c1
