protocol,subject,split,feature,n_train,n_test,balanced_accuracy,accuracy,macro_f1,confusion_matrix
P0,3,1test_fold1,F0,230,58,0.9333333333333333,0.9310344827586207,0.9323515325670498,"[[14, 0, 0, 0], [1, 14, 0, 0], [0, 0, 14, 0], [3, 0, 0, 12]]"
P0,3,1test_fold1,F1,230,58,0.8785714285714286,0.8793103448275862,0.8761601209320898,"[[10, 0, 2, 2], [0, 14, 1, 0], [0, 0, 14, 0], [2, 0, 0, 13]]"
P0,3,1test_fold1,F2-S,230,58,0.5880952380952381,0.5862068965517241,0.5831242532855436,"[[7, 2, 2, 3], [3, 9, 1, 2], [0, 2, 11, 1], [3, 3, 2, 7]]"
P0,3,1test_fold1,F2-V,230,58,0.5357142857142857,0.5344827586206896,0.5318716843501327,"[[7, 2, 2, 3], [4, 6, 1, 4], [2, 2, 9, 1], [2, 1, 3, 9]]"
P0,3,1test_fold1,F3-G,230,58,0.32738095238095233,0.3275862068965517,0.32061359026369163,"[[3, 4, 3, 4], [4, 3, 3, 5], [0, 5, 6, 3], [3, 2, 3, 7]]"
P0,3,1test_fold1,F3-D,230,58,0.39880952380952384,0.39655172413793105,0.3953010467470979,"[[5, 2, 3, 4], [4, 4, 4, 3], [0, 5, 8, 1], [3, 4, 2, 6]]"
P0,3,1test_fold1,F2-S-SHUFFLE,230,58,0.5190476190476191,0.5172413793103449,0.5187459000028521,"[[6, 2, 3, 3], [4, 7, 2, 2], [1, 1, 10, 2], [6, 1, 1, 7]]"
P0,3,1test_fold1,F2-S-REVERSE,230,58,0.5880952380952381,0.5862068965517241,0.5831242532855436,"[[7, 2, 2, 3], [3, 9, 1, 2], [0, 2, 11, 1], [3, 3, 2, 7]]"
