protocol,subject,split,feature,n_train,n_test,balanced_accuracy,accuracy,macro_f1,confusion_matrix
P0,4,1test_fold1,F0,230,58,0.775,0.7758620689655172,0.7748300691244241,"[[12, 0, 0, 2], [0, 13, 0, 2], [0, 4, 9, 1], [2, 0, 2, 11]]"
P0,4,1test_fold1,F1,230,58,0.7095238095238094,0.7068965517241379,0.7055008210180624,"[[10, 1, 0, 3], [0, 11, 2, 2], [0, 2, 12, 0], [5, 1, 1, 8]]"
P0,4,1test_fold1,F2-S,230,58,0.5880952380952381,0.5862068965517241,0.5890851681174262,"[[10, 3, 0, 1], [0, 8, 3, 4], [0, 4, 8, 2], [4, 1, 2, 8]]"
P0,4,1test_fold1,F2-V,230,58,0.4821428571428571,0.4827586206896552,0.4875606641123882,"[[7, 2, 0, 5], [0, 8, 3, 4], [1, 3, 6, 4], [5, 1, 2, 7]]"
P0,4,1test_fold1,F3-G,230,58,0.30714285714285716,0.3103448275862069,0.30747800586510265,"[[3, 5, 2, 4], [0, 6, 6, 3], [3, 6, 3, 2], [2, 1, 6, 6]]"
P0,4,1test_fold1,F3-D,230,58,0.3083333333333333,0.3103448275862069,0.29932266009852215,"[[3, 3, 3, 5], [1, 8, 3, 3], [4, 4, 4, 2], [2, 5, 5, 3]]"
P0,4,1test_fold1,F2-S-SHUFFLE,230,58,0.5023809523809524,0.5,0.5058051782189713,"[[9, 1, 1, 3], [0, 6, 3, 6], [1, 4, 7, 2], [3, 3, 2, 7]]"
P0,4,1test_fold1,F2-S-REVERSE,230,58,0.5880952380952381,0.5862068965517241,0.5890851681174262,"[[10, 3, 0, 1], [0, 8, 3, 4], [0, 4, 8, 2], [4, 1, 2, 8]]"
