protocol,subject,split,feature,n_train,n_test,balanced_accuracy,accuracy,macro_f1,confusion_matrix
P0,2,1test_fold4,F0,231,57,0.6297619047619047,0.631578947368421,0.6319002188023324,"[[11, 2, 2, 0], [2, 9, 3, 0], [2, 2, 7, 3], [1, 1, 3, 9]]"
P0,2,1test_fold4,F1,231,57,0.5928571428571429,0.5964912280701754,0.5878720585943588,"[[12, 2, 1, 0], [3, 10, 1, 0], [0, 4, 6, 4], [1, 6, 1, 6]]"
P0,2,1test_fold4,F2-S,231,57,0.3857142857142857,0.38596491228070173,0.3876715176715177,"[[6, 5, 2, 2], [1, 7, 3, 3], [1, 5, 5, 3], [2, 6, 2, 4]]"
P0,2,1test_fold4,F2-V,231,57,0.3857142857142857,0.38596491228070173,0.3802381828697618,"[[6, 4, 3, 2], [3, 8, 1, 2], [1, 5, 4, 4], [3, 7, 0, 4]]"
P0,2,1test_fold4,F3-G,231,57,0.24285714285714283,0.24561403508771928,0.2368981593119524,"[[6, 3, 3, 3], [2, 5, 2, 5], [2, 7, 2, 3], [4, 4, 5, 1]]"
P0,2,1test_fold4,F3-D,231,57,0.3642857142857143,0.3684210526315789,0.33675349991139464,"[[9, 3, 1, 2], [3, 7, 1, 3], [3, 6, 1, 4], [3, 5, 2, 4]]"
P0,2,1test_fold4,F2-S-SHUFFLE,231,57,0.3857142857142857,0.38596491228070173,0.38483355724735036,"[[6, 4, 2, 3], [1, 6, 5, 2], [4, 3, 6, 1], [3, 6, 1, 4]]"
P0,2,1test_fold4,F2-S-REVERSE,231,57,0.3857142857142857,0.38596491228070173,0.3876715176715177,"[[6, 5, 2, 2], [1, 7, 3, 3], [1, 5, 5, 3], [2, 6, 2, 4]]"
