protocol,subject,split,feature,n_train,n_test,balanced_accuracy,accuracy,macro_f1,confusion_matrix
P3,8,LOSO_RA,F0,4608,576,0.6927083333333334,0.6927083333333334,0.6888578863983177,"[[72, 30, 25, 17], [22, 109, 8, 5], [11, 7, 107, 19], [16, 4, 13, 111]]"
P3,8,LOSO_RA,F1,4608,576,0.6614583333333334,0.6614583333333334,0.6569200435649749,"[[79, 23, 12, 30], [29, 104, 0, 11], [30, 12, 72, 30], [13, 1, 4, 126]]"
P3,8,LOSO_RA,F2-S,4608,576,0.4652777777777778,0.4652777777777778,0.4569523329753509,"[[35, 44, 48, 17], [21, 91, 25, 7], [18, 36, 74, 16], [12, 25, 39, 68]]"
P3,8,LOSO_RA,F2-V,4608,576,0.47916666666666663,0.4791666666666667,0.4742863097849934,"[[44, 43, 42, 15], [21, 91, 24, 8], [15, 39, 74, 16], [16, 27, 34, 67]]"
P3,8,LOSO_RA,F3-G,4608,576,0.28125,0.28125,0.2741011558789047,"[[23, 42, 49, 30], [19, 51, 43, 31], [16, 58, 55, 15], [35, 44, 32, 33]]"
P3,8,LOSO_RA,F3-D,4608,576,0.2899305555555556,0.2899305555555556,0.28784565455765554,"[[30, 40, 41, 33], [25, 49, 38, 32], [20, 50, 47, 27], [41, 34, 28, 41]]"
P3,8,LOSO_RA,F2-S-SHUFFLE,4608,576,0.38020833333333337,0.3802083333333333,0.37778808185118934,"[[44, 37, 37, 26], [28, 62, 20, 34], [33, 35, 46, 30], [23, 26, 28, 67]]"
P3,8,LOSO_RA,F2-S-REVERSE,4608,576,0.4652777777777778,0.4652777777777778,0.4569523329753509,"[[35, 44, 48, 17], [21, 91, 25, 7], [18, 36, 74, 16], [12, 25, 39, 68]]"
