protocol,subject,split,feature,n_train,n_test,balanced_accuracy,accuracy,macro_f1,confusion_matrix
P0,1,1test_fold2,F0,230,58,0.7559523809523809,0.7586206896551724,0.7404678654678655,"[[13, 1, 0, 0], [1, 6, 6, 1], [0, 0, 15, 0], [5, 0, 0, 10]]"
P0,1,1test_fold2,F1,230,58,0.6654761904761906,0.6724137931034483,0.6540372670807454,"[[6, 1, 0, 7], [0, 7, 6, 1], [0, 1, 14, 0], [3, 0, 0, 12]]"
P0,1,1test_fold2,F2-S,230,58,0.6023809523809524,0.603448275862069,0.6027458492975734,"[[8, 2, 0, 4], [0, 8, 6, 0], [3, 4, 8, 0], [2, 2, 0, 11]]"
P0,1,1test_fold2,F2-V,230,58,0.5178571428571429,0.5172413793103449,0.5181856972179553,"[[7, 1, 0, 6], [1, 8, 4, 1], [2, 4, 8, 1], [3, 4, 1, 7]]"
P0,1,1test_fold2,F3-G,230,58,0.36309523809523814,0.3620689655172414,0.3600574712643678,"[[4, 2, 5, 3], [1, 7, 5, 1], [4, 6, 3, 2], [1, 6, 1, 7]]"
P0,1,1test_fold2,F3-D,230,58,0.3821428571428571,0.3793103448275862,0.37355072463768113,"[[6, 3, 2, 3], [3, 7, 2, 2], [3, 5, 3, 4], [1, 7, 1, 6]]"
P0,1,1test_fold2,F2-S-SHUFFLE,230,58,0.4285714285714286,0.43103448275862066,0.42500000000000004,"[[4, 1, 2, 7], [0, 6, 7, 1], [1, 6, 8, 0], [5, 3, 0, 7]]"
P0,1,1test_fold2,F2-S-REVERSE,230,58,0.6023809523809524,0.603448275862069,0.6027458492975734,"[[8, 2, 0, 4], [0, 8, 6, 0], [3, 4, 8, 0], [2, 2, 0, 11]]"
