protocol,subject,split,feature,n_train,n_test,balanced_accuracy,accuracy,macro_f1,confusion_matrix
P1,3,1test_to_0train,F0,288,288,0.8125,0.8125,0.810244466727294,"[[65, 6, 0, 1], [1, 70, 0, 1], [8, 4, 59, 1], [28, 4, 0, 40]]"
P1,3,1test_to_0train,F1,288,288,0.78125,0.78125,0.781633962956171,"[[56, 8, 2, 6], [1, 68, 1, 2], [8, 3, 58, 3], [27, 2, 0, 43]]"
P1,3,1test_to_0train,F2-S,288,288,0.5451388888888888,0.5451388888888888,0.5444479397757778,"[[36, 13, 6, 17], [9, 40, 12, 11], [14, 14, 35, 9], [15, 8, 3, 46]]"
P1,3,1test_to_0train,F2-V,288,288,0.4131944444444444,0.4131944444444444,0.41057781566732976,"[[22, 15, 17, 18], [8, 33, 20, 11], [9, 18, 36, 9], [24, 12, 8, 28]]"
P1,3,1test_to_0train,F3-G,288,288,0.3298611111111111,0.3298611111111111,0.3196223912717081,"[[10, 24, 16, 22], [10, 27, 21, 14], [7, 22, 25, 18], [17, 11, 11, 33]]"
P1,3,1test_to_0train,F3-D,288,288,0.3159722222222222,0.3159722222222222,0.3103270632181244,"[[17, 18, 26, 11], [13, 28, 26, 5], [10, 19, 31, 12], [27, 9, 21, 15]]"
P1,3,1test_to_0train,F2-S-SHUFFLE,288,288,0.4722222222222222,0.4722222222222222,0.47103374775390705,"[[25, 17, 11, 19], [14, 34, 9, 15], [15, 13, 33, 11], [16, 10, 2, 44]]"
P1,3,1test_to_0train,F2-S-REVERSE,288,288,0.5451388888888888,0.5451388888888888,0.5444479397757778,"[[36, 13, 6, 17], [9, 40, 12, 11], [14, 14, 35, 9], [15, 8, 3, 46]]"
