protocol,subject,split,feature,n_train,n_test,balanced_accuracy,accuracy,macro_f1,confusion_matrix
P0,9,1test_fold4,F0,231,57,0.8761904761904762,0.8771929824561403,0.8772353897492942,"[[14, 0, 1, 0], [0, 10, 4, 0], [0, 2, 12, 0], [0, 0, 0, 14]]"
P0,9,1test_fold4,F1,231,57,0.9119047619047619,0.9122807017543859,0.911749680715198,"[[14, 0, 1, 0], [0, 13, 1, 0], [0, 3, 11, 0], [0, 0, 0, 14]]"
P0,9,1test_fold4,F2-S,231,57,0.6666666666666666,0.6666666666666666,0.6637119750022976,"[[10, 0, 3, 2], [1, 11, 1, 1], [4, 2, 6, 2], [1, 0, 2, 11]]"
P0,9,1test_fold4,F2-V,231,57,0.6107142857142858,0.6140350877192983,0.602074592074592,"[[12, 0, 2, 1], [1, 11, 2, 0], [4, 4, 4, 2], [1, 1, 4, 8]]"
P0,9,1test_fold4,F3-G,231,57,0.30000000000000004,0.2982456140350877,0.3051242236024845,"[[3, 2, 6, 4], [4, 5, 4, 1], [2, 2, 5, 5], [4, 0, 6, 4]]"
P0,9,1test_fold4,F3-D,231,57,0.33452380952380956,0.3333333333333333,0.3426686217008798,"[[4, 2, 3, 6], [3, 5, 2, 4], [4, 1, 6, 3], [5, 0, 5, 4]]"
P0,9,1test_fold4,F2-S-SHUFFLE,231,57,0.4535714285714285,0.45614035087719296,0.4551551389786684,"[[9, 2, 4, 0], [4, 6, 2, 2], [5, 4, 3, 2], [1, 0, 5, 8]]"
P0,9,1test_fold4,F2-S-REVERSE,231,57,0.6666666666666666,0.6666666666666666,0.6637119750022976,"[[10, 0, 3, 2], [1, 11, 1, 1], [4, 2, 6, 2], [1, 0, 2, 11]]"
