pair,first_class,second_class,T_S,T_C,T_J,fraction_of_total_J_if_defined
LR,left_hand,right_hand,0.36482154482234475,0.15656493093976115,0.11912929182411669,0.10319110323517298
LF,left_hand,feet,0.40793880713640107,0.2599722446623185,0.016512582380636385,0.014303380529074861
LT,left_hand,tongue,0.3419988383605588,1.0989021674618225,0.514204524971885,0.44540961679438995
RF,right_hand,feet,0.27631351603562615,0.1575289065716441,0.1277244434440154,0.110636318131946
RT,right_hand,tongue,0.21037354725978386,0.40410103828110394,0.1625736042314111,0.14082304461547646
FT,feet,tongue,0.25349080957384024,0.2815213159239607,0.21430868029999697,0.18563653669393956
