domain,profile,first,second,pearson_correlation,centered_cosine_similarity,euclidean_distance
G_subject_fixed_class,raw,S1,S2,-0.12050634459449863,-0.12050634459449862,1.7212913332372572
G_subject_fixed_class,raw,S1,S3,0.8313502886751555,0.8313502886751555,0.7085711630771514
G_subject_fixed_class,raw,S1,S4,0.5769649302026646,0.5769649302026646,1.2582800005377706
G_subject_fixed_class,raw,S1,S5,0.9115560978078042,0.911556097807804,1.6218737531910334
G_subject_fixed_class,raw,S1,S6,-0.1713773150216383,-0.1713773150216383,1.4347136073695672
G_subject_fixed_class,raw,S1,S7,0.6974276048476781,0.6974276048476781,1.1821514637152204
G_subject_fixed_class,raw,S1,S8,0.6253812271786758,0.6253812271786758,0.8501431111469131
G_subject_fixed_class,raw,S1,S9,0.27599154882529003,0.2759915488252901,6.451085704258712
G_subject_fixed_class,raw,S2,S3,-0.5316735195677085,-0.5316735195677085,1.2743383689690297
G_subject_fixed_class,raw,S2,S4,-0.7611850306693975,-0.7611850306693975,0.6083515429560284
G_subject_fixed_class,raw,S2,S5,-0.46679717790461356,-0.46679717790461356,0.18980673250835287
G_subject_fixed_class,raw,S2,S6,0.4210420372638629,0.42104203726386297,0.4547933754692272
G_subject_fixed_class,raw,S2,S7,-0.4042339273961891,-0.40423392739618913,0.6527204842393493
G_subject_fixed_class,raw,S2,S8,-0.7292321704498389,-0.7292321704498388,1.5549766254652002
G_subject_fixed_class,raw,S2,S9,-0.6169032939300515,-0.6169032939300515,7.589923328761006
G_subject_fixed_class,raw,S3,S4,0.7432686982676198,0.7432686982676199,0.7639752830616883
G_subject_fixed_class,raw,S3,S5,0.8492539488578458,0.8492539488578459,1.1416411623198268
G_subject_fixed_class,raw,S3,S6,-0.23818248232231784,-0.23818248232231787,0.9987644777165938
G_subject_fixed_class,raw,S3,S7,0.8689033776577628,0.8689033776577629,0.6741991936259993
G_subject_fixed_class,raw,S3,S8,0.8565592254728519,0.8565592254728519,0.5228791698801298
G_subject_fixed_class,raw,S3,S9,0.39175228514810956,0.3917522851481096,6.682045766534401
G_subject_fixed_class,raw,S4,S5,0.824386394951389,0.8243863949513889,0.4747114250619933
G_subject_fixed_class,raw,S4,S6,-0.7609053444370166,-0.7609053444370167,0.4362551301017561
G_subject_fixed_class,raw,S4,S7,0.4983368491521202,0.49833684915212006,0.2893132446637458
G_subject_fixed_class,raw,S4,S8,0.785527843193107,0.785527843193107,1.0043749805996196
G_subject_fixed_class,raw,S4,S9,0.6328770272940288,0.6328770272940288,7.073105797055993
G_subject_fixed_class,raw,S5,S6,-0.3984034668132855,-0.39840346681328553,0.43545985766950657
G_subject_fixed_class,raw,S5,S7,0.6679411388239251,0.6679411388239251,0.5447739920011143
G_subject_fixed_class,raw,S5,S8,0.7853658500055294,0.7853658500055292,1.4148232341169207
G_subject_fixed_class,raw,S5,S9,0.5340999922314711,0.5340999922314712,7.466788980522448
G_subject_fixed_class,raw,S6,S7,0.05811721549125116,0.058117215491251165,0.3745315481170554
G_subject_fixed_class,raw,S6,S8,-0.26551662109555446,-0.2655166210955544,1.2421154106288943
G_subject_fixed_class,raw,S6,S9,-0.3504584890656598,-0.35045848906565974,7.287068707133847
G_subject_fixed_class,raw,S7,S8,0.888028576284508,0.8880285762845078,0.9206921979868131
G_subject_fixed_class,raw,S7,S9,0.5557057728655611,0.5557057728655611,7.036423034991925
G_subject_fixed_class,raw,S8,S9,0.7926383082169497,0.7926383082169496,6.204946216944368
G_subject_fixed_class,adjusted,S1,S2,-0.15087118015755646,-0.15087118015755646,1.6529636685713602
G_subject_fixed_class,adjusted,S1,S3,0.8232041258767389,0.8232041258767389,0.7315595572821212
G_subject_fixed_class,adjusted,S1,S4,0.5824443509290561,0.5824443509290561,1.4646978820858008
G_subject_fixed_class,adjusted,S1,S5,0.5607244951089985,0.5607244951089982,1.5546824563948487
G_subject_fixed_class,adjusted,S1,S6,-0.3139753508647894,-0.31397535086478945,1.6540945111264498
G_subject_fixed_class,adjusted,S1,S7,0.6901837391103288,0.6901837391103288,1.3550852775715776
G_subject_fixed_class,adjusted,S1,S8,0.6440325613132332,0.6440325613132332,0.9638624388927671
