excluded_subject,full_T_J,leave_one_subject_out_T_J,full_minus_leave_one_out,role
1,0.19240885452534362,0.18617284164530656,0.006236012880037056,descriptive_only
2,0.19240885452534362,0.21946852873049386,-0.027059674205150236,descriptive_only
3,0.19240885452534362,0.1981632771243337,-0.005754422598990089,descriptive_only
4,0.19240885452534362,0.21467788340457106,-0.022269028879227437,descriptive_only
5,0.19240885452534362,0.22298115827673853,-0.030572303751394914,descriptive_only
6,0.19240885452534362,0.223061510527021,-0.03065265600167738,descriptive_only
7,0.19240885452534362,0.21611462966054057,-0.02370577513519695,descriptive_only
8,0.19240885452534362,0.21356255699629517,-0.021153702470951552,descriptive_only
9,0.19240885452534362,0.037477304362792084,0.15493155016255153,descriptive_only
