scope,half,subject,session,class,temporal_position,maximum_absolute_difference,exact_match
Full,NA,7,0train,left_hand,3,0.0,True
Full,NA,7,0train,left_hand,4,0.0,True
Full,NA,7,0train,left_hand,5,0.0,True
Full,NA,7,0train,right_hand,1,0.0,True
Full,NA,7,0train,right_hand,2,0.0,True
Full,NA,7,0train,right_hand,3,0.0,True
Full,NA,7,0train,right_hand,4,0.0,True
Full,NA,7,0train,right_hand,5,0.0,True
Full,NA,7,0train,feet,1,0.0,True
Full,NA,7,0train,feet,2,0.0,True
Full,NA,7,0train,feet,3,0.0,True
Full,NA,7,0train,feet,4,0.0,True
Full,NA,7,0train,feet,5,0.0,True
Full,NA,7,0train,tongue,1,0.0,True
Full,NA,7,0train,tongue,2,0.0,True
Full,NA,7,0train,tongue,3,0.0,True
Full,NA,7,0train,tongue,4,0.0,True
Full,NA,7,0train,tongue,5,0.0,True
Full,NA,8,0train,left_hand,1,0.0,True
Full,NA,8,0train,left_hand,2,0.0,True
Full,NA,8,0train,left_hand,3,0.0,True
Full,NA,8,0train,left_hand,4,0.0,True
Full,NA,8,0train,left_hand,5,0.0,True
Full,NA,8,0train,right_hand,1,0.0,True
Full,NA,8,0train,right_hand,2,0.0,True
Full,NA,8,0train,right_hand,3,0.0,True
Full,NA,8,0train,right_hand,4,0.0,True
Full,NA,8,0train,right_hand,5,0.0,True
Full,NA,8,0train,feet,1,0.0,True
Full,NA,8,0train,feet,2,0.0,True
Full,NA,8,0train,feet,3,0.0,True
Full,NA,8,0train,feet,4,0.0,True
Full,NA,8,0train,feet,5,0.0,True
Full,NA,8,0train,tongue,1,0.0,True
Full,NA,8,0train,tongue,2,0.0,True
Full,NA,8,0train,tongue,3,0.0,True
Full,NA,8,0train,tongue,4,0.0,True
Full,NA,8,0train,tongue,5,0.0,True
Full,NA,9,0train,left_hand,1,0.0,True
Full,NA,9,0train,left_hand,2,0.0,True
Full,NA,9,0train,left_hand,3,0.0,True
Full,NA,9,0train,left_hand,4,0.0,True
Full,NA,9,0train,left_hand,5,0.0,True
Full,NA,9,0train,right_hand,1,0.0,True
Full,NA,9,0train,right_hand,2,0.0,True
Full,NA,9,0train,right_hand,3,0.0,True
Full,NA,9,0train,right_hand,4,0.0,True
Full,NA,9,0train,right_hand,5,0.0,True
Full,NA,9,0train,feet,1,0.0,True
Full,NA,9,0train,feet,2,0.0,True
Full,NA,9,0train,feet,3,0.0,True
Full,NA,9,0train,feet,4,0.0,True
Full,NA,9,0train,feet,5,0.0,True
Full,NA,9,0train,tongue,1,0.0,True
Full,NA,9,0train,tongue,2,0.0,True
Full,NA,9,0train,tongue,3,0.0,True
Full,NA,9,0train,tongue,4,0.0,True
Full,NA,9,0train,tongue,5,0.0,True
Full,NA,1,1test,left_hand,1,0.0,True
Full,NA,1,1test,left_hand,2,0.0,True
Full,NA,1,1test,left_hand,3,0.0,True
Full,NA,1,1test,left_hand,4,0.0,True
Full,NA,1,1test,left_hand,5,0.0,True
Full,NA,1,1test,right_hand,1,0.0,True
Full,NA,1,1test,right_hand,2,0.0,True
Full,NA,1,1test,right_hand,3,0.0,True
Full,NA,1,1test,right_hand,4,0.0,True
Full,NA,1,1test,right_hand,5,0.0,True
Full,NA,1,1test,feet,1,0.0,True
Full,NA,1,1test,feet,2,0.0,True
Full,NA,1,1test,feet,3,0.0,True
Full,NA,1,1test,feet,4,0.0,True
Full,NA,1,1test,feet,5,0.0,True
Full,NA,1,1test,tongue,1,0.0,True
