representation,subject,class,a_sc,b_sc,c_sc,d_sc,S_sc,C_sc,J_sc
d_mov,1,left_hand,0.4688124283489029,0.8402997471199128,0.7645960503325064,0.8516182273728449,0.29578362198360353,0.37148731877100993,0.2844651417306715
d_mov,1,right_hand,0.47318298302003486,0.8671987811244183,0.6627627671755734,0.8855319408831986,0.1895797841555385,0.3940157981043834,0.1712466243967582
d_mov,1,feet,0.6204941672426658,0.9014108600518013,0.7777999057355124,0.8618476648699512,0.15730573849284657,0.28091669280913545,0.1968689336746966
d_mov,1,tongue,0.6001040524852966,1.0436992899290192,0.7479153597822912,1.0339935244896403,0.14781130729699454,0.44359523744372253,0.15751707273637328
d_mov,2,left_hand,0.6438266622565172,0.6040367401047773,1.402785358026421,0.9533760734229201,0.7589586957699037,-0.03978992215173993,0.40961936245176067
d_mov,2,right_hand,0.6789597016928494,0.6509222386182933,1.2216655070660871,1.088058574409857,0.5427058053732378,-0.028037463074556013,0.10556946958167424
d_mov,2,feet,0.6767876763826761,0.8942913399808257,1.231985654130378,1.4107346054972236,0.5551979777477019,0.21750366359814954,0.03875471223130411
d_mov,2,tongue,0.6391453060793929,0.6891804266770231,0.8391834334516758,1.2725652077577145,0.20003812737228288,0.050035120597630156,-0.3833466537084086
d_mov,3,left_hand,0.4598478825725997,0.8452188743644399,0.7924286197796451,0.7950304147955416,0.3325807372070454,0.3853709917918402,0.3827691967759437
d_mov,3,right_hand,0.5099645958062896,0.864581898049796,0.7698213809601595,0.8977796644123042,0.2598567851538699,0.3546173022435064,0.22665901879136152
d_mov,3,feet,0.6741545586169408,0.7328377838817763,0.8029282420302377,0.8236845661919391,0.12877368341329687,0.05868322526483549,0.037926901103134125
d_mov,3,tongue,0.5488676846452021,0.959278907103351,0.8373068400028582,1.1573638943568272,0.2884391553576561,0.41041122245814887,0.09035416810417995
d_mov,4,left_hand,0.8038709440384936,0.7129666796861867,1.0029146028662024,0.7282352962939664,0.1990436588277088,-0.09090426435230692,0.18377504221992902
