representation,T_subject,p_subject,T_class,p_class,T_J,p_J_subjectbreak,p_J_classbreak
d_mov,0.25826964750595305,0.0005,0.23919846463061978,0.0005,0.15404379347512942,0.0005,0.0005
d_len,0.18725035132403528,0.0005,0.12577601464202523,0.0005,0.10572614333165428,0.0005,0.0005
d_direct,0.33615390371272286,0.0005,0.284611311275302,0.0005,0.1958728573931413,0.0005,0.0005
