session0_anchor,S1 Left,S1 Right,S1 Feet,S1 Tongue,S2 Left,S2 Right,S2 Feet,S2 Tongue,S3 Left,S3 Right,S3 Feet,S3 Tongue,S4 Left,S4 Right,S4 Feet,S4 Tongue,S5 Left,S5 Right,S5 Feet,S5 Tongue,S6 Left,S6 Right,S6 Feet,S6 Tongue,S7 Left,S7 Right,S7 Feet,S7 Tongue,S8 Left,S8 Right,S8 Feet,S8 Tongue,S9 Left,S9 Right,S9 Feet,S9 Tongue
S1 Left,0.4688124283489029,0.4560842335837423,0.9059359349754108,1.1588790728005856,0.9234394513556993,0.9789936867321442,1.2345196531421017,1.0661125219861007,0.5929176942328067,0.571967747971913,1.0347675533966556,1.3546283756842576,0.5302397610068611,0.8115376918941921,1.2911870700499708,1.356014156320476,0.50778578582522,0.6183214112582818,0.5946085162889694,0.6522095242141599,0.62494106305992,0.5991496160220406,0.9462402309896374,0.6413350392950895,0.5324995573471463,0.4809331619962387,0.6387366181190969,0.8369335090796068,0.5746194049783818,0.6332316262760717,0.6064838595465533,0.9789425268220312,1.830325684854016,0.7095508684247817,0.6737423346741361,1.1286901567637697
S1 Right,0.5673745451944434,0.47318298302003486,0.9167393546227974,1.1174824435560138,0.9126856019416063,0.9630258790167283,1.174154653091655,1.0786091197622334,0.6081986680021598,0.5772248085782319,1.026272559905354,1.3636208102623646,0.4961005988533681,0.8587343036327705,1.2541742507893874,1.3562227091630268,0.5029454216826421,0.563786228749366,0.623298659945915,0.647838280950315,0.6248308521064474,0.5648086564414689,1.0012942178589306,0.6911072461069283,0.5982891093865964,0.5055024950494247,0.537404248368605,0.8701107958484847,0.6399756083343193,0.6098340796423869,0.655978105658614,1.0076170231638464,1.812509532054017,0.6591856862942096,0.6396825348596797,1.1298459731002697
S1 Feet,1.0477074344540247,1.0893404378847016,0.6204941672426658,0.5671847078166775,0.5359560568968659,0.5827997731304104,0.5490422162504767,0.6001826228048976,0.9141515219419531,0.9601822719337069,0.6637332934157048,0.8078049224697478,0.8126509318076958,0.813449279773967,0.6507860717638105,0.8208265856562691,0.7886566689327866,0.6681934684398408,0.7462675188128055,0.6340900538120258,0.7324688992206746,0.7761218553781187,0.7922387823097696,0.9366504984486829,1.0004378700815035,0.9436478679664781,0.8885038912941616,0.7122454564182026,1.0983309007046593,0.9795104837885216,0.8613757830590556,0.6649493789563518,2.5155540696913468,0.7207964786502712,1.0704516889783147,0.6646860399738513
S1 Tongue,1.2359944647632883,1.2761261889455213,0.6189772160782477,0.6001040524852966,0.6192359152758491,0.6207618162777886,0.6000663258123687,0.55033620872091,1.1015787306461018,1.1567691173340704,0.6713879269449383,0.7230300229098583,1.0741767595603842,0.8274155432666673,0.6136111279510832,0.8030591156527568,1.0113409267125502,0.9302248089915796,0.9427785730687982,0.7779227906830912,0.9531401930962163,1.0176176042647702,0.8910202152518342,1.0795058929450214,1.1387659946703357,1.1776114535674578,1.156219591804826,0.8234630276552732,1.224096343373886,1.1664753896804436,1.0014322843105021,0.6022288483674892,2.7773229546611025,0.9114236938122331,1.23137129741558,0.6237769713239285
S2 Left,1.3038098540072327,1.4241612113456958,0.8027879735048514,0.6114668453222288,0.6438266622565172,0.6676048472992515,0.6193843760291938,0.5251209969858864,1.1659775360643656,1.2223225542222214,0.6959043122319819,0.5132989428514522,1.1714459645567978,0.9807566006394483,0.5477298567389991,0.5783505991125053,1.1083426883874354,1.0216072517858674,0.9669959401654085,0.9060755731164204,0.9758299292178508,1.0823400470060665,0.7735651646473963,1.188572705664949,1.268305761766035,1.2584369460380886,1.2882385914079042,0.7902133392808328,1.3464640030479638,1.271496746568024,1.1101083554182205,0.6872885787280614,2.8821071271636853,1.0528969618565014,1.4388938419649602,0.6675168225319954
S2 Right,1.39964657395095,1.4838661076552824,0.8276471458286523,0.685677735365519,0.6925963635541292,0.6789597016928494,0.6909515374417283,0.5692188148590225,1.2129500455431381,1.2843236362502217,0.7151576241115869,0.5476197150346717,1.2348179322381636,0.9524415450473702,0.582838643950982,0.6895962866883725,1.1755191164399665,1.1085305915953492,1.0719062737540752,0.9927016411969329,1.0560328015098113,1.1741859498088942,0.816036895057497,1.2119628477008773,1.317507612809598,1.328545902263253,1.3330226786036248,0.8460660335288277,1.3739066094549026,1.304390679871523,1.1316921211488606,0.6991214345454115,2.964898825268868,1.1370396440368027,1.4785881738292652,0.7484910182760159
S2 Feet,1.6874453605830824,1.779589886291945,1.0919048265693556,0.7695221552581909,0.9422485497753691,0.938259453871324,0.6767876763826761,0.8023660162957839,1.5016069885257086,1.558275240062586,0.9301199904420128,0.6829767499839712,1.4963958575058451,1.2766278363933632,0.6356597005805444,0.7278768953103878,1.4523658883548467,1.3267082045510403,1.3351429647130888,1.2428946129927478,1.3162600798676962,1.4086618420092445,1.1000627101405438,1.5233539284492283,1.6298969752087054,1.6053040827465186,1.5673496843048795,1.1145537620288906,1.713597458507334,1.6113020690081168,1.4527830476734993,0.99512115366672,3.193675110473655,1.3459709343840969,1.7428623086191,0.8976474597694487
S2 Tongue,1.4715618808436421,1.539572961327232,0.8689193708760865,0.6397305480796097,0.7533866455706872,0.7379743576180384,0.5761802768423436,0.6391453060793929,1.2645128165963195,1.3306721387693958,0.7144449498131787,0.6104069836918238,1.2658353237156403,1.0478839897247976,0.5207261010735954,0.6930010622657485,1.2237739304442234,1.1215077309893082,1.1479618089784978,1.0199999073520272,1.1058243738635536,1.1960158136981436,0.9450990977829563,1.292937114165919,1.3916994680076362,1.3847890959509301,1.33285083398756,0.912648373959459,1.4706124329418966,1.379963975297102,1.2187679484010183,0.7878853981897725,2.9754639044884055,1.1286799066937565,1.494425131920276,0.7568580799090464
S3 Left,0.6350084335272288,0.6175861261516148,0.8454530702513123,1.0600364339168686,0.8346587428207763,0.8802507232570193,1.1240505830799778,0.9610426408618679,0.4598478825725997,0.49796360061367095,0.8428259887559203,1.1948670337237284,0.5747394993661266,0.6943372879513108,1.1482875538340545,1.251066570281252,0.542123652757946,0.6487516631918002,0.6534794440693368,0.6443343965222063,0.5904227447073376,0.6263716548949051,0.8241960394434528,0.6139924353881967,0.5666135933504424,0.5400524700402655,0.6488071562923313,0.7223973113027475,0.6166889064665554,0.6140234413310954,0.570467830460839,0.8933316326386002,1.9791733852407476,0.7084948724686374,0.7155415286594963,1.0743770888038084
S3 Right,0.656843466110986,0.7173604617055072,0.9168105838370673,1.1055438280347512,0.9101218975368194,0.9546123861476509,1.1885522668940838,0.9877098968238568,0.5544623883880017,0.5099645958062896,0.8574609087278002,1.1818223970335857,0.7147016438232848,0.7677450349715332,1.156758465523667,1.2225729995917634,0.6952555746476257,0.7940439631138428,0.6986978768630544,0.7408552256272225,0.6572984362628337,0.7353243113871393,0.8074902002617406,0.6893160403717962,0.6389790969011478,0.6542144582154512,0.8279008073344911,0.7408158499933426,0.6591564079482909,0.7196735860344851,0.6860206126868629,0.9293598018701251,1.9820819254236899,0.8155968461056659,0.8292749902489926,1.1045940512778027
S3 Feet,0.8421349558378033,0.8719409202393367,0.7885171394903354,0.8951918185605273,0.7264084354295163,0.7608200652196258,0.9543004027423233,0.7906839689482811,0.5945478293974585,0.6357406467563192,0.6741545586169408,0.968224875491551,0.7000724408373581,0.7182784795872167,0.9206420406669916,1.0132382598984129,0.6798761833754731,0.7196231964558399,0.6785956633729643,0.6910225402682781,0.5994793391211773,0.7169691008525847,0.6474281714451049,0.7104105976009539,0.7584959099242778,0.7320087462281436,0.7828441934306142,0.5860534942165931,0.7904109305455906,0.7351174889470921,0.6973286633292134,0.7829575055412623,2.2062100527707935,0.7819215587063063,0.9537696617643544,0.9591035994940923
S3 Tongue,1.3524103210428993,1.4420969748329717,0.9042458490850483,0.746588276356931,0.7692066812086836,0.7778865178806894,0.763648302127963,0.6561667547157785,1.0959159232787636,1.1627943655221236,0.6191264325091659,0.5488676846452021,1.1860446118919943,0.9764455315452728,0.6285322920975129,0.6881085629958036,1.139343156949023,1.0867714381789824,1.037631098137918,0.9916048628291901,0.9869619259190352,1.1209926775249417,0.7485419658754969,1.1764990144602023,1.2658617019849374,1.2435984362842738,1.2737105893192466,0.7779174011205438,1.3268600921633262,1.251349289475537,1.1217669792749572,0.7916887596336349,2.8219847092593637,1.109281797836593,1.4415605246671872,0.8698810879107812
S4 Left,0.9456055368852222,1.0280574289160453,0.5804565814616355,0.6624591819131337,0.4598194449216293,0.5128142974541671,0.726225263324659,0.46579220560388324,0.8200795744018303,0.8870577400648393,0.5736568090696359,0.7151641160990145,0.8038709440384936,0.6255162757847486,0.7147676806449991,0.7986160826288122,0.7361717206434285,0.7268164409864886,0.6756676984564763,0.62383128408092,0.6772134524899798,0.7846058456291357,0.5995535884075233,0.818356085587201,0.8864615528499817,0.886414626299258,0.9365278299307191,0.5663549523639659,0.9525181084832236,0.8868512624330841,0.6912702665571899,0.5385275142180748,2.545447432254324,0.8056522188993891,1.0990031244735048,0.6865307488252491
S4 Right,0.9983602096726767,1.0838052029818772,0.6170292007068358,0.7635713783883876,0.5875422833876451,0.6217156941373135,0.841216006541379,0.5666516731133989,0.8540528812090553,0.9221548308757289,0.6332059651088494,0.7651233543068907,0.8827892053353221,0.6357272461831591,0.7816921287887523,0.8667915651936422,0.8278435821101916,0.8414872402254092,0.7577745390511187,0.7150647087173478,0.7611480855041554,0.8821143755020681,0.6060769090294355,0.8113536689526685,0.8942634119511622,0.9589328825526183,1.0196110490255328,0.5907018688319529,0.9767204347557459,0.9462215120164593,0.7589955186767765,0.5736048251680238,2.5665671763646305,0.8841445405895778,1.155557485410121,0.769994503066512
