comparison,d_mov,d_len,d_direct
S1 Left vs S1 Left,0.4688124283489029,0.08628186534137408,0.7110064618985354
S1 Left vs S2 Left,0.9234394513556993,0.14254917736129832,1.152013664567817
S1 Left vs S1 Feet,0.9059359349754108,0.2601690849545301,1.2293988183607767
S1 Left vs S2 Feet,1.2345196531421017,0.455520722329845,1.4981469186248326
