dataset,geometry,template,object,signature,stage,observed,null_median,effect,exceedances,p_value,replicates
OpenBMI,AIRM,session_specific,Z,sensor,R,0.43794819693951109,-7.4505965558600623e-05,0.43802270290506967,0,0.00050000000000000001,1999
OpenBMI,AIRM,session_specific,Z,spectrum,R,0.93642936841491187,0.82405243255497052,0.11237693585994135,0,0.00050000000000000001,1999
OpenBMI,AIRM,session_specific,R,sensor,R,0.43793182189554969,0.00011993425728765855,0.43781188763826201,0,0.00050000000000000001,1999
OpenBMI,AIRM,session_specific,R,spectrum,R,0.93643069971254378,0.8246647482148034,0.11176595149774038,0,0.00050000000000000001,1999
OpenBMI,AIRM,pooled_session,Z,sensor,R,0.44387490707257132,0.00053509661755938437,0.44333981045501192,0,0.00050000000000000001,1999
OpenBMI,AIRM,pooled_session,Z,spectrum,R,0.93650364461099933,0.82481163956198023,0.11169200504901911,0,0.00050000000000000001,1999
OpenBMI,AIRM,pooled_session,R,sensor,R,0.44385027834198931,0.00051811778494637029,0.44333216055704294,0,0.00050000000000000001,1999
OpenBMI,AIRM,pooled_session,R,spectrum,R,0.93650389005964529,0.82520045167044143,0.11130343838920387,0,0.00050000000000000001,1999
OpenBMI,LE,session_specific,Z,sensor,R,0.441749595412331,-0.00019345450985264537,0.44194304992218364,0,0.00050000000000000001,1999
OpenBMI,LE,session_specific,Z,spectrum,R,0.92573743211159765,0.79832511812993578,0.12741231398166186,0,0.00050000000000000001,1999
OpenBMI,LE,session_specific,R,sensor,R,0.44174959541233105,-0.00023475127841300625,0.44198434669074405,0,0.00050000000000000001,1999
OpenBMI,LE,session_specific,R,spectrum,R,0.92573743211159765,0.79923618810178776,0.12650124400980989,0,0.00050000000000000001,1999
OpenBMI,LE,pooled_session,Z,sensor,R,0.44740203789835786,0.00013410269242323559,0.44726793520593461,0,0.00050000000000000001,1999
OpenBMI,LE,pooled_session,Z,spectrum,R,0.9264497366364175,0.79875995999534433,0.12768977664107317,0,0.00050000000000000001,1999
OpenBMI,LE,pooled_session,R,sensor,R,0.44740203789835786,0.00036386607299646045,0.44703817182536143,0,0.00050000000000000001,1999
OpenBMI,LE,pooled_session,R,spectrum,R,0.9264497366364175,0.7991476300418634,0.1273021065945541,0,0.00050000000000000001,1999
