dataset,geometry,template,object,signature,subject,session0_half_cosine,session1_half_cosine,mean_session_half_cosine,same_subject_cross_session_cosine
OpenBMI,AIRM,session_specific,Z,sensor,1,0.13518047654955978,0.23390608684800829,0.18454328169878403,0.138042196282469
OpenBMI,AIRM,session_specific,Z,sensor,2,0.59436036970858752,0.42087547338303155,0.50761792154580954,0.077360697208373616
OpenBMI,AIRM,session_specific,Z,sensor,3,0.88604876484849937,0.56629456568573056,0.72617166526711507,0.57577541657510589
OpenBMI,AIRM,session_specific,Z,sensor,4,0.37368141090983853,0.36087074333435876,0.3672760771220987,0.29817904475661844
OpenBMI,AIRM,session_specific,Z,sensor,5,0.51027192673880606,0.25176923193221312,0.38102057933550965,0.45595628643743241
OpenBMI,AIRM,session_specific,Z,sensor,6,0.32856556050302044,0.4632777012768326,0.3959216308899266,0.43350685621413432
OpenBMI,AIRM,session_specific,Z,sensor,7,0.72288283339462889,0.40388793001002693,0.56338538170232799,0.16730617230192729
OpenBMI,AIRM,session_specific,Z,sensor,8,0.10955314405611274,0.0080077658709502217,0.058780454963531487,-0.11361795716433347
OpenBMI,AIRM,session_specific,Z,sensor,9,0.17366377614522152,0.019864669810852859,0.096764222978037176,-0.042935408793374139
OpenBMI,AIRM,session_specific,Z,sensor,10,0.38543816340395198,0.41978734860142647,0.4026127560026892,0.71788598335216502
OpenBMI,AIRM,session_specific,Z,sensor,11,0.51422531808173666,0.66528531980366745,0.58975531894270206,0.44412191249937877
OpenBMI,AIRM,session_specific,Z,sensor,12,0.46960561647974308,0.52385939176930174,0.49673250412452241,-0.17235513077872391
OpenBMI,AIRM,session_specific,Z,sensor,13,0.52773292827570739,0.52212994515520395,0.52493143671545583,0.19766250934344459
OpenBMI,AIRM,session_specific,Z,sensor,14,0.53102587489133257,-0.3743881657084045,0.078318854591464093,0.32583338832618791
OpenBMI,AIRM,session_specific,Z,sensor,15,0.57820236026098004,0.71539230501166029,0.64679733263632033,0.46926427466849779
OpenBMI,AIRM,session_specific,Z,sensor,16,0.60392774150549156,0.62975588339010802,0.61684181244779979,-0.60541627094501227
OpenBMI,AIRM,session_specific,Z,sensor,17,0.26114288682237435,0.35431011715253746,0.30772650198745588,0.30997191390707202
OpenBMI,AIRM,session_specific,Z,sensor,18,0.71742034924972686,0.67817831520821348,0.69779933222897017,0.42042172335512101
OpenBMI,AIRM,session_specific,Z,sensor,19,0.14583669609694588,0.11456974831324937,0.13020322220509767,0.15284430711239602
OpenBMI,AIRM,session_specific,Z,sensor,20,0.18902896352373622,0.52992282873238827,0.35947589612806224,0.023133130021072687
OpenBMI,AIRM,session_specific,Z,sensor,21,0.75299249062380436,0.85746732392025549,0.80522990727203003,0.68107620612105102
OpenBMI,AIRM,session_specific,Z,sensor,22,0.62142906108486851,0.28652893153478043,0.45397899630982458,0.38858735982980386
OpenBMI,AIRM,session_specific,Z,sensor,23,0.46517752954127795,0.34143296712113358,0.40330524833120573,0.39285554117394866
OpenBMI,AIRM,session_specific,Z,sensor,24,0.40572339823265313,0.42596121744276294,0.41584230783770804,0.39288084302667464
OpenBMI,AIRM,session_specific,Z,sensor,25,0.49431310310249099,0.37572371161035578,0.4350184073564235,0.62017720027669565
OpenBMI,AIRM,session_specific,Z,sensor,26,0.66357906768290131,0.5750436735233122,0.61931137060310681,-0.039963680684487468
OpenBMI,AIRM,session_specific,Z,sensor,27,0.27151784903981918,0.61055432516520791,0.44103608710251352,0.037615102312493175
OpenBMI,AIRM,session_specific,Z,sensor,28,0.6754878353394439,0.50757327808319064,0.59153055671131738,0.35549963784055516
OpenBMI,AIRM,session_specific,Z,sensor,29,0.96522723464225846,0.99029001800872074,0.97775862632548982,0.83927779849720263
OpenBMI,AIRM,session_specific,Z,sensor,30,0.29951950302535357,0.27734611189990638,0.28843280746263,0.28128216236763087
OpenBMI,AIRM,session_specific,Z,sensor,31,0.28448135922592466,0.36117883168833198,0.32283009545712832,0.26364910819932152
OpenBMI,AIRM,session_specific,Z,sensor,32,0.90035605354453474,0.89695640861420611,0.89865623107937065,0.78485497472031307
