,S01_left_hand,S01_right_hand,S02_left_hand,S02_right_hand,S03_left_hand,S03_right_hand,S04_left_hand,S04_right_hand,S05_left_hand,S05_right_hand,S06_left_hand,S06_right_hand,S07_left_hand,S07_right_hand,S08_left_hand,S08_right_hand,S09_left_hand,S09_right_hand,S10_left_hand,S10_right_hand,S11_left_hand,S11_right_hand,S12_left_hand,S12_right_hand,S13_left_hand,S13_right_hand,S14_left_hand,S14_right_hand,S15_left_hand,S15_right_hand,S16_left_hand,S16_right_hand,S17_left_hand,S17_right_hand,S18_left_hand,S18_right_hand,S19_left_hand,S19_right_hand,S20_left_hand,S20_right_hand,S21_left_hand,S21_right_hand,S22_left_hand,S22_right_hand,S23_left_hand,S23_right_hand,S24_left_hand,S24_right_hand,S25_left_hand,S25_right_hand,S26_left_hand,S26_right_hand,S27_left_hand,S27_right_hand,S28_left_hand,S28_right_hand,S29_left_hand,S29_right_hand,S30_left_hand,S30_right_hand,S31_left_hand,S31_right_hand,S32_left_hand,S32_right_hand,S33_left_hand,S33_right_hand,S34_left_hand,S34_right_hand,S35_left_hand,S35_right_hand,S36_left_hand,S36_right_hand,S37_left_hand,S37_right_hand,S38_left_hand,S38_right_hand,S39_left_hand,S39_right_hand,S40_left_hand,S40_right_hand,S41_left_hand,S41_right_hand,S42_left_hand,S42_right_hand,S43_left_hand,S43_right_hand,S44_left_hand,S44_right_hand,S45_left_hand,S45_right_hand,S46_left_hand,S46_right_hand,S47_left_hand,S47_right_hand,S48_left_hand,S48_right_hand,S49_left_hand,S49_right_hand,S50_left_hand,S50_right_hand,S51_left_hand,S51_right_hand,S52_left_hand,S52_right_hand,S53_left_hand,S53_right_hand,S54_left_hand,S54_right_hand
S01_left_hand,1.0075133200817339,0.912287548085162,1.0005012098304955,1.0558879136081378,1.0026293303376244,0.9025078858635087,1.1082847629970014,0.813547158805495,1.2038229114886185,1.2675900810424863,1.0785718063408667,1.1036359458873553,1.039917563549959,0.9894294419286886,0.964066573498062,1.1165942811478429,1.2945258541392022,1.079592098648937,1.0987988025617448,1.021693980519329,0.8553916946647315,0.9772855597897798,1.0548483379503082,0.9881684056740686,1.2233573949495966,1.0158255434329835,1.0141906339690743,0.9215332713883125,1.1154543278422195,1.1968072198202149,0.9030109061840028,1.0909228189002016,1.087582267369774,0.9760590462436132,0.9945813535318351,0.8700699773967593,1.2283674147399928,0.9582841530586101,1.0915351464625191,0.9795221654546006,1.0388514698637108,1.1116536861425206,1.1658103217180469,0.8591743938530242,1.2275250999476457,1.1486137753196068,1.110480457860451,1.230651246860961,1.0092836044308653,0.9340026986488698,1.0077702820274297,1.1122675683024557,1.1456953894346984,1.0475230887019575,1.0331880451677817,1.1431050910825067,0.788986475969486,1.0761843248006873,1.076272145944691,0.8915148689413848,0.8935942401717383,1.1114336746095943,1.308234170922709,1.2754491162464077,1.2331577650093595,1.0475897462287227,0.996375409056327,1.2940773404637584,0.9549221262995444,1.0531534844351729,1.1496006193135015,1.1428054349853896,1.0879318888572929,1.0119945098684249,1.1433468859672424,1.2102606166200098,1.2038714033064244,1.062479421369069,1.1083695725337344,1.3452964240082226,1.1204364615710443,1.0518297447593166,0.7646514566898539,0.8972140850307515,1.0690237049220763,1.1884467980708908,0.9432661797963295,1.0027969704465556,1.188416678185358,1.113091226424702,1.0153551365116176,1.0187555859331157,0.6363411293207628,1.1179002703445153,0.8719341983486076,0.8560222118420939,1.3958002499265967,0.9415718690968912,0.9570503298593802,1.2016459859118989,0.9719420295087051,0.9614420023432861,1.0868118857007698,1.0624891532287937,1.0560321105489983,1.2551626050087115,1.286367701542003,0.9311190309749142
S01_right_hand,1.1930759480815771,1.2166456583600598,1.0414165989550968,1.0894554707709827,1.1503942269221996,1.3317619074661515,1.4732338409632992,1.0039137067118793,1.4301622418234083,1.1305939544814894,1.084575680614689,0.8636713366611797,0.9874449678817969,1.0600087839710732,1.1487503309391105,1.025104044193628,1.3151153065667216,1.0248055538940801,1.1748286056659114,1.0550572580912094,0.9292695318573632,0.963561289732085,0.9471514450347798,1.0989637770386849,1.2557769321813437,1.1539586128205035,0.8822724438773573,0.9320554358279278,0.9605798831328602,1.1188355530274259,0.9661286523430526,1.0475745498847122,0.9430057420790592,0.9859840847442163,1.2126757560445265,1.1117652245139278,1.2166032428689777,1.1283536067469575,1.1761743239694864,1.2328256126471338,0.9533923615510471,0.9528951795562159,1.1511001662738582,1.032617729729717,1.209775856594029,1.211636438055405,1.196944850283547,1.052676786306392,0.8580189759109098,0.9654725760830383,1.2070835444228307,1.1279249808399152,1.36183185799574,1.239623808591508,1.0768544405527523,0.9797307538945454,0.9110485225211085,1.0619818248247357,1.0933862584611123,0.9972015708180538,0.9673859247720134,1.1717818038535794,1.2014947458980305,1.1651353722101823,1.1244101298343616,0.9892978937920038,0.9974752511534324,1.2985238853194536,1.0921075765952166,1.1239310670723164,1.1956410153454562,1.1165566749187352,1.2892147161920593,1.2306625011072079,1.055737436257185,1.1818810191181388,1.218587819724736,1.2871342030769908,1.1246715797168456,1.2056181662684717,1.0155638209272104,1.1125586126709264,1.0570825613679764,0.9249559977414833,1.0673539325316848,1.152747501127717,1.0852321929614885,0.8777549129956208,1.0225219874882023,0.9503456535942034,1.0757782411104249,0.9564344366606936,0.9656725809622194,0.9541287588561502,1.135724916840576,1.131848587377052,0.9779904445553788,0.8961135760598754,1.2582520641114212,1.1173520525218137,1.189058918235112,1.3075448218049937,0.9576921403171674,1.2106999009702017,0.9858527176528045,1.1048887225497357,1.1547619480888,1.1088873765183753
S02_left_hand,1.080608889241669,1.0594087216905668,1.0555520908085887,0.949557776350719,0.9317977415403242,0.9387829987517681,1.1709274571342245,1.0197319970107188,1.3805244350134862,1.1696055786738735,1.0838407933829397,0.9931789972719272,0.9018721654099777,1.2213142771550016,1.2047001925148932,1.0093765649586235,0.9718276100937587,1.2532133644138934,1.055317402163268,1.0604815952401223,0.862519812130627,0.9495396338568945,1.0026760891867696,1.138578199792996,1.0919049681365682,1.0785731901156919,0.9382150295589642,0.8339351507748403,1.1197954656549567,1.057390129709578,0.914329345564531,1.053543483207461,1.0221076356695125,0.8878650066553058,1.1126322329608351,0.9670338506254665,1.0262565522581968,1.0356337354675422,1.0705293399690667,0.9759288425659884,1.0575766033859684,0.9569339341633929,0.9697378451073756,0.8943163463005388,1.0232247587611676,1.3975620546348506,0.9344432906513852,1.2211296120504256,0.9945489093560069,0.9133786933329087,0.9130255991447651,0.8926232549323403,1.1322564367925203,1.2106615175828295,1.072672254369863,0.9101570405508197,0.661585004381128,1.0972909036016072,0.9335992952194296,0.9581435920089687,0.8141684692967976,1.0656736877870006,1.1791715823962234,1.0851376237242136,1.379236422959441,1.2366088606263845,1.1193942689500962,1.278254616432989,1.036794054720568,0.9325030630992118,0.962856502396796,1.072321680265429,1.3533384615999533,0.8901008712353262,1.029361429453402,1.2540703464432468,1.1756584248688737,1.224813129893371,1.0281365949686438,1.1756659517125208,1.0828707170593415,1.1523184896213814,0.8846848178465292,0.944784568105753,0.9603505674528283,1.1554728797132758,0.8859791003843728,0.9261651301237446,1.089961257433903,1.1304584578257426,0.9149264613784038,1.039485802185541,0.9388061714282603,1.0742119374924914,0.9205239724068839,1.0018899222636362,0.9642008651173444,0.9752546616188353,1.0986275926379685,1.1824390412961048,1.172514196925967,1.0345562853994485,0.9998593297761487,1.2098883274596148,0.9690706705090375,1.119007024134224,0.9485942170478063,0.9667930531742335
S02_right_hand,1.033888233377319,1.0219135414540435,0.9448488826298326,0.9780570600843963,1.1576688737437166,1.0588376968804203,1.231237944115786,1.0155485991201054,1.3995197656430787,1.358322713207995,1.1284243796319626,1.0297648879636956,1.0354256427506663,0.93225487425484,1.2157457454544376,1.0254428599493042,1.246860494309349,1.1298501123816973,1.1862299797327602,1.055872942463131,1.0556064202663094,1.0853851396496441,0.97166214835612,1.2571688816302515,1.1970923854137834,1.384717037134827,0.8712257257669648,1.211287948862825,0.8092961673963746,1.0310089263151876,1.0706962148699821,1.1377623318552779,0.9926672453144466,0.957264003881333,1.1110053515897764,1.072687283639549,1.080930411074649,1.0337692287184255,1.2179152566718079,1.0886718306257943,0.936321301769949,0.961692357254335,0.9748918981538832,0.8415877327638888,1.15434486699117,1.1515866283216314,1.071586831692859,1.1068481687569163,1.1641751433254184,0.9856803566929646,1.1961110187865833,0.9434158849584535,1.1271439410102375,1.2928587662381679,0.9726196526979551,0.9850848615322723,0.7929199438083936,0.9943553399680944,0.9797171496399311,1.0518616577538942,0.9456141625465313,0.9383140290497114,1.2028082439855008,1.072679736229483,1.1792263329894679,1.1714415873675104,1.0318449784829502,1.1772131572320814,0.8611549519062938,0.962748106534018,1.17550693027888,1.1565554303896102,1.2741284360652276,1.105565452522327,1.0401473923643327,1.0781641059001679,0.9798389019352667,0.9902151938567341,1.1952733833580236,1.2459158061034987,1.176356915363993,1.0978070691584534,0.8109896801674986,1.0348785531194724,0.9673459955566759,1.1571022808148297,0.936511671440955,1.1075280338767732,0.9421019066347356,1.0457386524640655,0.824433616060496,1.187049107739322,1.1227022867387557,0.8586878632427086,0.8185464352225791,1.0186152385699123,1.1909178569144303,1.0072265419955864,1.3991927564430862,1.1815903077631458,1.033175028769962,1.1080016396935684,1.1330460087514547,1.0350582223617206,0.8165318201165743,1.2227565554932607,0.9951794191102089,0.9140853353731285
S03_left_hand,1.0387861606913478,1.0915384312424754,0.9949296366860962,0.923025494878971,0.9385492134862881,0.9884232235331176,1.171073100147825,0.8815369005893017,1.179617507269878,1.152350219169058,1.049376276504556,0.9174761089514378,1.0785272532094403,1.052824891220868,0.9789155621722694,0.8706273024531375,1.0152378511926365,0.9726044305945191,0.8052122988690207,0.7428827469518642,0.8959705040107109,0.8188006361803564,0.9350192932012459,0.8981013393738867,1.1137239957754916,1.1185093210818748,0.8248761696779623,0.7872961093972813,1.0836070780796219,0.9667077807818923,1.0316553908227943,1.1205938424128443,0.917057491535961,0.7911468642464741,0.9603404389793109,0.914952340969008,0.8889849890861351,1.088299541480831,1.040141317779238,0.9697232685774511,0.932368902868909,1.0061085787272428,0.9999104618689987,0.8620864982237153,1.1444744072553397,1.1005061222234753,0.8804021537276073,0.8959037169999028,0.8804557540812256,0.9229457017998529,1.0932231251197735,0.861533415139468,1.0458099239068657,1.1132079026842598,1.1141659258488388,1.0543616469874872,0.6872947401587783,1.023437867106213,0.8585012145039737,0.9892664972592035,0.9582597772317503,0.901790867610798,1.1985124901971247,1.1332768935449398,1.0743861994952202,1.0693480529112624,1.001596425584896,1.1712850270048156,0.8198545011849951,0.8045153986424419,0.9925802507362738,1.0639047577523304,1.1422005079599353,0.9641854449906304,0.880763087343738,1.003714548315669,1.0529980672335348,1.0052199271119817,1.1562868557650892,1.183922057851699,1.0592592419713556,1.0755662773714603,0.9566315635706059,0.8939922024153486,1.0602501248199405,1.0722577918652556,0.8744981874607577,0.9090236465021673,1.0488761741746073,0.9164164795177232,0.7314973545698675,0.8005006819425406,0.9682701527797418,0.9265483364817773,0.8685365049809124,0.7519417906676861,0.9574863480487223,0.752963078376273,1.1340380801697154,1.2101874905451662,1.0280132340399197,0.977314194861942,1.062710285728778,1.0116959358076325,0.8383448172960711,1.0710379749828653,0.985017548344689,0.8605184094889285
S03_right_hand,0.8468753983813657,0.8285209643419547,0.9789144179698626,0.936845956313072,0.8397276321919986,0.9956365771650719,1.2085458839053258,1.0281075568008606,1.2495467424879894,1.1994372969169473,1.2127430573751807,1.0378936566693195,1.1223972094142411,1.0438234757811662,0.9543155434425323,1.0906819541837316,0.9446191033141367,1.0035837335568547,1.1145838001475767,1.0550011503987913,0.7527516583761676,0.8382719779854028,0.8346885904232393,1.090402744735482,1.0812497058208284,1.5248273298410906,1.0110366773082413,1.052028852311972,0.985424598583895,0.9459968457422561,0.9047867552329714,0.7913503845521548,1.0856035172176357,0.9951058072595276,0.955627112912027,0.9776733890948476,0.8661724302433527,1.21083306357384,0.9588811122439211,1.1535827688940608,1.1059068049970031,1.236787603979934,1.2753728634694368,0.9047507571289377,1.022107368346895,1.4535745473315136,0.9787664668383854,1.059144326095008,1.0127228115716775,0.9992098455053502,1.0279057322269516,0.9414299658460694,1.2080533149705008,1.2693441326628683,0.9880073024017926,1.089627705825325,0.9189826898854412,1.0703959768459341,1.0459970900436573,1.0735534933639372,0.8601615746824129,1.0518793211373105,1.015502801235464,1.1433591408119401,0.946385560211692,1.1568836172869488,0.8751287076682998,1.1783068261355707,0.9266609644921608,1.0400271030689214,1.0843994222013649,0.9123441512889677,1.4487172328469358,1.2200926009138433,1.156633516581655,1.2048824572785852,1.1271659695103318,0.8617361746431988,1.174963293357837,1.1431743946618393,1.1114852942633595,1.0241489298786772,0.9196703159770305,0.889816155981779,1.0346809820326175,1.1049536217852771,0.8527897088109133,1.0408148501555357,1.0200992309498962,1.0272238023762146,0.853812318131101,1.0866853157385346,1.193886449991316,0.8077679008647201,0.9295553922010891,0.9063468259560695,1.0477855330856247,0.8888209972112939,1.0804947774758298,1.1951555928060515,1.0339920109535723,1.1358195531856257,1.1068045448540844,0.9297991597050292,1.1090628826105866,1.071921159971987,1.0458975711238987,0.832038816951991
S04_left_hand,0.8336040211624989,0.9716587528599034,0.9234639098274577,0.9075274816796679,0.9778455419947005,0.9612834373072621,1.126601281853756,1.0685129707387129,1.2319226263245644,1.0473650165437576,0.9619284895723841,0.962892328757468,0.9000959995487667,0.8120183333906449,0.7556905725688983,0.7370475494139184,0.9602968406118629,0.8306849179747406,0.7885703061871865,0.9133500186300509,0.8398845913312736,0.8730250931346335,0.929404385009839,0.8256104268124387,0.8753691346302719,0.9089373817738449,0.8044721914638139,1.090664145644751,0.8369437325468623,0.8365776657791384,0.9877044962928581,1.0806023570091579,0.9239673368109131,0.8230668559506956,0.9774086093747298,0.7615469063465011,0.9931184380190028,0.9483521812850011,1.037742202814949,0.9151740365009224,0.9326287225216324,0.8439367703202054,0.9745880908178806,0.8494553393421782,1.0682249097697594,1.1854454580700056,1.0358178577348547,0.9931767933823097,0.8386306364698409,0.8197294135537667,0.7448100568870961,0.7355544594176426,1.133456753605472,1.068478569119308,0.8888229733821686,0.9767777240409222,0.8143178996155627,0.9701535013873839,0.9792719480200128,0.975680682708773,0.9354575695047183,0.9264171205970221,1.0619083001029148,1.2802339173269526,0.9150899937616623,0.9692201708481729,0.8633945586004927,1.0043984829231638,0.7061953578467478,0.84248177760287,0.9741948096591798,0.8895083409740764,1.1531929262945937,0.9419799241325206,1.0623634608852859,0.9757984595024894,0.7666323363556313,0.7761738410892973,1.2163548723217572,1.1086767451268291,1.0427663725509058,1.0320702822367334,0.9001746768056729,0.8932256735901134,0.9837395873355632,1.0659424521014618,0.8882323706229173,0.9787329126819153,0.872205428799105,1.0001173153416625,0.8236407255330559,0.9974206860663407,0.9697197797144432,0.7371424888171438,0.720880487105778,0.860934122211384,1.1016553502605482,0.9910179163551559,1.111477000644769,1.0023641445963356,0.9826148185253979,1.032768333519087,0.945815264000865,1.2387365962196883,1.0399134136838708,1.0568293388149317,0.9488945293387818,0.8400973701815249
S04_right_hand,1.0541457828524714,0.7522414643465898,0.9475122696179124,0.9013734896096905,1.0627394829264125,0.9008796182321157,1.0102354188470404,0.9500971369517558,1.1441246788280979,1.2565273351365176,1.0882113480191389,0.9823871013727024,0.8882083307378315,1.0965391582289015,0.9381641338370073,1.0342940373304659,1.1075151587641672,0.9116401916658361,1.0042285017272168,0.7595492029918631,0.7781128996906648,0.9034225235707863,1.013673040143595,0.9566617639727935,0.9632105517190699,1.0489154995733543,0.7866455830650908,0.8010442908127955,0.8515187054323613,0.8605277629733348,0.99896254124963,1.0672325625587094,0.8708793802072795,0.8998274844042613,0.9496727513305911,0.9990326788339388,1.0979234343916426,1.0794126885205821,1.0787950688036776,0.8462494534848193,0.9599458011635895,1.1075952749880855,1.1200060218531358,0.837655208821708,1.1089972133962307,1.089589410665188,1.0520521477666296,1.0213792893469489,0.9274581660069539,0.8887795115179002,0.8859543678513896,1.1743261546824866,1.150978398306481,1.0543120525077927,0.9604824026857306,1.059202616692264,0.7780560241729717,0.9589399507231244,1.0527264417472177,0.9184802857916297,0.9164280029617118,0.9170431400503742,1.1241402285175506,1.00357014272248,1.0296514590019759,0.9325418676851687,0.9429361983323516,1.0850606443390305,0.9074147436264967,0.8430724730570399,1.0098683510565534,1.1684041711398865,1.0734190815362021,0.9790959484341366,0.8636950291383404,1.1747845375909691,0.9221217260151848,0.9609436847339236,1.003259378308177,1.1745885000850516,1.1405361106798582,0.9940803657152786,0.9161182781944036,1.0290060567995853,1.1078440141349137,1.1202606837934992,0.7693685721620711,0.8874670869958641,1.1491958203526305,1.0190202834988722,0.8415505084266202,0.8395215921034387,0.8282315164334622,1.0729474783725215,0.9110960170618989,1.0766240519550583,0.9770000546398049,0.8486186662430888,1.2383661599858842,1.069718668818481,0.9400772672775551,1.1069718599086678,0.8943237191665644,1.0251428397085656,0.8370986923016878,0.987748285864227,1.0107764017422776,0.8871743945847425
S05_left_hand,1.2007707593307437,1.086172944314745,1.1199492349558706,1.1697961202832365,1.0566140723722857,0.9912352070165208,1.33037727414795,1.1697188115177903,1.268915702405495,1.4323843408099002,1.1278589612424337,1.1505857276872706,1.1413702160123602,1.4012162535285848,0.9027488535457773,1.0805261778306607,1.1425068443203663,1.1963790937424874,1.035354602370884,0.9694985050900875,0.9564883106192273,1.164286909091723,1.2901518943192074,1.119412670452788,1.2284389608504198,1.192101673290943,1.0553904390511348,1.1910011176365292,1.161255982329724,1.125010061018528,1.1343005228131027,1.1918475939241564,1.1000224388945887,0.9920248181792062,1.1350550339192091,1.1507734760026214,1.3962193241765835,1.3733030857355737,1.227142233413125,1.121236981378774,1.179371079481402,1.0205988645219517,1.093309368644816,1.0020712327049974,1.25262720744017,1.177499185379051,1.0713431404348874,1.3841735265732766,0.9738527706624214,1.0400384476464282,1.0536448020343074,1.252838233045995,1.505622162447473,1.2705521355333915,1.20989489333708,1.0755835441339392,0.8834445505937449,1.206921070645796,1.2568273819539058,1.0090485973389716,1.0626340722208472,1.2842200730746183,1.335791308458485,1.2040799550432448,1.206559818621527,1.1961009825391413,1.1573456010725778,1.3248714506173762,1.051145803279992,1.1138425518915958,1.3108554730639685,1.321037350170873,1.3297368638791682,1.0576857501002177,1.253766297915162,1.3152274473897707,1.101982730097447,1.0113765067594565,1.3540643285571208,1.387358964158043,1.3083854328624442,1.272384787702367,0.9170671866290725,1.2046096710443193,1.133747620992763,1.3318269114746588,1.0943632495498878,1.1822078390960185,1.165367440507381,1.2887487669727398,1.0073606349795168,1.0776615342456666,1.0108864745963053,1.176353977925692,0.9929350718377299,1.0266818979131647,1.1681405341286333,1.0610603818266156,1.3585735030309225,1.3293332210455882,1.1345964836456544,1.149545340080433,1.0955233211221327,1.1463225823975567,0.9316467373906869,1.199185367065445,1.2715189984245308,1.0678935882706742
S05_right_hand,1.3383396982032234,1.1955085526545206,1.2821215773521717,1.1848957098761903,1.260648899787864,1.2245688273688295,1.4306716624648672,1.3058218419922378,1.2176027396888103,1.446604426792994,1.180583427191526,1.3157739717366774,1.3164884714875735,1.4095654026856987,1.0656068132308019,1.135122004054698,1.5998233447579835,1.2807761296880829,1.2430006559803533,1.1205153473490377,1.1096098241413108,1.2127751131439726,1.1976151656958198,1.2661155055149949,1.2799503481541248,1.4664581690073022,1.0300733896051513,1.1109973720379245,1.2750094493889517,1.2434746931750669,1.2246190666186263,1.3915721864704635,1.1564683609203181,1.3205372465926728,1.1664232093338658,1.362657279229484,1.317120736445699,1.4250054383396416,1.3258202246333162,1.3389600480836954,1.3634199415727457,1.2744317836449603,1.201289779619159,1.1394891644221508,1.4257342974475522,1.3400778499836226,1.170885906172115,1.457498036867404,1.2329441327526123,1.0886978890255798,1.26294362478793,1.2471661096112194,1.5011633198632,1.483870327380244,1.3025618268276389,1.323284144495847,1.286099866368585,1.157297745754947,1.2470126913672643,1.0990062830209304,1.2139734570964147,1.349639076098913,1.299417656909011,1.4554304737852786,1.280893040785612,1.0598879331038966,1.2967720982119737,1.2902141550296555,1.1296604403552977,1.1234979183348905,1.4349977759674202,1.318916043817199,1.4476582819651345,1.3487502702378162,1.143635663063154,1.4847375382892523,1.0488467838056597,1.1627876409963478,1.318929455692795,1.176739234372995,1.5388584778035983,1.3137170595077086,1.1686238035582823,1.199323911714449,1.1714813985932153,1.1412568423765133,1.2582647486812162,1.2382210031614944,1.3214481320384248,1.3142984271182225,1.16635073566238,1.0488841047508424,0.9867282815697804,1.09270482837158,1.1460258707203141,1.1088170247180178,1.3384834774110954,1.155981661963731,1.2097037209616635,1.5048803040352654,1.3171558498635674,1.282710828883683,1.3007036041336522,1.182978529432292,1.2392459561825282,1.5009541922107368,1.3068469251054493,1.0139768799229438
