subject,session,class,state,half,trial_count,normalized_karcher_residual,warning_count
3,0,left_hand,3,full,50,4.821832303553911e-11,0
3,0,left_hand,3,A,25,4.9839742095783475e-11,0
3,0,left_hand,3,B,25,5.066142087897293e-11,0
3,0,left_hand,4,full,50,5.0496360485044196e-11,0
3,0,left_hand,4,A,25,4.597476398676871e-11,0
3,0,left_hand,4,B,25,5.4751836434616325e-11,0
3,0,left_hand,5,full,50,5.101306881277149e-11,0
3,0,left_hand,5,A,25,5.165657872360785e-11,0
3,0,left_hand,5,B,25,5.1436939591971265e-11,0
3,0,right_hand,1,full,50,5.0932947658613735e-11,0
3,0,right_hand,1,A,25,5.053577466943881e-11,0
3,0,right_hand,1,B,25,5.212997020862544e-11,0
3,0,right_hand,2,full,50,5.2000313035180794e-11,0
3,0,right_hand,2,A,25,5.0878068217534516e-11,0
3,0,right_hand,2,B,25,5.610638213042368e-11,0
3,0,right_hand,3,full,50,5.7534086595494135e-11,0
3,0,right_hand,3,A,25,6.000038666007648e-11,0
3,0,right_hand,3,B,25,5.802400696102445e-11,0
3,0,right_hand,4,full,50,4.977154212883485e-11,0
3,0,right_hand,4,A,25,5.123689047919042e-11,0
3,0,right_hand,4,B,25,5.265767212749885e-11,0
3,0,right_hand,5,full,50,4.8181608805654206e-11,0
3,0,right_hand,5,A,25,4.829757309388442e-11,0
3,0,right_hand,5,B,25,5.04328268053739e-11,0
4,0,left_hand,1,full,50,7.199752574040913e-11,0
4,0,left_hand,1,A,25,4.3378239597949757e-11,0
4,0,left_hand,1,B,25,5.264901633915789e-11,0
4,0,left_hand,2,full,50,3.8456806843829335e-11,0
4,0,left_hand,2,A,25,5.712482071927027e-11,0
4,0,left_hand,2,B,25,5.400817598893873e-11,0
4,0,left_hand,3,full,50,4.448608165873028e-11,0
4,0,left_hand,3,A,25,4.553472776120509e-11,0
4,0,left_hand,3,B,25,4.9921926101792685e-11,0
4,0,left_hand,4,full,50,4.4369023831337753e-11,0
4,0,left_hand,4,A,25,4.9653091084660803e-11,0
4,0,left_hand,4,B,25,4.583157279103176e-11,0
4,0,left_hand,5,full,50,4.5781904530913413e-11,0
4,0,left_hand,5,A,25,4.65486083967299e-11,0
4,0,left_hand,5,B,25,4.957414061047727e-11,0
4,0,right_hand,1,full,50,8.851218281460022e-11,0
4,0,right_hand,1,A,25,5.281497480645315e-11,0
4,0,right_hand,1,B,25,4.865241735376304e-11,0
4,0,right_hand,2,full,50,4.912477889444813e-11,0
4,0,right_hand,2,A,25,4.602857004073845e-11,0
