component,T_subject,p_subjectbreak,T_class,p_classbreak,T_J,p_J_subjectbreak,p_J_classbreak
full,0.09596224786625626,0.001,-0.025053445191848003,0.7525,-0.022647104365090164,0.728,0.722
len,0.0005892988688817967,0.4595,-0.00455822134101365,0.803,-0.006820372027264365,0.874,0.8825
ang,0.09537294899737442,0.001,-0.020495223850834358,0.712,-0.015826732337825854,0.661,0.663
ori,0.014255146794914735,0.063,0.0030310230469766685,0.417,0.004187115102346868,0.377,0.375
sensor,0.11021739466117093,0.001,-0.022022422144871334,0.71,-0.018459989262743396,0.6745,0.6705
