component,subject,S_s,C_s,J_s
full,1,-0.15472120059176964,-0.19469953561614373,-0.17103651990355728
full,2,0.31748514073534695,0.07773889542373064,0.020734546498130946
full,3,-0.09438328577419924,-0.017313326438460064,0.01738266415970391
full,4,-0.015903980784925442,-0.0389979734629588,-0.06870377868500999
full,5,0.30712070460849816,0.0897076456913728,0.10878843672576932
full,6,0.0036949099129033325,0.007496587637743524,0.012217688371322089
full,7,0.03939032638939166,-0.013446600682152421,-0.027315739233378433
full,8,0.11836194461939059,-0.42312354086287945,-0.3826477673275891
full,9,0.2347017575787872,0.03505712527195931,0.0806182487217521
full,10,0.5333735773673017,0.0546487215668916,0.07345014868061261
full,11,0.22042706342717105,0.01871306798009692,0.02801456674127345
full,12,0.14679553272778845,-0.07489440793122948,-0.05682791393314007
full,13,-0.34590013760499166,-0.05775782482604974,-0.16419007088167664
full,14,0.15353639627921734,-0.013050530349935308,-0.07350657814868417
full,15,0.22040770953565508,-0.07940584555095653,-0.022522646073407815
full,16,0.06547666522385343,-0.4813552024415647,-0.5502466892979183
full,17,-0.11662901597372788,0.13246214584932425,0.05142050764701833
full,18,0.11796416122872733,0.1362972766167878,0.17592963118294452
full,19,0.010312342016008169,0.6666098316335495,0.5740002374984137
full,20,-0.2693039389574405,-0.5754233164609539,-0.4851637976764206
full,21,-0.06611339277152367,-0.17793149260092855,-0.14325460821429198
full,22,0.4897301279878403,0.4256996571560195,0.45893977298892136
full,23,0.27131785245259243,0.31029563498425305,0.3334484497253202
full,24,0.18515180623967423,0.029073743500555443,0.030967067272757387
full,25,0.03609134311022422,-0.28517023355389765,-0.22359541230349816
full,26,-0.25952817420470464,-0.12187981656255376,-0.11373832256821148
full,27,0.23737623518412582,-0.026192721493065035,-0.05305575229557813
full,28,0.25800025122015624,-0.0038399780797280236,-0.02254266816460737
full,29,0.5203667505776665,0.3554979833453762,0.1862478271297796
full,30,0.39192955608012486,0.32297991545479904,0.21812525054600157
full,31,0.04792711854689791,0.05068803968789043,0.02373985268578882
full,32,0.24032571239255462,-0.0671908811857777,-0.027012878537680807
full,33,-0.31159758656454184,-0.5079871541532066,-0.358138881227939
full,34,0.4755078138980898,-0.3047347503051112,-0.17558127191119655
full,35,0.0866154668252106,-0.019589859662794862,-0.014376024457114445
full,36,0.23702765528753672,-0.0642232031967793,-0.06878998623721844
full,37,0.062094434743591,-0.09974788144867042,0.027275415138380277
full,38,-0.059535627138045666,-0.24152607075635074,-0.252430709768948
full,39,-0.10777428891949303,-0.06303379426132355,-0.005434019528064882
full,40,0.40357781232170964,0.4563132465801034,0.40418110306060745
full,41,0.19829204101335096,-0.0775231651913697,-0.0909609368889775
full,42,0.079255176184931,0.07424443279205017,0.0364329329217018
full,43,0.40038325000088304,0.29333748653745295,0.23265669158575808
full,44,-0.4024136687075376,-0.20390992833481492,-0.20111460229467715
full,45,0.28919349293412194,0.14050481152124672,0.10101689338277592
full,46,0.2553957604397835,0.0932791089413284,0.11487206652998427
full,47,-0.7618850860743,-0.1250962260636186,-0.09491736311276444
full,48,0.14287394176774248,-0.11155541986991152,-0.05947451707701035
full,49,0.012068183672406696,-0.0459792761516542,-0.061298529911520905
full,50,0.23930890670325405,0.08389684131069342,0.11419328419190533
full,51,-0.14336128752594524,-0.6794113342607428,-0.6674771034277536
full,52,0.17759476513431577,0.10119607976816758,0.13557527182380585
full,53,-0.18320119878932578,-0.3987041277028634,-0.40420640447062717
full,54,0.24775956879148509,0.28607109984726214,0.25638930263316495
len,1,-0.06775155127246106,-0.007249888280297295,-0.00928293015309381
len,2,0.010772311056324098,-0.0068244728520963326,-0.01183093972514693
len,3,0.03456536572236424,0.0051452298502434705,-0.0026252193483165473
len,4,-0.013055272861436686,-0.016157676237264086,-0.021601360747356232
len,5,0.04028894192552333,0.011701208437210823,-0.0029139194671341413
len,6,0.011328496622134011,-0.0051046608936679075,-0.01113028689715604
len,7,-0.0535259035827856,-0.02490712019069575,-0.036098308904630734
len,8,-0.09294980363053537,0.020791991943995225,0.022325197271038474
len,9,0.047480963213085106,0.005074821201381901,0.009616848718572484
len,10,0.07303552748744305,0.01730245551880994,0.0025958396736351225
len,11,0.048301691345749125,0.006805421696655564,0.01129197949037965
len,12,0.008855431332364501,-0.023517683691535392,-0.017542514283615078
len,13,-0.3172276153269143,-0.14472680301569987,-0.1312713235920268
len,14,0.026794240718987252,-0.00323193251186708,0.005608239308245111
len,15,-0.017670061939869273,-0.0014707841107366084,-0.028704957212925084
len,16,-0.002487227464478551,-0.07996970607148618,-0.07008272440590128
len,17,-0.04869418093709907,0.0054716423632518996,0.0034157401900711017
len,18,0.03710788755135382,0.01301991464779758,0.014954285810986168
len,19,-0.010257879736101691,0.055122024323476786,0.05058050100464888
len,20,0.02659056167492284,0.0530343948380797,0.05047894664141604
len,21,0.02666504810692455,0.01537127176278149,0.014953276161644474
len,22,0.004585660866882963,-0.0064983526837424956,-0.018859707133808478
len,23,0.041878435236495835,0.004710088766184124,-0.019628639488599345
len,24,0.045407862930136794,0.0035917434279523148,0.005485642674807015
len,25,-0.0012348943042018098,0.0017715025908546615,0.0029066360670954618
len,26,-0.055305004996923285,-0.04726493473183155,-0.05818464806166611
len,27,0.005182822059141643,-0.004935515786159927,-0.005855276202823646
len,28,0.058674264602423136,-0.002445615589698729,-0.0012266122231496812
len,29,-0.04645028300960356,-0.06622003526892808,-0.034957566806525134
len,30,0.01872117360107132,-0.00431108592179159,0.01236988488993726
len,31,0.05334569358942215,0.010199908999142828,0.002510025805577288
len,32,0.0373541147462027,-0.0025431995676360626,0.0003388933389012576
len,33,0.00821253559241724,-0.01218486021097527,-0.008533885824182623
len,34,0.01591362721151745,-0.017222515024488863,-0.008984398390812748
len,35,0.052624124690786145,-0.002321257599926423,-0.0014597712984025096
len,36,0.033578347083889355,-0.0018392010884602517,-0.0018777183059821081
len,37,-0.017011760410819053,0.00776438760519306,0.003063788784395227
len,38,-0.015525091808288798,-0.04372872578128504,-0.0509290444918072
len,39,0.06005384089367814,0.041715181999867436,0.03501061727201271
len,40,0.07289524674223194,0.09806661499117443,0.07439756366181141
len,41,0.04122544796174246,-0.011115748923186168,-0.0056408029474731905
len,42,0.03317644203965642,0.0033502090228802236,-0.0032882451918465616
len,43,-0.005009475963489787,-0.029971151797497403,-0.027675485090137113
len,44,-0.0790530081280072,-0.08631514561288331,-0.08552025034437286
len,45,0.04485697845921998,0.01239986001123883,0.009432118582295656
len,46,-0.006315569478261618,-0.021290451402109,-0.03288242653168556
len,47,-0.1367372715007674,-0.03555065728983453,-0.05433101641591204
len,48,0.07606290653671924,-0.001633645103202165,0.0028600672479953335
len,49,-0.03504156464639627,0.01776207905466458,0.029606602262078376
len,50,0.04326674029298224,0.0005033070764637513,0.00012594097536298976
len,51,0.03596944919478404,0.03838781695924251,0.02422846071994813
len,52,0.005600346734854097,-0.022519372725245675,-0.018908126143543987
len,53,0.009354829953486188,0.08147528166616708,0.07563137822781299
len,54,-0.13660179785886006,-0.04361011120521817,-0.0502604586229108
ang,1,-0.08696964931930834,-0.18744964733584646,-0.16175358975046333
ang,2,0.30671282967902297,0.084563368275827,0.03256548622327787
ang,3,-0.12894865149656337,-0.02245855628870358,0.020007883508020408
ang,4,-0.0028487079234889856,-0.022840297225694806,-0.04710241793765396
ang,5,0.2668317626829746,0.07800643725416201,0.11170235619290342
ang,6,-0.007633586709230866,0.012601248531411424,0.023347975268477872
ang,7,0.09291622997217736,0.011460519508543265,0.008782569671252405
ang,8,0.21131174824992593,-0.4439155328068746,-0.4049729645986277
ang,9,0.1872207943657019,0.029982304070577448,0.07100140000317962
ang,10,0.4603380498798589,0.03734626604808161,0.07085430900697731
ang,11,0.17212537208142203,0.011907646283441375,0.016722587250893983
ang,12,0.137940101395424,-0.05137672423969408,-0.039285399649524655
ang,13,-0.028672522278077428,0.08696897818965016,-0.03291874728964983
ang,14,0.12674215556022994,-0.00981859783806821,-0.07911481745692944
ang,15,0.23807777147552442,-0.07793506144021994,0.0061823111395175046
ang,16,0.06796389268833192,-0.40138549637007853,-0.4801639648920171
ang,17,-0.06793483503662878,0.12699050348607238,0.04800476745694726
ang,18,0.08085627367737336,0.12327736196899022,0.16097534537195812
ang,19,0.020570221752109652,0.6114878073100726,0.5234197364937642
ang,20,-0.2958945006323634,-0.6284577112990337,-0.5356427443178366
ang,21,-0.09277844087844822,-0.19330276436371013,-0.15820788437593647
ang,22,0.48514446712095716,0.432198009839762,0.4777994801227299
ang,23,0.2294394172160965,0.3055855462180689,0.35307708921391934
ang,24,0.13974394330953754,0.025482000072603095,0.025481424597950553
ang,25,0.03732623741442592,-0.2869417361447523,-0.22650204837059412
ang,26,-0.20422316920778133,-0.07461488183072207,-0.055553674506545137
ang,27,0.2321934131249843,-0.02125720570690509,-0.047200476092754295
ang,28,0.19932598661773304,-0.0013943624900293328,-0.02131605594145808
ang,29,0.5668170335872702,0.42171801861430425,0.22120539393630484
ang,30,0.3732083824790534,0.3272910013765907,0.20575536565606412
ang,31,-0.005418575042524271,0.04048813068874768,0.02122982688021141
ang,32,0.20297159764635198,-0.06464768161814163,-0.027351771876581887
ang,33,-0.31981012215695925,-0.4958022939422313,-0.3496049954037569
ang,34,0.45959418668657226,-0.2875122352806223,-0.16659687352038421
ang,35,0.033991342134424396,-0.017268602062868454,-0.012916253158712088
ang,36,0.20344930820364748,-0.062384002108319014,-0.06691226793123628
ang,37,0.0791061951544102,-0.10751226905386352,0.02421162635398516
ang,38,-0.044010535329756906,-0.19779734497506568,-0.2015016652771408
ang,39,-0.16782812981317125,-0.104748976261191,-0.040444636800077705
ang,40,0.33068256557947784,0.358246631588929,0.3297835393987964
ang,41,0.15706659305160856,-0.06640741626818356,-0.08532013394150423
ang,42,0.046078734145274525,0.07089422376916993,0.03972117811354825
ang,43,0.4053927259643728,0.3233086383349503,0.2603321766758947
ang,44,-0.3233606605795304,-0.11759478272193158,-0.11559435195030421
ang,45,0.24433651447490207,0.1281049515100079,0.09158477480048077
ang,46,0.26171132991804524,0.1145695603434374,0.14775449306167
ang,47,-0.6251478145735325,-0.08954556877378406,-0.04058634669685279
ang,48,0.06681103523102322,-0.10992177476670933,-0.062334584325005715
ang,49,0.04710974831880266,-0.0637413552063188,-0.0909051321735993
ang,50,0.19604216641027178,0.08339353423422974,0.1140673432165425
ang,51,-0.17933073672072947,-0.7177991512199853,-0.6917055641477022
ang,52,0.1719944183994616,0.1237154524934132,0.1544833979673499
ang,53,-0.19255602874281197,-0.4801794093690305,-0.47983778269844013
ang,54,0.384361366650345,0.3296812110524804,0.30664976125607546
ori,1,-0.03695750970435796,-0.05939774113752727,-0.06506761304027042
ori,2,0.036229197240770006,-0.0696012459562167,-0.07995136877169196
ori,3,0.05409873145785027,-0.05301746746312186,-0.03227682746326138
ori,4,-0.07317993815059637,0.0010249853901206918,0.003519917299428965
ori,5,-0.1524093631084804,-0.03276652434988925,-0.04330095788140176
ori,6,0.14464638576446598,0.09787544767371636,0.09209755973550249
ori,7,-0.10826576109590813,-0.021127260291228245,-0.03685486173884245
ori,8,0.03476716729442503,-0.15614719295745955,-0.14769842340054512
ori,9,-0.043562480099803014,-0.11711408990812111,-0.10009215357318191
ori,10,0.10992767208326992,0.055191449614121035,0.042254877947602354
ori,11,0.09639664496173928,-0.051483424797096944,-0.05060581888959925
ori,12,-0.03136702438000566,-0.018916103170465215,-0.02129949837709494
ori,13,-0.03340363705360072,-0.043661186300701815,-0.057829208976611035
ori,14,0.10379490396458524,-0.02535174267079865,-0.015442662048045175
ori,15,0.15500588509700097,0.1138185074019461,0.11543543754547081
ori,16,0.016532364987620896,-0.05750269952031323,-0.06145592687059742
ori,17,0.11433350348975257,0.04586731217269102,0.04538885124469866
ori,18,-0.03603655374876713,-0.06622018908323102,-0.04382086005821351
ori,19,-0.043779006697805656,0.03961139141852088,0.05341096521470334
ori,20,0.07990595957194235,0.1076695749282297,0.104965493910949
ori,21,0.041079907970108576,0.08503774065682529,0.08687856866759291
ori,22,0.06400362291782258,-0.08578133119706866,-0.09097321226200028
ori,23,-0.15848337426532866,0.08841519239918061,0.07516198244175931
ori,24,0.059125786140265646,0.04977097603259373,0.0682477939006717
ori,25,0.12427991260409477,0.027060203426824414,0.027634844231825162
ori,26,-0.1161607095575859,-0.10347294863927059,-0.10385147874844969
ori,27,-0.07118054823228603,0.05849231945756883,0.057129908982943234
ori,28,0.08285830315676984,0.07352576693181961,0.05922447671577513
ori,29,0.16784606365350302,0.16098983897904606,0.19791797131219657
ori,30,-0.003688959324697594,0.05568793920282955,0.04204792608672847
ori,31,0.061148611987973334,-0.00693858963400612,0.00511448281571919
ori,32,0.033664282630816666,0.23295645987264646,0.24840853149340325
ori,33,0.12870252440145724,0.19922639585126034,0.2053488240305688
ori,34,-0.04724084904161119,-0.00905906782089505,-0.030165104767278073
ori,35,0.26346112874384675,0.0029975425363394925,0.0029500030207877392
ori,36,-0.06245307236247144,0.08596666937848829,0.09616651517303554
ori,37,-0.1605601431702709,-0.14108572298854882,-0.1441797549160232
ori,38,-0.1487445355359468,-0.10145801795038256,-0.10531533012789607
ori,39,0.05879479409599686,-0.08905807458971238,-0.0850030699848141
ori,40,-0.08571236929787607,-0.0415030033695446,-0.03445790759572209
ori,41,-0.1275279535440892,-0.03764760727431027,-0.03015572402774036
ori,42,0.016363187011779357,-0.025159050955534612,-0.007160995464593922
ori,43,0.032302130268151874,-0.11891299676385625,-0.10869907121563871
ori,44,0.026363410147369204,-0.08317486341629032,-0.07582315247246141
ori,45,0.051294466539990424,0.1798649505225982,0.17347171533130723
ori,46,0.21425256802580583,0.10128975888825775,0.08809535263038759
ori,47,0.10482844263698865,0.15855800973567447,0.14557742761283687
ori,48,0.11507331351865419,0.013835963343312219,0.009622072431815232
ori,49,-0.006004235943856795,-0.15332429260691494,-0.13965074070698213
ori,50,-0.1324047782862201,0.012169248921678366,0.04162352451455853
ori,51,-0.09754651691144,-0.18816338526000503,-0.1948514143821159
ori,52,-0.14517278666562694,-0.0329704892022481,-0.02942682934251628
ori,53,-0.004689334864457773,0.01818799923146741,-0.003463577674092888
ori,54,0.1052284956036687,0.08859990984374227,0.07728273601214414
sensor,1,-0.19167871029612793,-0.254097276753671,-0.23610413294382826
sensor,2,0.35371433797611695,0.008137649467513941,-0.0592168222735614
sensor,3,-0.04028455431634881,-0.07033079390158192,-0.014894163303557306
sensor,4,-0.08908391893552214,-0.03797298807283811,-0.06518386138558108
sensor,5,0.1547113415000173,0.056941121341483436,0.0654874788443669
sensor,6,0.14834129567736898,0.10537203531145989,0.10431524810682413
