phase,session,geometry,split,row_type,subject,class_row,class_column,value
discovery,0train,AIRM,F,subject,6,feet,right_hand,0.8164528839871632
discovery,0train,AIRM,F,subject,6,feet,feet,0.0
discovery,0train,AIRM,F,subject,6,feet,tongue,0.5466194426449025
discovery,0train,AIRM,F,subject,6,tongue,left_hand,0.8421669681108579
discovery,0train,AIRM,F,subject,6,tongue,right_hand,0.7300190288029677
discovery,0train,AIRM,F,subject,6,tongue,feet,0.5466194426449025
discovery,0train,AIRM,F,subject,6,tongue,tongue,0.0
discovery,0train,AIRM,F,subject,7,left_hand,left_hand,0.0
discovery,0train,AIRM,F,subject,7,left_hand,right_hand,0.5453966252835042
discovery,0train,AIRM,F,subject,7,left_hand,feet,1.2117472544007009
discovery,0train,AIRM,F,subject,7,left_hand,tongue,1.7316540567817207
discovery,0train,AIRM,F,subject,7,right_hand,left_hand,0.5453966252835042
discovery,0train,AIRM,F,subject,7,right_hand,right_hand,0.0
discovery,0train,AIRM,F,subject,7,right_hand,feet,1.0080266268424294
discovery,0train,AIRM,F,subject,7,right_hand,tongue,1.427206598544093
discovery,0train,AIRM,F,subject,7,feet,left_hand,1.2117472544007009
discovery,0train,AIRM,F,subject,7,feet,right_hand,1.0080266268424294
discovery,0train,AIRM,F,subject,7,feet,feet,0.0
discovery,0train,AIRM,F,subject,7,feet,tongue,0.959675732434786
discovery,0train,AIRM,F,subject,7,tongue,left_hand,1.7316540567817207
discovery,0train,AIRM,F,subject,7,tongue,right_hand,1.427206598544093
discovery,0train,AIRM,F,subject,7,tongue,feet,0.959675732434786
discovery,0train,AIRM,F,subject,7,tongue,tongue,0.0
discovery,0train,AIRM,F,subject,8,left_hand,left_hand,0.0
discovery,0train,AIRM,F,subject,8,left_hand,right_hand,1.182387769323293
discovery,0train,AIRM,F,subject,8,left_hand,feet,0.7870599310618117
discovery,0train,AIRM,F,subject,8,left_hand,tongue,2.004358383599307
discovery,0train,AIRM,F,subject,8,right_hand,left_hand,1.182387769323293
discovery,0train,AIRM,F,subject,8,right_hand,right_hand,0.0
discovery,0train,AIRM,F,subject,8,right_hand,feet,0.8466261187412987
discovery,0train,AIRM,F,subject,8,right_hand,tongue,1.7670537399680903
discovery,0train,AIRM,F,subject,8,feet,left_hand,0.7870599310618117
discovery,0train,AIRM,F,subject,8,feet,right_hand,0.8466261187412987
discovery,0train,AIRM,F,subject,8,feet,feet,0.0
discovery,0train,AIRM,F,subject,8,feet,tongue,1.7603753594369151
discovery,0train,AIRM,F,subject,8,tongue,left_hand,2.004358383599307
discovery,0train,AIRM,F,subject,8,tongue,right_hand,1.7670537399680903
discovery,0train,AIRM,F,subject,8,tongue,feet,1.7603753594369151
discovery,0train,AIRM,F,subject,8,tongue,tongue,0.0
discovery,0train,AIRM,F,subject,9,left_hand,left_hand,0.0
discovery,0train,AIRM,F,subject,9,left_hand,right_hand,0.9459627577339541
discovery,0train,AIRM,F,subject,9,left_hand,feet,1.210730297724812
discovery,0train,AIRM,F,subject,9,left_hand,tongue,2.332907629369168
discovery,0train,AIRM,F,subject,9,right_hand,left_hand,0.9459627577339541
discovery,0train,AIRM,F,subject,9,right_hand,right_hand,0.0
discovery,0train,AIRM,F,subject,9,right_hand,feet,0.8813565297549928
discovery,0train,AIRM,F,subject,9,right_hand,tongue,1.9087902716557357
discovery,0train,AIRM,F,subject,9,feet,left_hand,1.210730297724812
discovery,0train,AIRM,F,subject,9,feet,right_hand,0.8813565297549928
discovery,0train,AIRM,F,subject,9,feet,feet,0.0
discovery,0train,AIRM,F,subject,9,feet,tongue,1.5449425792856066
discovery,0train,AIRM,F,subject,9,tongue,left_hand,2.332907629369168
discovery,0train,AIRM,F,subject,9,tongue,right_hand,1.9087902716557357
discovery,0train,AIRM,F,subject,9,tongue,feet,1.5449425792856066
discovery,0train,AIRM,F,subject,9,tongue,tongue,0.0
discovery,0train,AIRM,F,subject_median,,left_hand,left_hand,0.0
