protocol_version,protocol_sha256,config_sha256,code_commit,phase,session,status,geometry,object,stage,subject,identity_score,true_rank,normalized_rank,top1_exact,best_permutation_index,best_permutation,second_best_permutation_index,second_best_permutation,margin,null_median,effect,null_percentile
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,P,1,0.9646996154656344,3,0.9130434782608695,False,6,1-0-2-3,22,3-2-0-1,-0.0070619255208368426,0.4782608695652174,0.4347826086956521,0.9167510832489167
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,P,2,0.938390369349544,16,0.34782608695652173,False,1,0-1-3-2,18,3-0-1-2,-0.04181743497688517,0.5217391304347826,-0.17391304347826086,0.3747806252193748
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,P,3,0.9914799054941912,2,0.9565217391304348,False,23,3-2-1-0,0,0-1-2-3,-0.0007500159458959654,0.5217391304347826,0.4347826086956522,0.9582370417629582
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,P,4,0.9854587542791758,3,0.9130434782608695,False,23,3-2-1-0,17,2-3-1-0,-0.008758953114449297,0.5217391304347826,0.3913043478260869,0.9163730836269164
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,P,5,0.9928715601203795,1,1.0,True,0,0-1-2-3,6,1-0-2-3,0.0016245556734371114,0.5217391304347826,0.4782608695652174,1.0
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,P,6,0.9795198721014751,8,0.6956521739130435,False,17,2-3-1-0,1,0-1-3-2,-0.012307110535232146,0.5217391304347826,0.17391304347826086,0.7076282923717077
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,P,7,0.9894908671766619,1,1.0,True,0,0-1-2-3,6,1-0-2-3,0.0064000095862609685,0.4782608695652174,0.5217391304347826,1.0
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,P,8,0.955748227732637,4,0.8695652173913043,False,2,0-2-1-3,12,2-0-1-3,-0.013523868452560261,0.4782608695652174,0.3913043478260869,0.8753401246598753
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,P,9,0.970699885865073,1,1.0,True,0,0-1-2-3,6,1-0-2-3,0.002652819081278235,0.4782608695652174,0.5217391304347826,1.0
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,G,P,1,0.8496181133895795,3,0.9130434782608695,False,6,1-0-2-3,22,3-2-0-1,-0.04504577409504207,0.4782608695652174,0.4347826086956521,0.9167510832489167
