phase,session,geometry,split,row_type,subject,class_row,class_column,value
discovery,0train,AIRM,F,subject,6,right_hand,right_hand,0.16574078425266714
discovery,0train,AIRM,F,subject,6,right_hand,feet,-0.12184495116695347
discovery,0train,AIRM,F,subject,6,right_hand,tongue,-0.09941719056674594
discovery,0train,AIRM,F,subject,6,feet,left_hand,-0.1987524835265937
discovery,0train,AIRM,F,subject,6,feet,right_hand,-0.12184495116695347
discovery,0train,AIRM,F,subject,6,feet,feet,0.2569809543718332
discovery,0train,AIRM,F,subject,6,feet,tongue,0.06330588282179539
discovery,0train,AIRM,F,subject,6,tongue,left_hand,-0.1324290924904548
discovery,0train,AIRM,F,subject,6,tongue,right_hand,-0.09941719056674594
discovery,0train,AIRM,F,subject,6,tongue,feet,0.06330588282179539
discovery,0train,AIRM,F,subject,6,tongue,tongue,0.16826074702355426
discovery,0train,AIRM,F,subject,7,left_hand,left_hand,0.6451136366776066
discovery,0train,AIRM,F,subject,7,left_hand,right_hand,0.31974811521806396
discovery,0train,AIRM,F,subject,7,left_hand,feet,-0.2589334663750587
discovery,0train,AIRM,F,subject,7,left_hand,tongue,-0.7053967510073966
discovery,0train,AIRM,F,subject,7,right_hand,left_hand,0.31974811521806396
discovery,0train,AIRM,F,subject,7,right_hand,right_hand,0.2915878556113731
discovery,0train,AIRM,F,subject,7,right_hand,feet,-0.20968707055155622
discovery,0train,AIRM,F,subject,7,right_hand,tongue,-0.4013108464464217
discovery,0train,AIRM,F,subject,7,feet,left_hand,-0.2589334663750587
discovery,0train,AIRM,F,subject,7,feet,right_hand,-0.20968707055155622
discovery,0train,AIRM,F,subject,7,feet,feet,0.304961916992245
discovery,0train,AIRM,F,subject,7,feet,tongue,0.16359573325416765
discovery,0train,AIRM,F,subject,7,tongue,left_hand,-0.7053967510073966
discovery,0train,AIRM,F,subject,7,tongue,right_hand,-0.4013108464464217
discovery,0train,AIRM,F,subject,7,tongue,feet,0.16359573325416765
discovery,0train,AIRM,F,subject,7,tongue,tongue,0.9423366197014348
discovery,0train,AIRM,F,subject,8,left_hand,left_hand,0.6977055928084459
