window_pair,factor,n_transitions,n_groups,eta_squared
1->2,class,2592,4,0.009823071125078619
1->2,subject,2592,9,0.2806031405640111
2->3,class,2592,4,0.0029021191653702243
2->3,subject,2592,9,0.23299904923832004
3->4,class,2592,4,0.0007540290423917565
3->4,subject,2592,9,0.2627165223316365
4->5,class,2592,4,0.0010899275505963195
4->5,subject,2592,9,0.2806658230791045
