representation,target,fold,n_train_rows,n_test_rows,n_train_trials,n_test_trials,point_accuracy,convergence_warning,trial_mean_probability_accuracy
whole_raw,class,0,2052,540,2052,540,0.5851851851851851,False,
whole_raw,class,1,2052,540,2052,540,0.5537037037037037,False,
whole_raw,class,2,2088,504,2088,504,0.5595238095238095,False,
whole_raw,class,3,2088,504,2088,504,0.5615079365079365,False,
whole_raw,class,4,2088,504,2088,504,0.5694444444444444,False,
whole_raw,subject,0,2052,540,2052,540,0.9981481481481481,False,
whole_raw,subject,1,2052,540,2052,540,1.0,False,
whole_raw,subject,2,2088,504,2088,504,1.0,False,
whole_raw,subject,3,2088,504,2088,504,1.0,False,
whole_raw,subject,4,2088,504,2088,504,1.0,False,
whole_centered,class,0,2052,540,2052,540,0.6296296296296297,False,
whole_centered,class,1,2052,540,2052,540,0.5925925925925926,False,
whole_centered,class,2,2088,504,2088,504,0.6190476190476191,False,
whole_centered,class,3,2088,504,2088,504,0.6031746031746031,False,
whole_centered,class,4,2088,504,2088,504,0.6150793650793651,False,
whole_centered,subject,0,2052,540,2052,540,0.020370370370370372,False,
whole_centered,subject,1,2052,540,2052,540,0.012962962962962963,False,
whole_centered,subject,2,2088,504,2088,504,0.013888888888888888,False,
whole_centered,subject,3,2088,504,2088,504,0.00992063492063492,False,
whole_centered,subject,4,2088,504,2088,504,0.003968253968253968,False,
window5_raw,class,0,10260,2700,2052,540,0.42703703703703705,False,0.587037037037037
window5_raw,class,1,10260,2700,2052,540,0.4237037037037037,False,0.5685185185185185
window5_raw,class,2,10440,2520,2088,504,0.4373015873015873,False,0.5892857142857143
window5_raw,class,3,10440,2520,2088,504,0.4444444444444444,False,0.6111111111111112
window5_raw,class,4,10440,2520,2088,504,0.44682539682539685,False,0.5853174603174603
window5_raw,subject,0,10260,2700,2052,540,0.9944444444444445,False,1.0
window5_raw,subject,1,10260,2700,2052,540,0.997037037037037,False,1.0
window5_raw,subject,2,10440,2520,2088,504,0.9968253968253968,False,1.0
window5_raw,subject,3,10440,2520,2088,504,0.9956349206349207,False,1.0
window5_raw,subject,4,10440,2520,2088,504,0.998015873015873,False,1.0
window5_centered,class,0,10260,2700,2052,540,0.44962962962962966,False,0.6
window5_centered,class,1,10260,2700,2052,540,0.46,False,0.6185185185185185
window5_centered,class,2,10440,2520,2088,504,0.4515873015873016,False,0.6349206349206349
window5_centered,class,3,10440,2520,2088,504,0.4579365079365079,False,0.6130952380952381
window5_centered,class,4,10440,2520,2088,504,0.46904761904761905,False,0.6408730158730159
window5_centered,subject,0,10260,2700,2052,540,0.052222222222222225,False,0.03148148148148148
window5_centered,subject,1,10260,2700,2052,540,0.034444444444444444,False,0.011111111111111112
window5_centered,subject,2,10440,2520,2088,504,0.03968253968253968,False,0.015873015873015872
window5_centered,subject,3,10440,2520,2088,504,0.04325396825396825,False,0.017857142857142856
window5_centered,subject,4,10440,2520,2088,504,0.04007936507936508,False,0.003968253968253968
