window_pair,class_a,class_b,n_transitions_a,n_transitions_b,mean_vector_norm_a,mean_vector_norm_b,cosine_similarity
all,feet,left_hand,2592,2592,0.21088217479238344,0.1372958227190725,0.9054968797031872
all,feet,right_hand,2592,2592,0.21088217479238344,0.1609832490895498,0.9075324294012017
all,feet,tongue,2592,2592,0.21088217479238344,0.25456333507337986,0.9648889835917035
all,left_hand,right_hand,2592,2592,0.1372958227190725,0.1609832490895498,0.8379313509692659
all,left_hand,tongue,2592,2592,0.1372958227190725,0.25456333507337986,0.9070427744195512
all,right_hand,tongue,2592,2592,0.1609832490895498,0.25456333507337986,0.9209218837825882
1->2,feet,left_hand,648,648,0.5745959967214449,0.4567403819795831,-0.09528732113073728
1->2,feet,right_hand,648,648,0.5745959967214449,0.38324597376600056,0.6074945776364372
1->2,feet,tongue,648,648,0.5745959967214449,1.1774752709959904,0.9182500569640444
1->2,left_hand,right_hand,648,648,0.4567403819795831,0.38324597376600056,0.484357908645727
1->2,left_hand,tongue,648,648,0.4567403819795831,1.1774752709959904,-0.23642326424858354
1->2,right_hand,tongue,648,648,0.38324597376600056,1.1774752709959904,0.581002255156708
2->3,feet,left_hand,648,648,0.18599590939482438,0.15839564177390847,0.4320256185540693
2->3,feet,right_hand,648,648,0.18599590939482438,0.20874339053586155,0.36006115424540536
2->3,feet,tongue,648,648,0.18599590939482438,0.26137221469623345,0.15326198064626756
2->3,left_hand,right_hand,648,648,0.15839564177390847,0.20874339053586155,0.3465720011969158
2->3,left_hand,tongue,648,648,0.15839564177390847,0.26137221469623345,0.192815398611509
2->3,right_hand,tongue,648,648,0.20874339053586155,0.26137221469623345,0.10717454257651152
3->4,feet,left_hand,648,648,0.23172087481028028,0.4877545425305138,0.7306599975556555
3->4,feet,right_hand,648,648,0.23172087481028028,0.4416022089926401,0.7493926788281284
3->4,feet,tongue,648,648,0.23172087481028028,0.1965587262686024,0.6828576900947003
3->4,left_hand,right_hand,648,648,0.4877545425305138,0.4416022089926401,0.8412760139322044
3->4,left_hand,tongue,648,648,0.4877545425305138,0.1965587262686024,0.6371299373739852
3->4,right_hand,tongue,648,648,0.4416022089926401,0.1965587262686024,0.5649690705360919
4->5,feet,left_hand,648,648,0.1466963549554616,0.2127730873909185,0.13490077224985453
4->5,feet,right_hand,648,648,0.1466963549554616,0.19047500412876106,-0.427744699313916
4->5,feet,tongue,648,648,0.1466963549554616,0.19481334947329157,-0.05573294799122746
4->5,left_hand,right_hand,648,648,0.2127730873909185,0.19047500412876106,-0.439108469122702
4->5,left_hand,tongue,648,648,0.2127730873909185,0.19481334947329157,-0.4161863233848326
4->5,right_hand,tongue,648,648,0.19047500412876106,0.19481334947329157,0.2528337586698215
