dataset,geometry,template,object,signature,subject,same_subject_cross_session_cosine
OpenBMI,AIRM,session_specific,Z,sensor,1,0.138042196282469
OpenBMI,AIRM,session_specific,Z,sensor,2,0.077360697208373616
OpenBMI,AIRM,session_specific,Z,sensor,3,0.57577541657510589
OpenBMI,AIRM,session_specific,Z,sensor,4,0.29817904475661844
OpenBMI,AIRM,session_specific,Z,sensor,5,0.45595628643743241
OpenBMI,AIRM,session_specific,Z,sensor,6,0.43350685621413432
OpenBMI,AIRM,session_specific,Z,sensor,7,0.16730617230192729
OpenBMI,AIRM,session_specific,Z,sensor,8,-0.11361795716433347
OpenBMI,AIRM,session_specific,Z,sensor,9,-0.042935408793374139
OpenBMI,AIRM,session_specific,Z,sensor,10,0.71788598335216502
OpenBMI,AIRM,session_specific,Z,sensor,11,0.44412191249937877
OpenBMI,AIRM,session_specific,Z,sensor,12,-0.17235513077872391
OpenBMI,AIRM,session_specific,Z,sensor,13,0.19766250934344459
OpenBMI,AIRM,session_specific,Z,sensor,14,0.32583338832618791
OpenBMI,AIRM,session_specific,Z,sensor,15,0.46926427466849779
OpenBMI,AIRM,session_specific,Z,sensor,16,-0.60541627094501227
OpenBMI,AIRM,session_specific,Z,sensor,17,0.30997191390707202
OpenBMI,AIRM,session_specific,Z,sensor,18,0.42042172335512101
OpenBMI,AIRM,session_specific,Z,sensor,19,0.15284430711239602
OpenBMI,AIRM,session_specific,Z,sensor,20,0.023133130021072687
OpenBMI,AIRM,session_specific,Z,sensor,21,0.68107620612105102
OpenBMI,AIRM,session_specific,Z,sensor,22,0.38858735982980386
OpenBMI,AIRM,session_specific,Z,sensor,23,0.39285554117394866
OpenBMI,AIRM,session_specific,Z,sensor,24,0.39288084302667464
OpenBMI,AIRM,session_specific,Z,sensor,25,0.62017720027669565
OpenBMI,AIRM,session_specific,Z,sensor,26,-0.039963680684487468
OpenBMI,AIRM,session_specific,Z,sensor,27,0.037615102312493175
OpenBMI,AIRM,session_specific,Z,sensor,28,0.35549963784055516
OpenBMI,AIRM,session_specific,Z,sensor,29,0.83927779849720263
OpenBMI,AIRM,session_specific,Z,sensor,30,0.28128216236763087
OpenBMI,AIRM,session_specific,Z,sensor,31,0.26364910819932152
OpenBMI,AIRM,session_specific,Z,sensor,32,0.78485497472031307
OpenBMI,AIRM,session_specific,Z,sensor,33,0.65238312801923937
OpenBMI,AIRM,session_specific,Z,sensor,34,0.49391520027616748
OpenBMI,AIRM,session_specific,Z,sensor,35,0.33339594529818545
OpenBMI,AIRM,session_specific,Z,sensor,36,0.82136066351759596
OpenBMI,AIRM,session_specific,Z,sensor,37,0.60191699826143197
OpenBMI,AIRM,session_specific,Z,sensor,38,0.21054293287941564
OpenBMI,AIRM,session_specific,Z,sensor,39,0.033495019690785
OpenBMI,AIRM,session_specific,Z,sensor,40,0.42656462124031425
OpenBMI,AIRM,session_specific,Z,sensor,41,0.48447688728167637
OpenBMI,AIRM,session_specific,Z,sensor,42,0.47756991301819235
OpenBMI,AIRM,session_specific,Z,sensor,43,0.2783841983251637
OpenBMI,AIRM,session_specific,Z,sensor,44,0.78943066609467483
OpenBMI,AIRM,session_specific,Z,sensor,45,0.32084092903456124
OpenBMI,AIRM,session_specific,Z,sensor,46,0.6469158545711432
OpenBMI,AIRM,session_specific,Z,sensor,47,0.10742948606893903
OpenBMI,AIRM,session_specific,Z,sensor,48,0.28952814906446511
OpenBMI,AIRM,session_specific,Z,sensor,49,0.30276527363382971
OpenBMI,AIRM,session_specific,Z,sensor,50,0.50177827232392302
OpenBMI,AIRM,session_specific,Z,sensor,51,0.33484715227085887
OpenBMI,AIRM,session_specific,Z,sensor,52,0.34449258614940292
OpenBMI,AIRM,session_specific,Z,sensor,53,0.44881613517861901
OpenBMI,AIRM,session_specific,Z,sensor,54,-0.030870830595265547
OpenBMI,AIRM,session_specific,Z,spectrum,1,0.71346596132449058
OpenBMI,AIRM,session_specific,Z,spectrum,2,0.92985902485369909
OpenBMI,AIRM,session_specific,Z,spectrum,3,0.8056693140862331
OpenBMI,AIRM,session_specific,Z,spectrum,4,0.62251934477297233
OpenBMI,AIRM,session_specific,Z,spectrum,5,0.98053557347681009
OpenBMI,AIRM,session_specific,Z,spectrum,6,0.98388368509701474
OpenBMI,AIRM,session_specific,Z,spectrum,7,0.97999474638808326
OpenBMI,AIRM,session_specific,Z,spectrum,8,0.73883766684392249
OpenBMI,AIRM,session_specific,Z,spectrum,9,0.57793128640608804
OpenBMI,AIRM,session_specific,Z,spectrum,10,0.9877731975693923
OpenBMI,AIRM,session_specific,Z,spectrum,11,0.9118489828219335
OpenBMI,AIRM,session_specific,Z,spectrum,12,0.24644426301935163
OpenBMI,AIRM,session_specific,Z,spectrum,13,0.67196388928566653
OpenBMI,AIRM,session_specific,Z,spectrum,14,0.96684443374199436
OpenBMI,AIRM,session_specific,Z,spectrum,15,0.98488109449197025
OpenBMI,AIRM,session_specific,Z,spectrum,16,-0.033492584308123505
OpenBMI,AIRM,session_specific,Z,spectrum,17,0.95293493752524638
OpenBMI,AIRM,session_specific,Z,spectrum,18,0.89624269788321542
OpenBMI,AIRM,session_specific,Z,spectrum,19,0.69789122556093819
OpenBMI,AIRM,session_specific,Z,spectrum,20,0.91995905712186199
OpenBMI,AIRM,session_specific,Z,spectrum,21,0.9001402936808176
OpenBMI,AIRM,session_specific,Z,spectrum,22,0.87735885817095749
OpenBMI,AIRM,session_specific,Z,spectrum,23,0.89848318010849382
OpenBMI,AIRM,session_specific,Z,spectrum,24,0.95844751857827493
OpenBMI,AIRM,session_specific,Z,spectrum,25,0.98077563846471827
OpenBMI,AIRM,session_specific,Z,spectrum,26,0.39710550607568634
OpenBMI,AIRM,session_specific,Z,spectrum,27,0.52307214950024417
OpenBMI,AIRM,session_specific,Z,spectrum,28,0.76170319245207074
OpenBMI,AIRM,session_specific,Z,spectrum,29,0.96962623507876977
OpenBMI,AIRM,session_specific,Z,spectrum,30,0.90205531364500668
OpenBMI,AIRM,session_specific,Z,spectrum,31,0.96191399831769686
OpenBMI,AIRM,session_specific,Z,spectrum,32,0.97562818985986766
OpenBMI,AIRM,session_specific,Z,spectrum,33,0.94942616549760706
OpenBMI,AIRM,session_specific,Z,spectrum,34,0.97308709204766608
OpenBMI,AIRM,session_specific,Z,spectrum,35,0.88353890163135806
OpenBMI,AIRM,session_specific,Z,spectrum,36,0.91596320535039288
OpenBMI,AIRM,session_specific,Z,spectrum,37,0.94853630701415659
OpenBMI,AIRM,session_specific,Z,spectrum,38,0.71986413111987291
OpenBMI,AIRM,session_specific,Z,spectrum,39,0.91940990724879845
OpenBMI,AIRM,session_specific,Z,spectrum,40,0.96267704660363151
OpenBMI,AIRM,session_specific,Z,spectrum,41,0.95793412516345955
OpenBMI,AIRM,session_specific,Z,spectrum,42,0.91017975786931282
OpenBMI,AIRM,session_specific,Z,spectrum,43,0.9653185953343284
OpenBMI,AIRM,session_specific,Z,spectrum,44,0.9698554175277363
OpenBMI,AIRM,session_specific,Z,spectrum,45,0.70090228741862914
OpenBMI,AIRM,session_specific,Z,spectrum,46,0.95338338056605665
OpenBMI,AIRM,session_specific,Z,spectrum,47,0.91125536666665463
OpenBMI,AIRM,session_specific,Z,spectrum,48,0.77204216129542025
OpenBMI,AIRM,session_specific,Z,spectrum,49,0.98277163268164669
OpenBMI,AIRM,session_specific,Z,spectrum,50,0.83669282481511464
OpenBMI,AIRM,session_specific,Z,spectrum,51,0.98695081256515671
OpenBMI,AIRM,session_specific,Z,spectrum,52,0.89066232290375602
OpenBMI,AIRM,session_specific,Z,spectrum,53,0.97170127663348149
OpenBMI,AIRM,session_specific,Z,spectrum,54,0.44447544378661485
OpenBMI,AIRM,session_specific,R,sensor,1,0.13803975490698234
OpenBMI,AIRM,session_specific,R,sensor,2,0.077358245221131147
OpenBMI,AIRM,session_specific,R,sensor,3,0.57575902115480704
OpenBMI,AIRM,session_specific,R,sensor,4,0.29817709706811169
OpenBMI,AIRM,session_specific,R,sensor,5,0.45593360500362212
OpenBMI,AIRM,session_specific,R,sensor,6,0.43349597870525086
OpenBMI,AIRM,session_specific,R,sensor,7,0.16728498308281264
OpenBMI,AIRM,session_specific,R,sensor,8,-0.11360041757871764
OpenBMI,AIRM,session_specific,R,sensor,9,-0.042931102655197194
OpenBMI,AIRM,session_specific,R,sensor,10,0.71786795402105363
OpenBMI,AIRM,session_specific,R,sensor,11,0.44411941781997205
OpenBMI,AIRM,session_specific,R,sensor,12,-0.17235049492086515
OpenBMI,AIRM,session_specific,R,sensor,13,0.19765433320006875
OpenBMI,AIRM,session_specific,R,sensor,14,0.32582572912022784
OpenBMI,AIRM,session_specific,R,sensor,15,0.46925159993131599
OpenBMI,AIRM,session_specific,R,sensor,16,-0.60540618050306128
OpenBMI,AIRM,session_specific,R,sensor,17,0.30996445438150616
OpenBMI,AIRM,session_specific,R,sensor,18,0.42040003163757605
OpenBMI,AIRM,session_specific,R,sensor,19,0.15284279949211985
OpenBMI,AIRM,session_specific,R,sensor,20,0.023132201465725553
OpenBMI,AIRM,session_specific,R,sensor,21,0.68104909315618456
OpenBMI,AIRM,session_specific,R,sensor,22,0.38858079059165063
OpenBMI,AIRM,session_specific,R,sensor,23,0.39283179341983726
OpenBMI,AIRM,session_specific,R,sensor,24,0.39287564740015968
OpenBMI,AIRM,session_specific,R,sensor,25,0.62016212279255956
