dataset,geometry,template,object,signature,subject,same_subject_cross_session_cosine
BNCI2014_001,LE,session_specific,Z,spectrum,5,0.96697666400260385
BNCI2014_001,LE,session_specific,Z,spectrum,6,0.96449302656202818
BNCI2014_001,LE,session_specific,Z,spectrum,7,0.9172626821483304
BNCI2014_001,LE,session_specific,Z,spectrum,8,0.95526482403745627
BNCI2014_001,LE,session_specific,Z,spectrum,9,0.86773371799186994
BNCI2014_001,LE,session_specific,R,sensor,1,0.91850682034130349
BNCI2014_001,LE,session_specific,R,sensor,2,0.87393943344193459
BNCI2014_001,LE,session_specific,R,sensor,3,0.8336774289520329
BNCI2014_001,LE,session_specific,R,sensor,4,0.48181314842555562
BNCI2014_001,LE,session_specific,R,sensor,5,0.85502317510724846
BNCI2014_001,LE,session_specific,R,sensor,6,0.77994394621451879
BNCI2014_001,LE,session_specific,R,sensor,7,0.73285707736460937
BNCI2014_001,LE,session_specific,R,sensor,8,0.77253502564527043
BNCI2014_001,LE,session_specific,R,sensor,9,0.74830411883066494
BNCI2014_001,LE,session_specific,R,spectrum,1,0.98613626921786279
BNCI2014_001,LE,session_specific,R,spectrum,2,0.92844688528144759
BNCI2014_001,LE,session_specific,R,spectrum,3,0.9479163296829709
BNCI2014_001,LE,session_specific,R,spectrum,4,0.70170907861367726
BNCI2014_001,LE,session_specific,R,spectrum,5,0.96697666400260729
BNCI2014_001,LE,session_specific,R,spectrum,6,0.96449302656202707
BNCI2014_001,LE,session_specific,R,spectrum,7,0.91726268214832918
BNCI2014_001,LE,session_specific,R,spectrum,8,0.9552648240374596
BNCI2014_001,LE,session_specific,R,spectrum,9,0.86773371799186438
BNCI2014_001,LE,pooled_session,Z,sensor,1,0.92390469675602704
BNCI2014_001,LE,pooled_session,Z,sensor,2,0.91739232252199776
BNCI2014_001,LE,pooled_session,Z,sensor,3,0.87915088620153192
BNCI2014_001,LE,pooled_session,Z,sensor,4,0.47635446565028317
BNCI2014_001,LE,pooled_session,Z,sensor,5,0.8817408440543244
BNCI2014_001,LE,pooled_session,Z,sensor,6,0.80204884012334388
BNCI2014_001,LE,pooled_session,Z,sensor,7,0.79613856463119792
BNCI2014_001,LE,pooled_session,Z,sensor,8,0.78924245017314965
BNCI2014_001,LE,pooled_session,Z,sensor,9,0.75657584949633505
BNCI2014_001,LE,pooled_session,Z,spectrum,1,0.9799815225640931
BNCI2014_001,LE,pooled_session,Z,spectrum,2,0.9605954171740213
BNCI2014_001,LE,pooled_session,Z,spectrum,3,0.9796317086417724
BNCI2014_001,LE,pooled_session,Z,spectrum,4,0.68176096802066721
BNCI2014_001,LE,pooled_session,Z,spectrum,5,0.97889769068435872
BNCI2014_001,LE,pooled_session,Z,spectrum,6,0.96316097707885273
BNCI2014_001,LE,pooled_session,Z,spectrum,7,0.95999943544243993
BNCI2014_001,LE,pooled_session,Z,spectrum,8,0.95250457101880903
BNCI2014_001,LE,pooled_session,Z,spectrum,9,0.86698141363504566
BNCI2014_001,LE,pooled_session,R,sensor,1,0.92390469675602893
BNCI2014_001,LE,pooled_session,R,sensor,2,0.91739232252199709
BNCI2014_001,LE,pooled_session,R,sensor,3,0.87915088620153059
BNCI2014_001,LE,pooled_session,R,sensor,4,0.47635446565028405
BNCI2014_001,LE,pooled_session,R,sensor,5,0.88174084405432696
BNCI2014_001,LE,pooled_session,R,sensor,6,0.80204884012334388
BNCI2014_001,LE,pooled_session,R,sensor,7,0.79613856463119903
BNCI2014_001,LE,pooled_session,R,sensor,8,0.78924245017315009
