protocol,subject,feature,balanced_accuracy,accuracy,macro_f1
P1,1,F0,0.7395833333333334,0.7395833333333334,0.7328761614450854
P1,1,F1,0.7378472222222222,0.7378472222222222,0.7353321996334214
P1,1,F2-S,0.5069444444444444,0.5069444444444444,0.5034248594905761
P1,1,F2-S-REVERSE,0.5069444444444444,0.5069444444444444,0.5034248594905761
P1,1,F2-S-SHUFFLE,0.4878472222222222,0.4878472222222222,0.4873174675218867
P1,1,F2-V,0.484375,0.484375,0.483986300827442
P1,1,F3-D,0.3628472222222222,0.3628472222222222,0.3525707171361312
P1,1,F3-G,0.3454861111111111,0.34548611111111116,0.34066397611569543
P1,2,F0,0.49479166666666663,0.49479166666666663,0.4775112489437206
P1,2,F1,0.5104166666666666,0.5104166666666667,0.507710805347988
P1,2,F2-S,0.41840277777777773,0.4184027777777778,0.4136656217928143
P1,2,F2-S-REVERSE,0.41840277777777773,0.4184027777777778,0.4136656217928143
P1,2,F2-S-SHUFFLE,0.3038194444444445,0.3038194444444444,0.3048395526030161
P1,2,F2-V,0.3663194444444444,0.3663194444444444,0.36336306253328987
P1,2,F3-D,0.2829861111111111,0.2829861111111111,0.23499351461894352
P1,2,F3-G,0.2916666666666667,0.29166666666666663,0.2514964189541513
P1,3,F0,0.8246527777777778,0.8246527777777778,0.8190034535773663
P1,3,F1,0.7725694444444444,0.7725694444444444,0.7661175038587517
P1,3,F2-S,0.5173611111111112,0.517361111111111,0.5161462756522999
P1,3,F2-S-REVERSE,0.5173611111111112,0.517361111111111,0.5161462756522999
P1,3,F2-S-SHUFFLE,0.4756944444444444,0.4756944444444444,0.4749968024732614
P1,3,F2-V,0.4253472222222222,0.4253472222222222,0.42255042330658193
P1,3,F3-D,0.3142361111111111,0.3142361111111111,0.30445058798992075
P1,3,F3-G,0.328125,0.328125,0.32004559114844505
P1,4,F0,0.5954861111111112,0.5954861111111112,0.5913264491283804
P1,4,F1,0.5902777777777777,0.5902777777777777,0.584072197342471
P1,4,F2-S,0.4340277777777778,0.4340277777777778,0.4310499551233645
P1,4,F2-S-REVERSE,0.4340277777777778,0.4340277777777778,0.4310499551233645
P1,4,F2-S-SHUFFLE,0.3315972222222222,0.3315972222222222,0.3306883654639299
P1,4,F2-V,0.421875,0.421875,0.41932260420650924
P1,4,F3-D,0.2847222222222222,0.2847222222222222,0.27797794636253825
P1,4,F3-G,0.3107638888888889,0.3107638888888889,0.30282189707370283
P1,5,F0,0.4548611111111111,0.45486111111111116,0.42820114372706525
P1,5,F1,0.45833333333333326,0.45833333333333337,0.4577408678152862
P1,5,F2-S,0.3472222222222222,0.3472222222222222,0.3463792441541318
P1,5,F2-S-REVERSE,0.3472222222222222,0.3472222222222222,0.3463792441541318
P1,5,F2-S-SHUFFLE,0.29166666666666663,0.29166666666666663,0.2901764201614391
P1,5,F2-V,0.3263888888888889,0.3263888888888889,0.3240047650591923
P1,5,F3-D,0.24131944444444442,0.24131944444444445,0.2329994598231706
P1,5,F3-G,0.2586805555555556,0.2586805555555556,0.25134743030826867
P1,6,F0,0.515625,0.515625,0.5042911142315802
P1,6,F1,0.46527777777777773,0.4652777777777778,0.4568823053613311
P1,6,F2-S,0.36979166666666663,0.36979166666666663,0.36953377850191793
P1,6,F2-S-REVERSE,0.36979166666666663,0.36979166666666663,0.36953377850191793
P1,6,F2-S-SHUFFLE,0.34548611111111116,0.34548611111111116,0.3433071944039366
P1,6,F2-V,0.3298611111111111,0.3298611111111111,0.3296316863935153
P1,6,F3-D,0.2899305555555555,0.2899305555555556,0.27919338305174113
P1,6,F3-G,0.3090277777777778,0.3090277777777778,0.29540096257522724
P1,7,F0,0.671875,0.671875,0.6573599393456888
P1,7,F1,0.6597222222222222,0.6597222222222222,0.6511628161886608
P1,7,F2-S,0.5034722222222222,0.5034722222222222,0.5001284503184709
P1,7,F2-S-REVERSE,0.5034722222222222,0.5034722222222222,0.5001284503184709
P1,7,F2-S-SHUFFLE,0.41840277777777773,0.4184027777777778,0.4137201079956254
P1,7,F2-V,0.42361111111111105,0.4236111111111111,0.42281079671023397
P1,7,F3-D,0.32291666666666663,0.32291666666666663,0.31235572588965693
P1,7,F3-G,0.2934027777777778,0.2934027777777778,0.27900954735148653
P1,8,F0,0.7413194444444444,0.7413194444444444,0.7297728599622775
P1,8,F1,0.7777777777777778,0.7777777777777777,0.7769383925194774
P1,8,F2-S,0.5434027777777778,0.5434027777777778,0.5434100293426463
P1,8,F2-S-REVERSE,0.5434027777777778,0.5434027777777778,0.5434100293426463
P1,8,F2-S-SHUFFLE,0.4565972222222222,0.4565972222222222,0.45571302011828985
P1,8,F2-V,0.48958333333333337,0.48958333333333337,0.48821108133780666
P1,8,F3-D,0.328125,0.328125,0.3189019520936049
P1,8,F3-G,0.3263888888888889,0.32638888888888884,0.3194576576957627
