replicate,null_statistic,observed,null_median
1,0.2743055555555556,0.2881944444444444,0.2725694444444445
2,0.2743055555555556,0.2881944444444444,0.2725694444444445
3,0.2777777777777778,0.2881944444444444,0.2725694444444445
4,0.2569444444444445,0.2881944444444444,0.2725694444444445
5,0.2673611111111111,0.2881944444444444,0.2725694444444445
6,0.28125,0.2881944444444444,0.2725694444444445
7,0.27604166666666663,0.2881944444444444,0.2725694444444445
8,0.2690972222222222,0.2881944444444444,0.2725694444444445
9,0.25520833333333337,0.2881944444444444,0.2725694444444445
10,0.28125,0.2881944444444444,0.2725694444444445
11,0.2690972222222222,0.2881944444444444,0.2725694444444445
12,0.25,0.2881944444444444,0.2725694444444445
13,0.2690972222222222,0.2881944444444444,0.2725694444444445
14,0.2725694444444445,0.2881944444444444,0.2725694444444445
15,0.2690972222222222,0.2881944444444444,0.2725694444444445
16,0.2673611111111111,0.2881944444444444,0.2725694444444445
17,0.28125,0.2881944444444444,0.2725694444444445
18,0.2708333333333333,0.2881944444444444,0.2725694444444445
19,0.2725694444444444,0.2881944444444444,0.2725694444444445
20,0.28125,0.2881944444444444,0.2725694444444445
21,0.2743055555555556,0.2881944444444444,0.2725694444444445
22,0.27083333333333337,0.2881944444444444,0.2725694444444445
23,0.2690972222222222,0.2881944444444444,0.2725694444444445
24,0.2604166666666667,0.2881944444444444,0.2725694444444445
25,0.2673611111111111,0.2881944444444444,0.2725694444444445
26,0.27604166666666663,0.2881944444444444,0.2725694444444445
27,0.28298611111111105,0.2881944444444444,0.2725694444444445
28,0.2673611111111111,0.2881944444444444,0.2725694444444445
29,0.27951388888888884,0.2881944444444444,0.2725694444444445
30,0.296875,0.2881944444444444,0.2725694444444445
31,0.26736111111111116,0.2881944444444444,0.2725694444444445
32,0.27604166666666663,0.2881944444444444,0.2725694444444445
33,0.28125,0.2881944444444444,0.2725694444444445
34,0.28472222222222227,0.2881944444444444,0.2725694444444445
35,0.2829861111111111,0.2881944444444444,0.2725694444444445
36,0.2795138888888889,0.2881944444444444,0.2725694444444445
37,0.2725694444444445,0.2881944444444444,0.2725694444444445
38,0.27604166666666663,0.2881944444444444,0.2725694444444445
39,0.2743055555555556,0.2881944444444444,0.2725694444444445
40,0.2725694444444444,0.2881944444444444,0.2725694444444445
41,0.2673611111111111,0.2881944444444444,0.2725694444444445
42,0.2690972222222222,0.2881944444444444,0.2725694444444445
