subject,session,balanced_accuracy,chance
1,0train,0.3506944444444444,0.25
1,1test,0.34375,0.25
2,0train,0.29166666666666663,0.25
2,1test,0.2881944444444444,0.25
3,0train,0.32291666666666663,0.25
3,1test,0.29166666666666663,0.25
4,0train,0.29166666666666663,0.25
4,1test,0.3680555555555556,0.25
5,0train,0.2881944444444444,0.25
5,1test,0.2951388888888889,0.25
6,0train,0.24999999999999994,0.25
6,1test,0.3055555555555556,0.25
7,0train,0.24305555555555555,0.25
7,1test,0.2569444444444444,0.25
8,0train,0.3333333333333333,0.25
8,1test,0.29166666666666663,0.25
9,0train,0.3159722222222222,0.25
9,1test,0.3784722222222222,0.25
