direction,subject,outer_fold,sse_zero,sse_location,normalized_sse_ratio,error_gain,cosine,normalized_mae,predicted_residual_norm,true_residual_norm
FORWARD,5,1,1.0519469144736875,1.0535472900670024,1.001521346344854,-0.00160037559331494,-0.3296319095689662,1.0003430241739142,0.0023585957380177314,1.0256446336200895
FORWARD,11,1,0.9249786743682881,0.9250358037222899,1.0000617628877129,-5.7129354001816957e-05,-0.03455071044527135,1.0001009087460702,0.000848779732665335,0.9617581163516574
FORWARD,15,1,0.9711915143390224,0.9708480777024848,0.9996463759912778,0.00034343663653757517,0.31190075287528823,0.9998423240396451,0.0005591688529415439,0.9854904942915595
FORWARD,26,1,2.4874003061845333,2.4858784349199,0.9993881679354749,0.0015218712646332122,0.39885829193228595,0.9998377540818185,0.0012108061504379618,1.577149424177853
FORWARD,28,1,1.2132946068115267,1.2128748366762303,0.9996540245601194,0.0004197701352963712,0.5751364308231882,0.999900847509247,0.00033139132488215503,1.1014965305490194
FORWARD,37,1,2.3632010663326213,2.364919390112693,1.0007271170466836,-0.001718323780071529,-0.619862578475746,1.0001737667251243,0.0009012057000591436,1.5372706548726613
FORWARD,41,1,0.7913568569273259,0.7914330512283784,1.0000962831122084,-7.619430105243463e-05,-0.35446953589698443,1.000029445037994,0.00012079368144540184,0.8895824059227598
FORWARD,48,1,3.5734433631717075,3.5746099690940687,1.000326465485471,-0.0011666059223611747,-0.5397865987950834,1.0000891995210086,0.0005714878886598434,1.890355353676051
FORWARD,56,1,2.9674830255520206,2.9603256641496896,0.9975880699769126,0.007157361402331031,0.719895141592277,0.9992540763991336,0.0028891212763673293,1.722638390827286
FORWARD,60,1,5.327221030967509,5.327610843397654,1.0000731736918516,-0.00038981243014468703,-0.03737127134407432,1.0000234251258397,0.0022307839087318585,2.3080773451007897
FORWARD,4,2,0.9752470965205697,0.9752470965205697,1.0,0.0,0.0,1.0,0.0,0.9875459971670026
FORWARD,16,2,0.6143120877576319,0.6143120877576319,1.0,0.0,0.0,1.0,0.0,0.7837806375240663
FORWARD,19,2,0.8095574270989656,0.8095574270989656,1.0,0.0,0.0,1.0,0.0,0.8997540925713902
FORWARD,22,2,1.1515202384351328,1.1515202384351328,1.0,0.0,0.0,1.0,0.0,1.0730891102024718
FORWARD,33,2,0.90969941893392,0.90969941893392,1.0,0.0,0.0,1.0,0.0,0.9537816411180915
FORWARD,34,2,0.6277637482187391,0.6277637482187391,1.0,0.0,0.0,1.0,0.0,0.7923154347977447
FORWARD,44,2,0.7880908220620907,0.7880908220620907,1.0,0.0,0.0,1.0,0.0,0.8877447955702645
FORWARD,49,2,0.6869512142399536,0.6869512142399536,1.0,0.0,0.0,1.0,0.0,0.8288252012577522
FORWARD,61,2,0.7819769670192372,0.7819769670192372,1.0,0.0,0.0,1.0,0.0,0.8842946155095807
FORWARD,62,2,0.4687093688167037,0.4687093688167037,1.0,0.0,0.0,1.0,0.0,0.6846235234175815
FORWARD,3,3,0.6248100646600372,0.6283309714233422,1.005635163327948,-0.003520906763304965,-0.48780125082970777,1.00155597925685,0.0045389865505178085,0.7904492802577768
FORWARD,17,3,1.940098052113016,1.9325233188997335,0.9960956956762919,0.007574733213282503,0.7378154116520684,0.9989348732197384,0.003691973628291815,1.3928740259309225
FORWARD,20,3,0.592410772651453,0.5924497381030842,1.0000657743805987,-3.8965451631178816e-05,-0.047592934175058346,0.9999736363442416,0.000528052076909668,0.7696822543436045
FORWARD,24,3,0.6223490178732356,0.6244309099928368,1.0033452163654337,-0.002081892119601192,-0.26274173027314973,1.0012509562600225,0.004962654145359103,0.7888910050654878
FORWARD,29,3,1.0967715463880907,1.1008211227376625,1.003692269700931,-0.004049576349571815,-0.5232235216535802,1.0008482579918265,0.003682792546340969,1.0472686123378714
FORWARD,40,3,1.1749479567453016,1.167004383234022,0.9932392124556019,0.007943573511279611,0.46458460980644084,0.9984260277653709,0.007949747444252272,1.083950163404804
FORWARD,43,3,0.9786857207646927,0.9824538479536443,1.0038501912401536,-0.0037681271889515866,-0.5665857829890525,1.0010720383547682,0.003351289025438867,0.9892854596953767
FORWARD,45,3,0.38022728902316233,0.3795880266636378,0.9983187362454524,0.0006392623595245506,0.27314108350953287,0.9993187365717071,0.0019085701980385344,0.6166257284797337
