direction,subject,outer_fold,sse_zero,sse_location,normalized_sse_ratio,error_gain,cosine,normalized_mae,predicted_residual_norm,true_residual_norm
SAME_SESSION_2,5,1,1.0042601547584478,1.0042601547584478,1.0,0.0,0.0,1.0,0.0,1.0021278135839
SAME_SESSION_2,11,1,1.0454931845258113,1.0454931845258113,1.0,0.0,0.0,1.0,0.0,1.022493610995106
SAME_SESSION_2,15,1,0.6432499321032922,0.6432499321032922,1.0,0.0,0.0,1.0,0.0,0.8020286354634054
SAME_SESSION_2,26,1,2.064568423274234,2.064568423274234,1.0,0.0,0.0,1.0,0.0,1.4368606137250175
SAME_SESSION_2,28,1,1.15648257536089,1.15648257536089,1.0,0.0,0.0,1.0,0.0,1.0753987982887512
SAME_SESSION_2,37,1,1.018183572758226,1.018183572758226,1.0,0.0,0.0,1.0,0.0,1.0090508276386407
SAME_SESSION_2,41,1,0.523590239342312,0.523590239342312,1.0,0.0,0.0,1.0,0.0,0.723595356081223
SAME_SESSION_2,48,1,2.426472670776136,2.426472670776136,1.0,0.0,0.0,1.0,0.0,1.557713924562574
SAME_SESSION_2,56,1,3.309170982119097,3.309170982119097,1.0,0.0,0.0,1.0,0.0,1.8191126908795665
SAME_SESSION_2,60,1,4.882332608493224,4.882332608493224,1.0,0.0,0.0,1.0,0.0,2.2096001014874216
SAME_SESSION_2,4,2,0.7227513010283522,0.7033177647469995,0.9731117242491268,0.019433536281352692,0.2988230769151245,0.9931135117782942,0.04166509398059891,0.850147811282457
SAME_SESSION_2,16,2,0.7586215098347325,0.7600252438934623,1.0018503747132552,-0.0014037340587297331,-0.06303193942322202,1.0000160816600543,0.011566092268810857,0.8709888115439443
SAME_SESSION_2,19,2,0.8923783534025573,0.8941912917810289,1.002031580407076,-0.001812938378471518,-0.13787663533264582,1.0008219335979285,0.006783032171139799,0.9446577969839434
SAME_SESSION_2,22,2,1.0158743403661723,1.0172011509574845,1.0013060774729619,-0.001326810591312233,-0.0031579738282711805,1.0020027914560174,0.03338127288902061,1.0079059184101322
