direction,fold,selected_rank,selected_requested_rank,selected_ridge_multiplier,ridge_lambda,kappa,output_numerical_rank,best_mean_rank,best_mean_ridge_multiplier,one_standard_error_threshold
FORWARD,1,1,1,1000.0,10854.420264016626,10.854420264016627,51,8,1000.0,0.9999770375991155
FORWARD,2,0,0,1000.0,11147.177490535216,11.147177490535215,51,8,100.0,1.0031254296953962
FORWARD,3,1,1,10.0,116.16912557884255,11.616912557884255,51,8,100.0,0.9971085894019683
FORWARD,4,2,2,100.0,1168.6474822308094,11.686474822308094,50,5,100.0,0.9978136413024559
FORWARD,5,0,0,1000.0,11792.777728207398,11.792777728207398,50,1,1.0,1.0054840154917009
FORWARD,6,3,3,100.0,1211.2064962491008,12.112064962491008,51,8,100.0,0.9956995838575128
REVERSE,1,0,0,1000.0,12368.938175757141,12.36893817575714,51,8,100.0,1.0005842168517536
REVERSE,2,0,0,1000.0,13453.347094625326,13.453347094625325,51,1,1.0,1.0114668947191185
REVERSE,3,0,0,1000.0,13307.541270643931,13.30754127064393,51,1,10.0,1.0026990894607004
REVERSE,4,1,1,100.0,1282.1587052788523,12.821587052788523,50,1,10.0,0.9986676318538624
REVERSE,5,0,0,1000.0,13359.593228750642,13.359593228750642,50,13,100.0,1.000730353273828
REVERSE,6,2,2,100.0,1410.6878982392072,14.106878982392072,51,2,100.0,0.9985583235276285
