direction,session,subject,class,delta_norm
FORWARD,3,13,rest,0.5828863178194712
FORWARD,3,30,right_hand,0.546958600160285
FORWARD,3,30,left_hand,0.5235760121734635
FORWARD,3,30,both_hand,0.5329412465286968
FORWARD,3,30,rest,0.9257672087091707
FORWARD,3,35,right_hand,0.3987612426816237
FORWARD,3,35,left_hand,0.36442797957044765
FORWARD,3,35,both_hand,0.4281614730747967
FORWARD,3,35,rest,0.6245344480700414
FORWARD,3,42,right_hand,0.31143492126962957
FORWARD,3,42,left_hand,0.2774163075552371
FORWARD,3,42,both_hand,0.2816017228986367
FORWARD,3,42,rest,0.3836168175655304
FORWARD,3,52,right_hand,2.291213303785246
FORWARD,3,52,left_hand,2.192614333728207
FORWARD,3,52,both_hand,2.5014412002273274
FORWARD,3,52,rest,1.2832673750338741
FORWARD,3,53,right_hand,0.5053155822285815
FORWARD,3,53,left_hand,0.5825565562171253
FORWARD,3,53,both_hand,0.4100644409988393
FORWARD,3,53,rest,0.6309364431279475
FORWARD,3,57,right_hand,0.28110899816839835
FORWARD,3,57,left_hand,0.2798370411435513
FORWARD,3,57,both_hand,0.491327873168484
FORWARD,3,57,rest,0.5380897729416613
FORWARD,3,59,right_hand,0.339272927427532
FORWARD,3,59,left_hand,0.27442107746171
FORWARD,3,59,both_hand,0.3599724366806589
FORWARD,3,59,rest,0.5502030743936953
FORWARD,3,2,right_hand,0.4609171585148099
FORWARD,3,2,left_hand,0.31622848777774193
FORWARD,3,2,both_hand,0.6595894574648532
FORWARD,3,2,rest,1.224596920848146
FORWARD,3,7,right_hand,0.2672385689351876
FORWARD,3,7,left_hand,0.24256775129084762
FORWARD,3,7,both_hand,0.34078332344427803
FORWARD,3,7,rest,0.43771941394506125
FORWARD,3,12,right_hand,0.8088347025114219
FORWARD,3,12,left_hand,0.3585077163107766
FORWARD,3,12,both_hand,0.434486486771641
FORWARD,3,12,rest,0.5187773287105517
FORWARD,3,14,right_hand,0.82391639444153
FORWARD,3,14,left_hand,0.9109298919684364
FORWARD,3,14,both_hand,0.9041092323292322
FORWARD,3,14,rest,2.4474113679919647
FORWARD,3,25,right_hand,0.3555054446107306
FORWARD,3,25,left_hand,0.406414460968213
FORWARD,3,25,both_hand,0.24834323799639246
FORWARD,3,25,rest,0.5552064988831211
FORWARD,3,39,right_hand,0.643195046002156
FORWARD,3,39,left_hand,0.6455033037578164
FORWARD,3,39,both_hand,0.35873944448023015
FORWARD,3,39,rest,0.5636759090335594
FORWARD,3,46,right_hand,0.42691444256671457
FORWARD,3,46,left_hand,0.3443415488652393
FORWARD,3,46,both_hand,0.42654771378080525
FORWARD,3,46,rest,0.7871789160528854
FORWARD,3,50,right_hand,0.6557773533094222
FORWARD,3,50,left_hand,0.5675330512588341
FORWARD,3,50,both_hand,0.4067695257012487
FORWARD,3,50,rest,0.4161868988897533
FORWARD,3,51,right_hand,0.8334624323458584
FORWARD,3,51,left_hand,0.5082036328642483
FORWARD,3,51,both_hand,0.47634348013081174
FORWARD,3,51,rest,0.4317268752195393
FORWARD,3,54,right_hand,0.3950912895652098
FORWARD,3,54,left_hand,0.7545849748856541
FORWARD,3,54,both_hand,0.37800785113704255
FORWARD,3,54,rest,0.7713675381061285
FORWARD,3,58,right_hand,0.39443985412609395
FORWARD,3,58,left_hand,0.7660643111841265
FORWARD,3,58,both_hand,0.5818401826818858
FORWARD,3,58,rest,0.731830163020629
FORWARD,3,6,right_hand,0.6124029045511952
FORWARD,3,6,left_hand,0.36151917861328964
FORWARD,3,6,both_hand,0.41624812924650695
FORWARD,3,6,rest,0.6098396665451986
FORWARD,3,9,right_hand,0.5130181891712403
FORWARD,3,9,left_hand,0.44485833486353477
FORWARD,3,9,both_hand,0.6248878880213052
FORWARD,3,9,rest,0.45460981241379106
FORWARD,3,18,right_hand,0.3831419360072609
FORWARD,3,18,left_hand,0.6004418110489186
FORWARD,3,18,both_hand,0.40791412405720867
FORWARD,3,18,rest,0.8111969177054458
FORWARD,3,21,right_hand,0.481502961824926
FORWARD,3,21,left_hand,0.7741778608175796
FORWARD,3,21,both_hand,1.2898280268905762
FORWARD,3,21,rest,0.7514197665160646
FORWARD,3,23,right_hand,0.6175195823845369
FORWARD,3,23,left_hand,0.37931602839744244
FORWARD,3,23,both_hand,0.2695910025879508
FORWARD,3,23,rest,0.7470278851525887
FORWARD,3,27,right_hand,0.6065541588576334
FORWARD,3,27,left_hand,0.43648978548044887
FORWARD,3,27,both_hand,0.7178651600216344
FORWARD,3,27,rest,1.417685970106923
FORWARD,3,31,right_hand,0.3467297883154052
FORWARD,3,31,left_hand,0.2921382888310492
FORWARD,3,31,both_hand,0.36802833138177427
FORWARD,3,31,rest,0.6369968397336793
FORWARD,3,32,right_hand,0.3999183187833019
FORWARD,3,32,left_hand,0.34191027409109653
FORWARD,3,32,both_hand,0.3605209018661389
FORWARD,3,32,rest,0.5470732191808798
FORWARD,3,36,right_hand,0.4616419892735727
FORWARD,3,36,left_hand,0.6214515809080421
FORWARD,3,36,both_hand,0.4861883071536422
FORWARD,3,36,rest,0.47424198445246957
FORWARD,3,38,right_hand,0.3197971278399749
FORWARD,3,38,left_hand,0.5282322137074094
FORWARD,3,38,both_hand,0.469502385096974
FORWARD,3,38,rest,0.6485613351701154
REVERSE,2,5,right_hand,0.7013533860646859
REVERSE,2,5,left_hand,0.31625458701810427
REVERSE,2,5,both_hand,0.4656721521220172
REVERSE,2,5,rest,0.4421493701704263
REVERSE,2,11,right_hand,0.45916515331909624
REVERSE,2,11,left_hand,0.5189849247048841
REVERSE,2,11,both_hand,0.5748652407984868
REVERSE,2,11,rest,0.4846082431758934
REVERSE,2,15,right_hand,0.357096990053103
REVERSE,2,15,left_hand,0.3433693467153116
REVERSE,2,15,both_hand,0.5339208837232081
REVERSE,2,15,rest,0.33579406406134504
REVERSE,2,26,right_hand,0.7284497984294301
REVERSE,2,26,left_hand,0.5949444659296049
REVERSE,2,26,both_hand,0.8674913651853937
REVERSE,2,26,rest,0.6537806422882795
REVERSE,2,28,right_hand,0.4085049076709503
REVERSE,2,28,left_hand,0.44685408442824764
REVERSE,2,28,both_hand,0.3553664837575038
REVERSE,2,28,rest,0.8146425014822507
REVERSE,2,37,right_hand,0.31118398018127696
REVERSE,2,37,left_hand,0.4846478321670714
REVERSE,2,37,both_hand,0.3768050261023108
REVERSE,2,37,rest,0.7378906113487009
REVERSE,2,41,right_hand,0.3754069382753271
REVERSE,2,41,left_hand,0.31188439918615524
REVERSE,2,41,both_hand,0.44233321662258435
REVERSE,2,41,rest,0.299548522035522
REVERSE,2,48,right_hand,0.9879370054001813
REVERSE,2,48,left_hand,0.5116917867441944
REVERSE,2,48,both_hand,0.8903769949570111
REVERSE,2,48,rest,0.6291688695151046
REVERSE,2,56,right_hand,0.5630448614867027
REVERSE,2,56,left_hand,0.5119873712027698
REVERSE,2,56,both_hand,1.3663083660841533
REVERSE,2,56,rest,0.9290973289003932
REVERSE,2,60,right_hand,1.028248529174497
REVERSE,2,60,left_hand,0.901678510542134
REVERSE,2,60,both_hand,1.1430659235842564
REVERSE,2,60,rest,1.3059149010217694
REVERSE,2,4,right_hand,0.4517729546096159
REVERSE,2,4,left_hand,0.4255746908243595
REVERSE,2,4,both_hand,0.38861247053141657
REVERSE,2,4,rest,0.43187848845348836
REVERSE,2,16,right_hand,0.3382590850894273
REVERSE,2,16,left_hand,0.3675137771861378
REVERSE,2,16,both_hand,0.3957437165280372
REVERSE,2,16,rest,0.5937363350816173
REVERSE,2,19,right_hand,0.5103865868861923
REVERSE,2,19,left_hand,0.44521626644624607
REVERSE,2,19,both_hand,0.24714531499544365
REVERSE,2,19,rest,0.6103978659011585
REVERSE,2,22,right_hand,0.3508121618377884
REVERSE,2,22,left_hand,0.5908700190110244
REVERSE,2,22,both_hand,0.3590899451402785
REVERSE,2,22,rest,0.6439970492214486
REVERSE,2,33,right_hand,0.378636247266437
REVERSE,2,33,left_hand,0.39585211335948195
REVERSE,2,33,both_hand,0.5592102221495678
REVERSE,2,33,rest,0.9819847879429419
REVERSE,2,34,right_hand,0.4758443820963185
REVERSE,2,34,left_hand,0.3630395635010629
REVERSE,2,34,both_hand,0.46361584167810616
REVERSE,2,34,rest,0.6278316843984866
REVERSE,2,44,right_hand,0.5678805636707631
REVERSE,2,44,left_hand,0.6486742509470536
REVERSE,2,44,both_hand,0.3370157620165867
REVERSE,2,44,rest,0.46867532692728603
REVERSE,2,49,right_hand,0.37347038750168543
REVERSE,2,49,left_hand,0.3030318265700324
REVERSE,2,49,both_hand,0.41316215566738324
REVERSE,2,49,rest,0.40372873291767236
REVERSE,2,61,right_hand,0.6006693254245951
REVERSE,2,61,left_hand,0.3621726821630446
REVERSE,2,61,both_hand,0.3483627552006876
REVERSE,2,61,rest,0.6338576642665817
REVERSE,2,62,right_hand,0.4670508163023295
REVERSE,2,62,left_hand,0.38003627134932744
REVERSE,2,62,both_hand,0.3206551330447839
REVERSE,2,62,rest,0.5532828801807276
REVERSE,2,3,right_hand,0.41624335700651727
REVERSE,2,3,left_hand,0.3146443029230158
REVERSE,2,3,both_hand,0.5397516756623828
REVERSE,2,3,rest,0.42548980931769975
REVERSE,2,17,right_hand,0.5822288380684179
REVERSE,2,17,left_hand,0.3855573385327409
REVERSE,2,17,both_hand,0.6417175051220471
REVERSE,2,17,rest,1.2426867162493993
REVERSE,2,20,right_hand,0.32557821758442856
REVERSE,2,20,left_hand,0.29619794997270305
REVERSE,2,20,both_hand,0.4109858645577169
REVERSE,2,20,rest,0.5184354627141154
REVERSE,2,24,right_hand,0.34922012742225456
REVERSE,2,24,left_hand,0.3314196056305803
REVERSE,2,24,both_hand,0.35318853034110426
REVERSE,2,24,rest,0.4288969789755014
REVERSE,2,29,right_hand,0.4263097049339405
REVERSE,2,29,left_hand,0.32342528854445113
REVERSE,2,29,both_hand,0.25421476755892186
REVERSE,2,29,rest,0.5109156501748515
REVERSE,2,40,right_hand,0.6497295822424616
REVERSE,2,40,left_hand,0.450160193045185
REVERSE,2,40,both_hand,0.37400068348886306
REVERSE,2,40,rest,0.7078642716861817
REVERSE,2,43,right_hand,0.3991024723104726
REVERSE,2,43,left_hand,0.4646286214638694
REVERSE,2,43,both_hand,0.5397592508186954
REVERSE,2,43,rest,0.5319148579969918
REVERSE,2,45,right_hand,0.3796773892088418
REVERSE,2,45,left_hand,0.26973607082429063
REVERSE,2,45,both_hand,0.2541806984983781
REVERSE,2,45,rest,0.5143502766046226
REVERSE,2,47,right_hand,0.3156142146678502
REVERSE,2,47,left_hand,0.3468011212405788
