subject,outer_fold,q2_norm,q3_norm,q_cross_session_cosine,q_tangent_distance,marginal_airm_distance
5,1,5.460332039166984,4.806657169480118,0.929129126194159,2.0365256752423995,2.067127819363317
11,1,2.2723112415462436,2.5456071395303232,0.5365849263670108,2.3314926150184454,2.351806519642177
15,1,3.6717636642273686,3.7962063564388417,0.587976742960884,3.391413116012654,3.4297086961841408
26,1,1.9124694457550346,3.8016137873458815,0.256430858448063,3.7922369299761987,3.8158666327128716
28,1,2.7865775067644467,2.483538089171527,0.2470068831440342,3.2425480892366045,3.2668016642337063
37,1,4.011736514967948,4.336487573597395,0.7800628532661754,2.7852986182928303,2.8466060157376263
41,1,3.236033835691695,3.076191984916782,0.47042348429370656,3.2510089450768334,3.359082935971234
48,1,2.5479297881680543,1.9379639863186957,0.6336547845352337,1.9974819855092245,2.0242253786990783
56,1,5.987656159896525,7.532388958373498,0.8383876052506402,4.118746829030714,4.206626940729593
60,1,5.3332914810316,6.390043845553637,0.9282113160315112,2.4514969785256637,2.4950637935255893
4,2,3.781799573563817,2.8939702722471905,0.8523416366276413,2.0050710316902602,2.021540042138791
16,2,2.153845882528313,3.2411152174799187,0.4806682015564372,2.9039494714503045,2.938186667855375
19,2,1.7742723679674264,2.7141622193141437,0.2163562700937145,2.9036048641286047,2.9190035635731078
22,2,3.83039302729037,3.4571285050829856,0.849856567225234,2.02873689753085,2.055616090486213
33,2,3.234891450220772,3.275457279815092,0.7324486502276402,2.3814825941780846,2.4333661078277204
34,2,5.065771325529874,5.035860609766766,0.7001283132039605,3.9116056733828772,3.9576641582460708
44,2,4.079928049425161,3.4630286261521315,0.6789500225310758,3.074530183551013,3.1395720407418564
49,2,2.4051284293049875,2.0340224165079364,0.2399286924381032,2.7521603824156005,2.7736590236444907
61,2,2.570683410741193,2.773824423955857,0.6066590883061659,2.3771409088439923,2.413604095494676
62,2,6.015292311271029,5.410411572384112,0.9159959103496401,2.4153139968786084,2.474022372565547
3,3,1.872598582051809,2.278270176089215,0.21341621681667167,2.622241678731371,2.6314152472698793
17,3,2.12878010373245,1.6947512920742196,-0.16044631472048698,2.926019132619775,2.945326375267675
20,3,3.4051391513001885,3.4033958643497284,0.4122204570844252,3.6910161471624288,3.731970771216578
24,3,1.7444590858467426,2.392206357783013,-0.004922531904318788,2.9676376558474074,3.0015793487262616
29,3,4.359299581158161,3.4550610779540767,0.8691008619790785,2.1819166594961925,2.2113432141780693
40,3,5.649852499544363,4.557299198235981,0.9409104128279517,2.058290107071784,2.0659975287748873
43,3,2.2318211526726057,2.7211999192715743,-0.07392459783456788,3.644705345639492,3.6604096338926095
45,3,3.822680871973171,5.6811089946983895,0.5047630084193663,4.996393162074925,5.050493067540128
47,3,3.1212664160176993,4.857279339837636,0.5629482463311308,4.033101075651059,4.080829970356274
55,3,3.784194234228665,3.3802133938851844,0.7493222488287598,2.5644163640465742,2.589826010786747
1,4,2.5877973208744494,3.285183002841458,0.5562442757718961,2.833977022844996,2.8617657108997876
8,4,6.026958018870529,6.588004224692152,0.8348093398764,3.6650742990537695,3.7352990329176663
10,4,3.8021167740246193,4.503766671090969,0.9284503917634763,1.7154362824250944,1.7295750713527935
13,4,3.100622160374049,6.064295409915183,0.8590373777233701,3.7529221308239045,3.761278229253244
30,4,3.982557175463599,2.547196153552999,0.5404388907149679,3.374042487956362,3.3922521039278832
35,4,3.654273414197775,3.814845946810765,0.5023209184897113,3.7284801432162253,3.7934120163992944
42,4,2.554648219275034,2.5108492425105826,0.6573726764357174,2.096991243884547,2.1206757853349205
52,4,2.418080480051841,2.4635753684673047,0.826179734435466,1.439794209517538,1.4501404085610645
53,4,2.4242384833063664,2.1544278041053104,0.2464987750884616,2.818446507126406,2.8516941749208495
57,4,2.0978523387166548,2.411548829681323,0.7992768076266572,1.4592300010221808,1.4797782832143347
59,4,3.1935275154472076,4.083948439780944,0.69165505050893,2.9725146728097718,2.994467953718245
2,5,4.103038824165698,4.004674297073392,0.5708606232040271,3.756639528584622,3.8231398458504975
7,5,4.274186737322824,3.0340581454811635,0.29907809555551235,4.44040687320734,4.5217418011022446
12,5,1.9959712881948455,2.582924498171685,0.5656860376462475,2.196059185119135,2.2124923824107587
14,5,2.6168487485827554,2.841025283614839,0.3408264352663431,3.1387180444091314,3.1705619136901824
25,5,2.272573116578397,2.1063345204226325,0.8518902445490919,1.202322165781618,1.2331818732016342
39,5,2.454792234310925,3.136418321524547,0.06731660734292885,3.85052584775384,3.8761384838529604
46,5,5.022118626658496,6.301923525081238,0.9519411449232864,2.163314750421254,2.2263271440273122
50,5,2.437393400626036,1.8098672625349457,0.6402560388990753,1.88883779898152,1.9021612972652648
51,5,2.176443494402312,2.2789713604701833,0.39058634538789483,2.460885871626615,2.469207290746517
54,5,2.9421929507315236,5.353353612579984,0.6983956127368299,3.913386693895025,3.9202235055879076
58,5,3.9539902107506255,3.383409160150036,0.9733179455828617,1.0195420570866096,1.0245810253338958
6,6,2.464011678538927,3.161451815084612,0.8448387718574317,1.7040508887638586,1.7252732662137522
9,6,2.26281358494274,2.9267354105852097,0.11621990027457793,3.4852168503168266,3.517577030090884
18,6,3.876275805392209,3.998339539794782,0.6754577300165956,3.1740895668076505,3.2769704637409878
21,6,2.7668354439633642,3.157448354210847,0.5003955198304009,2.9802362039491253,3.0573701428160835
23,6,2.395277436366924,2.467322275253974,0.06456069341681524,3.3259488816311538,3.3493574211747945
27,6,2.9947997018556327,2.3146676140269404,0.7862161422644564,1.8510711688352235,1.865430752019244
31,6,3.4070199610933822,2.9733356613596555,0.4444456971929956,3.382875990572978,3.4521779168241595
32,6,4.04831851468633,3.1914231168043177,0.7064471170524022,2.884374441329172,2.910237570368315
36,6,2.2498373368377362,2.261421536901363,0.3258811841609013,2.619110322813423,2.6408007720203237
38,6,2.9947725612762635,3.11882741823677,0.6777221498475978,2.4567570248489226,2.4752206429127748
