scope,observed_r2,null_mean_r2,null_median_r2,null_95_low,null_95_high,null_p_value,replicates
FORWARD,-0.0049764953154465275,-0.0006477174872424407,3.770328430352521e-05,-0.011919690668057936,0.008147312294045117,0.797,1999
REVERSE,-0.0001221172692338346,-8.454313385436205e-05,-7.187887308046648e-05,-0.0009437831504604421,0.0007240054685703597,0.5445,1999
POOLED,-0.0028619480409137754,-0.0004024010362559892,-3.934148818607319e-05,-0.006835360958875469,0.004554762492574349,0.796,1999
