gate,passed,terminal
pooled_r2_at_least_0_05,False,STOP_LOCATION_DOES_NOT_PREDICT_CONDITIONAL_CONFIGURATION
forward_r2_positive,False,STOP_LOCATION_DOES_NOT_PREDICT_CONDITIONAL_CONFIGURATION
reverse_r2_positive,False,STOP_LOCATION_DOES_NOT_PREDICT_CONDITIONAL_CONFIGURATION
pooled_bootstrap_lower_positive,False,STOP_LOCATION_DOES_NOT_PREDICT_CONDITIONAL_CONFIGURATION
source_pairing_null_p_at_most_0_05,False,STOP_LOCATION_DOES_NOT_PREDICT_CONDITIONAL_CONFIGURATION
subject_gain_sign_flip_p_at_most_0_05,True,STOP_LOCATION_DOES_NOT_PREDICT_CONDITIONAL_CONFIGURATION
positive_subject_direction_fraction_at_least_0_60,False,STOP_LOCATION_DOES_NOT_PREDICT_CONDITIONAL_CONFIGURATION
leave_one_subject_minimum_positive,False,STOP_LOCATION_DOES_NOT_PREDICT_CONDITIONAL_CONFIGURATION
all_engineering_gates,True,STOP_LOCATION_DOES_NOT_PREDICT_CONDITIONAL_CONFIGURATION
